-- all spawns in map 37
-- select * from gameobject where map = 37;

INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135481, 173047, 37, 0, 0, 1, 1, 113.16, 1024.23, 296.189, 5.49008, 0, 0, -0.386242, 0.922398, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135782, 74448, 37, 0, 0, 1, 1, -117.45, 291.905, 292.902, 6.2004, 0, 0, -0.0413798, 0.999144, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135783, 74448, 37, 0, 0, 1, 1, -164.996, 440.861, 305.509, 4.86444, 0, 0, -0.651358, 0.75877, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135784, 74448, 37, 0, 0, 1, 1, -97.1912, 353.828, 294.169, 5.20292, 0, 0, -0.514249, 0.857641, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135785, 3695, 37, 0, 0, 1, 1, 9.52767, 543.395, 286.307, 1.23666, 0, 0, -0.579675, -0.814848, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135786, 3695, 37, 0, 0, 1, 1, 4.28677, 616.285, 271.298, 1.5516, 0, 0, -0.700289, -0.713859, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135787, 3695, 37, 0, 0, 1, 1, -158.262, 727.231, 294.998, 6.02329, 0, 0, -0.129583, 0.991569, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135788, 3695, 37, 0, 0, 1, 1, -51.681, 807.283, 280.309, 3.97104, 0, 0, -0.915228, 0.402937, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (2135789, 3695, 37, 0, 0, 1, 1, 103.591, 810.06, 273.724, 2.56674, 0, 0, -0.958976, -0.283487, 300, 0, 1, '', 0, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530569, 254605, 37, 0, 0, 1, 1, 144.455, 970.621, 295.368, 2.37389, 0, 0, -0.92723, -0.374493, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530594, 149038, 37, 0, 0, 1, 1, 42.6224, 1123.72, 367.178, 5.1961, 0, 0, -0.517171, 0.855882, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530597, 51703, 37, 0, 0, 1, 1, 178.947, 1010.03, 300.119, 1.14191, 0, 0, -0.540437, -0.841384, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530599, 173197, 37, 0, 0, 1, 1, 165.317, 1015.51, 297.633, 2.82237, 0, 0, -0.987289, -0.158936, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530600, 173197, 37, 0, 0, 1, 1, 172.398, 1027.63, 297.657, 2.75246, 0, 0, -0.981132, -0.19334, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530601, 173197, 37, 0, 0, 1, 1, 106.527, 1020.83, 296.382, 6.20034, 0, 0, -0.0414088, 0.999142, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530602, 173197, 37, 0, 0, 1, 1, 105.437, 1012.85, 296.241, 6.26396, 0, 0, -0.009613, 0.999954, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530603, 173197, 37, 0, 0, 1, 1, 158.742, 991.343, 296.032, 3.5135, 0, 0, -0.982761, 0.184883, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530604, 173197, 37, 0, 0, 1, 1, 165.138, 952.699, 285.423, 4.77644, 0, 0, -0.684101, 0.729387, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530605, 173197, 37, 0, 0, 1, 1, 190.062, 972.396, 281.225, 6.15954, 0, 0, -0.0617841, 0.99809, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530630, 3705, 37, 0, 0, 1, 1, 162.272, 958.226, 283.956, 0.592844, -0, -0, -0.2921, -0.956388, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530631, 3705, 37, 0, 0, 1, 1, 240.734, 956.9, 261.011, 1.02167, -0, -0, -0.488907, -0.872336, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530632, 3705, 37, 0, 0, 1, 1, 64.5466, 811.044, 269.643, 2.84537, -0, -0, -0.989051, -0.147572, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530633, 3705, 37, 0, 0, 1, 1, -25.8608, 757.958, 280.994, 3.36452, -0, -0, -0.993795, 0.111231, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530634, 3705, 37, 0, 0, 1, 1, 11.6235, 674.334, 273.924, 0.386269, -0, -0, -0.191936, -0.981408, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530635, 3705, 37, 0, 0, 1, 1, 27.2909, 538.086, 283.321, 5.40648, -0, -0, -0.42445, 0.905452, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530636, 3705, 37, 0, 0, 1, 1, 132.233, 613.518, 268.685, 1.22345, -0, -0, -0.574279, -0.818659, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530637, 2850, 37, 0, 0, 1, 1, 163.169, 570.15, 270.776, 1.18887, -0, -0, -0.560041, -0.828465, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530638, 2850, 37, 0, 0, 1, 1, 280.197, 769.205, 263.774, 1.635, -0, -0, -0.729439, -0.684046, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530639, 2850, 37, 0, 0, 1, 1, 384.289, 596.239, 284.655, 4.49536, -0, -0, -0.77953, 0.626365, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530640, 2850, 37, 0, 0, 1, 1, -90.8683, 353.929, 294.626, 3.24498, -0, -0, -0.998664, 0.051673, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530641, 2850, 37, 0, 0, 1, 1, -108.821, 280.122, 293.92, 4.4152, -0, -0, -0.804, 0.594629, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530642, 2850, 37, 0, 0, 1, 1, 146.866, 89.2141, 225.05, 4.32869, -0, -0, -0.82896, 0.559307, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530643, 2850, 37, 0, 0, 1, 1, 293.73, 65.7035, 239.311, 0.594144, -0, -0, -0.292722, -0.956198, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530644, 173197, 37, 0, 0, 1, 1, 127.124, 1083.81, 327.948, 4.37003, -0, -0, -0.817224, 0.576321, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530645, 173197, 37, 0, 0, 1, 1, 162.984, 1108.31, 323.317, 3.71658, -0, -0, -0.958957, 0.283551, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530646, 173197, 37, 0, 0, 1, 1, 101.258, 1105.69, 357.467, 4.52475, -0, -0, -0.770239, 0.637756, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530647, 173197, 37, 0, 0, 1, 1, 85.5396, 1113.33, 368.594, 5.23632, -0, -0, -0.499856, 0.866108, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530648, 173197, 37, 0, 0, 1, 1, 38.6983, 1113.03, 367.176, 2.26044, -0, -0, -0.904507, -0.426459, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530649, 173197, 37, 0, 0, 1, 1, 66.9885, 1093.75, 366.791, 0.519184, -0, -0, -0.256686, -0.966495, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530650, 173197, 37, 0, 0, 1, 1, 48.9777, 1086.37, 367.14, 3.68277, -0, -0, -0.963614, 0.267298, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530651, 173197, 37, 0, 0, 1, 1, 23.0449, 1048.93, 350.606, 5.58026, -0, -0, -0.344273, 0.93887, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530652, 173197, 37, 0, 0, 1, 1, -12.7481, 1032.22, 340.393, 5.62031, -0, -0, -0.325401, 0.945576, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530653, 173197, 37, 0, 0, 1, 1, 51.5137, 999.896, 339.197, 5.96903, -0, -0, -0.156433, 0.987689, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530654, 173197, 37, 0, 0, 1, 1, 64.3549, 977.03, 338.952, 5.02969, -0, -0, -0.586513, 0.80994, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530655, 173197, 37, 0, 0, 1, 1, 75.3683, 943.493, 339.127, 5.02969, -0, -0, -0.586513, 0.80994, 1, 0, 1, '', NULL, NULL);
INSERT INTO `gameobject` (`guid`, `id`, `map`, `zoneId`, `areaId`, `spawnMask`, `phaseMask`, `position_x`, `position_y`, `position_z`, `orientation`, `rotation0`, `rotation1`, `rotation2`, `rotation3`, `spawntimesecs`, `animprogress`, `state`, `ScriptName`, `VerifiedBuild`, `Comment`) VALUES (5530656, 173197, 37, 0, 0, 1, 1, 89.9392, 922.071, 337.246, 5.72948, -0, -0, -0.273329, 0.961921, 1, 0, 1, '', NULL, NULL);
