Level,Exp_0,Exp_1,Exp_2,Exp_3,Exp_4,Exp_5,Exp_6,Exp_7,Exp_8,Exp_9
48,0,625,1570,3100,4700,6290,7850,9400,12580,0
49,0,655,1630,3250,4900,6550,8150,9800,13100,0
50,0,680,1700,3400,5100,6810,8500,10200,13620,0
51,0,705,1760,3500,5300,7070,8800,10600,14140,0
52,0,730,1830,3650,5500,7340,9150,11000,14680,0
53,0,760,1900,3800,5700,7610,9500,11400,15220,0
54,0,785,1970,3900,5900,7890,9850,11800,15780,0
55,0,815,2040,4050,6100,8170,10200,12250,16340,0
56,0,845,2110,4200,6300,8450,10550,12650,16900,0
57,0,870,2180,4350,6500,8730,10900,13050,17460,0
58,0,900,2250,4500,6750,9020,11250,13500,18040,0
59,0,930,2320,4650,6950,9310,11600,13950,18620,0
60,0,955,2380,4750,7150,9550,11900,14300,19100,0
61,0,970,2400,4850,7300,9800,12200,14700,19600,0
62,0,1000,2550,5000,7600,10050,12600,15050,20100,0
63,0,1050,2600,5250,7800,10400,12950,15550,20800,0
64,0,1080,2650,5400,8050,10750,13350,16000,21500,0
65,0,1100,2700,5500,8250,11000,13750,16500,22000,0
66,0,1130,2850,5650,8550,11300,14150,17000,22600,0
67,0,1160,2900,5800,8750,11650,14600,17450,23300,0
68,0,1200,3050,6000,9000,12000,14950,17950,24000,0
69,0,1230,3100,6150,9250,12300,15400,18450,24600,0
70,0,1250,3150,6250,9500,12650,15800,19000,25300,0
71,0,2000,5050,10050,15100,20100,25150,30150,40200,0
72,0,2050,5100,10150,15250,20300,25400,30450,40600,0
73,0,2050,5150,10250,15400,20500,25650,30750,41000,0
74,0,2100,5200,10400,15550,20750,25950,31150,41500,0
75,0,2100,5250,10500,15700,20950,26200,31450,41900,0
76,0,2100,5300,10600,15850,21150,26450,31750,42300,0
77,0,2150,5350,10700,16050,21400,26750,32100,42800,0
78,0,2150,5400,10800,16200,21600,27000,32400,43200,0
79,0,2200,5450,10900,16350,21800,27250,32700,43600,0
80,0,2200,5500,11050,16550,22050,27550,33100,44100,0
81,0,2250,5550,11150,16700,22250,27800,33400,44500,0
82,0,2250,5650,11250,16900,22500,28150,33750,45000,0
83,0,2250,5700,11350,17050,22700,28400,34050,45400,0
84,0,2300,5750,11500,17200,22950,28700,34450,45900,0
85,0,2300,5800,11600,17400,23200,29000,34800,46400,0
86,0,2350,5850,11700,17550,23400,29250,35100,46800,0
87,0,2350,5900,11850,17750,23650,29550,35500,47300,0
88,0,2400,6000,11950,17950,23900,29900,35850,47800,0
89,0,2400,6050,12050,18100,24100,30150,36150,48200,0
90,0,2450,6100,12200,18250,24350,30450,36550,48700,0
91,0,2450,6150,12300,18450,24600,30750,36900,49200,0
92,0,2500,6200,12450,18650,24850,31050,37300,49700,0
93,0,2500,6300,12550,18850,25100,31400,37650,50200,0
94,0,2550,6350,12700,19000,25350,31700,38050,50700,0
95,0,2550,6400,12800,19200,25600,32000,38400,51200,0
96,0,2600,6450,12950,19400,25850,32300,38800,51700,0
97,0,2600,6550,13050,19600,26100,32650,39150,52200,0
98,0,2650,6600,13200,19750,26350,32950,39550,52700,0
99,0,2650,6650,13300,19950,26600,33250,39900,53200,0
100,0,2700,6700,13450,20150,26850,33550,40300,53700,0
101,0,2700,6750,13550,20350,27100,33850,40650,54200,0
102,0,2750,6800,13700,20500,27350,34150,41000,54650,0
103,0,2800,6900,13800,20700,27550,34450,41400,55150,0
104,0,2800,6950,13950,20850,27800,34750,41750,55600,0
105,0,2800,7000,14050,21050,28050,35050,42100,56100,0
106,0,2850,7050,14150,21250,28300,35350,42450,56600,0
107,0,2900,7100,14300,21400,28550,35650,42800,57050,0
108,0,2900,7200,14400,21600,28750,35950,43200,57550,0
109,0,2900,7250,14550,21750,29000,36250,43550,58000,0
110,0,2950,7300,14650,21950,29250,36550,43900,58500,0
111,0,3000,7350,14750,22150,29500,36850,44250,59000,0
112,0,3000,7400,14900,22300,29750,37150,44600,59450,0
113,0,3000,7500,15000,22500,29950,37450,45000,59950,0
114,0,3050,7550,15150,22650,30200,37750,45350,60400,0
115,0,3100,7600,15250,22850,30450,38050,45700,60900,0
116,0,3100,7650,15350,23050,30700,38350,46050,61400,0
117,0,3100,7700,15500,23200,30950,38650,46400,61850,0
118,0,3150,7800,15600,23400,31150,38950,46800,62350,0
119,0,3200,7850,15750,23550,31400,39250,47150,62800,0
120,0,3200,7900,15850,23750,31650,39550,47500,63300,0
121,0,3200,7950,15950,23950,31900,39850,47850,63800,0
122,0,3250,8000,16100,24100,32150,40150,48200,64250,0
123,0,3300,8100,16200,24300,32350,40450,48600,64750,0
124,0,3300,8150,16350,24450,32600,40750,48950,65200,0
125,0,3300,8200,16450,24650,32850,41050,49300,65700,0
126,0,3350,8250,16550,24850,33100,41350,49650,66200,0
127,0,3400,8300,16700,25000,33350,41650,50000,66650,0
128,0,3400,8400,16800,25200,33550,41950,50400,67150,0
129,0,3400,8450,16950,25350,33800,42250,50750,67600,0
130,0,3450,8500,17050,25550,34050,42550,51100,68100,0
131,0,3500,8550,17150,25750,34300,42850,51450,68600,0
132,0,3500,8600,17300,25900,34550,43150,51800,69050,0
133,0,3500,8700,17400,26100,34750,43450,52200,69550,0
134,0,3550,8750,17550,26250,35000,43750,52550,70000,0
135,0,3600,8800,17650,26450,35250,44050,52900,70500,0
136,0,3600,8850,17750,26650,35500,44350,53250,71000,0
137,0,3600,8900,17900,26800,35750,44650,53600,71450,0
138,0,3650,9000,18000,27000,35950,44950,54000,71950,0
139,0,3700,9050,18150,27150,36200,45250,54350,72400,0
140,0,3700,9100,18250,27350,36450,45550,54700,72900,0
141,0,3700,9150,18350,27550,36700,45850,55050,73400,0
142,0,3750,9200,18500,27700,36950,46150,55400,73850,0
143,0,3800,9300,18600,27900,37150,46450,55800,74350,0
144,0,3800,9350,18750,28050,37400,46750,56150,74800,0
145,0,3800,9400,18850,28250,37650,47050,56500,75300,0
146,0,3850,9450,18950,28450,37900,47350,56850,75800,0
147,0,3900,9500,19100,28600,38150,47650,57200,76250,0
148,0,3900,9600,19200,28800,38350,47950,57600,76750,0
149,0,3900,9650,19350,28950,38600,48250,57950,77200,0
150,0,3950,9700,19450,29150,38850,48550,58300,77700,0
151,0,4000,9750,19550,29350,39100,48850,58650,78200,0
152,0,4000,9800,19700,29500,39350,49150,59000,78650,0
153,0,4000,9900,19800,29700,39550,49450,59400,79150,0
154,0,4050,9950,19950,29850,39800,49750,59750,79600,0
155,0,4100,10000,20050,30050,40050,50050,60100,80100,0
156,0,4100,10050,20150,30250,40300,50350,60450,80600,0
157,0,4100,10100,20300,30400,40550,50650,60800,81050,0
158,0,4150,10200,20400,30600,40750,50950,61200,81550,0
159,0,4200,10250,20550,30750,41000,51250,61550,82000,0
160,0,4200,10300,20650,30950,41250,51550,61900,82500,0
161,0,4200,10350,20750,31150,41500,51850,62250,83000,0
162,0,4250,10400,20900,31300,41750,52150,62600,83450,0
163,0,4300,10500,21000,31500,41950,52450,63000,83950,0
164,0,4300,10550,21150,31650,42200,52750,63350,84400,0
165,0,4300,10600,21250,31850,42450,53050,63700,84900,0
166,0,4350,10650,21350,32050,42700,53350,64050,85400,0
167,0,4400,10700,21500,32200,42950,53650,64400,85850,0
168,0,4400,10800,21600,32400,43150,53950,64800,86350,0
169,0,4400,10850,21750,32550,43400,54250,65150,86800,0
170,0,4450,10900,21850,32750,43650,54550,65500,87300,0
171,0,4500,10950,21950,32950,43900,54850,65850,87800,0
172,0,4500,11000,22100,33100,44150,55150,66200,88250,0
173,0,4500,11100,22200,33300,44350,55450,66600,88750,0
174,0,4550,11150,22350,33450,44600,55750,66950,89200,0
175,0,4600,11200,22450,33650,44850,56050,67300,89700,0
176,0,4600,11250,22550,33850,45100,56350,67650,90200,0
177,0,4600,11300,22700,34000,45350,56650,68000,90650,0
178,0,4650,11400,22800,34200,45550,56950,68400,91150,0
179,0,4700,11450,22950,34350,45800,57250,68750,91600,0
180,0,4700,11500,23050,34550,46050,57550,69100,92100,0
181,0,4700,11550,23150,34750,46300,57850,69450,92600,0
182,0,4750,11600,23300,34900,46550,58150,69800,93050,0
183,0,4800,11700,23400,35100,46750,58450,70200,93550,0
184,0,4800,11750,23550,35250,47000,58750,70550,94000,0
185,0,4800,11800,23650,35450,47250,59050,70900,94500,0
186,0,4850,11850,23750,35650,47500,59350,71250,95000,0
187,0,4900,11900,23900,35800,47750,59650,71600,95450,0
188,0,4900,12000,24000,36000,47950,59950,72000,95950,0
189,0,4900,12050,24150,36150,48200,60250,72350,96400,0
190,0,4950,12100,24250,36350,48450,60550,72700,96900,0
191,0,5000,12150,24350,36550,48700,60850,73050,97400,0
192,0,5000,12200,24500,36700,48950,61150,73400,97850,0
193,0,5000,12300,24600,36900,49150,61450,73800,98350,0
194,0,5050,12350,24750,37050,49400,61750,74150,98800,0
195,0,5100,12400,24850,37250,49650,62050,74500,99300,0
196,0,5100,12450,24950,37450,49900,62350,74850,99800,0
197,0,5100,12500,25100,37600,50150,62650,75200,100250,0
198,0,5150,12600,25200,37800,50350,62950,75600,100750,0
199,0,5200,12650,25350,37950,50600,63250,75950,101200,0
200,0,5200,12700,25450,38150,50850,63550,76300,101700,0
201,0,5200,12750,25550,38350,51100,63850,76650,102200,0
202,0,5250,12800,25700,38500,51350,64150,77000,102650,0
203,0,5300,12900,25800,38700,51550,64450,77400,103150,0
204,0,5300,12950,25950,38850,51800,64750,77750,103600,0
205,0,5300,13000,26050,39050,52050,65050,78100,104100,0
206,0,5350,13050,26150,39250,52300,65350,78450,104600,0
207,0,5400,13100,26300,39400,52550,65650,78800,105050,0
208,0,5400,13200,26400,39600,52750,65950,79200,105550,0
209,0,5400,13250,26550,39750,53000,66250,79550,106000,0
210,0,5450,13300,26650,39950,53250,66550,79900,106500,0
211,0,5500,13350,26750,40150,53500,66850,80250,107000,0
212,0,5500,13400,26900,40300,53750,67150,80600,107450,0
213,0,5500,13500,27000,40500,53950,67450,81000,107950,0
214,0,5550,13550,27150,40650,54200,67750,81350,108400,0
215,0,5600,13600,27250,40850,54450,68050,81700,108900,0
216,0,5600,13650,27350,41050,54700,68350,82050,109400,0
217,0,5600,13700,27500,41200,54950,68650,82400,109850,0
218,0,5650,13800,27600,41400,55150,68950,82800,110350,0
219,0,5700,13850,27750,41550,55400,69250,83150,110800,0
220,0,5700,13900,27850,41750,55650,69550,83500,111300,0
221,0,5700,13950,27950,41950,55900,69850,83850,111800,0
222,0,5750,14000,28100,42100,56150,70150,84200,112250,0
223,0,5800,14100,28200,42300,56350,70450,84600,112750,0
224,0,5800,14150,28350,42450,56600,70750,84950,113200,0
225,0,5800,14200,28450,42650,56850,71050,85300,113700,0
226,0,5850,14250,28550,42850,57100,71350,85650,114200,0
227,0,5900,14300,28700,43000,57350,71650,86000,114650,0
228,0,5900,14400,28800,43200,57550,71950,86400,115150,0
229,0,5900,14450,28950,43350,57800,72250,86750,115600,0
230,0,5950,14500,29050,43550,58050,72550,87100,116100,0
231,0,6000,14550,29150,43750,58300,72850,87450,116600,0
232,0,6000,14600,29300,43900,58550,73150,87800,117050,0
233,0,6000,14700,29400,44100,58750,73450,88200,117550,0
234,0,6050,14750,29550,44250,59000,73750,88550,118000,0
235,0,6100,14800,29650,44450,59250,74050,88900,118500,0
236,0,6100,14850,29750,44650,59500,74350,89250,119000,0
237,0,6100,14900,29900,44800,59750,74650,89600,119450,0
238,0,6150,15000,30000,45000,59950,74950,90000,119950,0
239,0,6200,15050,30150,45150,60200,75250,90350,120400,0
240,0,6200,15100,30250,45350,60450,75550,90700,120900,0
241,0,6200,15150,30350,45550,60700,75850,91050,121400,0
242,0,6250,15200,30500,45700,60950,76150,91400,121850,0
243,0,6300,15300,30600,45900,61150,76450,91800,122350,0
244,0,6300,15350,30750,46050,61400,76750,92150,122800,0
245,0,6300,15400,30850,46250,61650,77050,92500,123300,0
246,0,6350,15450,30950,46450,61900,77350,92850,123800,0
247,0,6400,15500,31100,46600,62150,77650,93200,124250,0
248,0,6400,15600,31200,46800,62350,77950,93600,124750,0
249,0,6400,15650,31350,46950,62600,78250,93950,125200,0
250,0,6450,15700,31450,47150,62850,78550,94300,125700,0
251,0,6500,15750,31550,47350,63100,78850,94650,126200,0
252,0,6500,15800,31700,47500,63350,79150,95000,126650,0
253,0,6500,15900,31800,47700,63550,79450,95400,127150,0
254,0,6550,15950,31950,47850,63800,79750,95750,127600,0
255,0,6600,16000,32050,48050,64050,80050,96100,128100,0
