"ID","Name","Flags","Type","SoundID","SpellID","MaxDarkenDepth","FogDarkenintensity","AmbDarkenintensity","DirDarkenintensity","LightID","ParticleScale","ParticleMovement","ParticleTexSlots","MaterialID","Texture_1","Texture_2","Texture_3","Texture_4","Texture_5","Texture_6","Color_1","Color_2","Float_1","Float_2","Float_3","Float_4","Float_5","Float_6","Float_7","Float_8","Float_9","Float_10","Float_11","Float_12","Float_13","Float_14","Float_15","Float_16","Float_17","Float_18","Int_1","Int_2","Int_3","Int_4"
"181","Orange Slime","15","0","1111","0","0","0","0","0","0","1","0","0","1","XTEXTURES\LavaOrange\LavaOrange.%d.blp","proceduralRiverDepthTex","","","","","0","0","2","0","8.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1250","0","0"
"101","Basic Procedural Water - WMO","15","1","1114","0","30","0.5","0.5","0","0","1","0","0","0","","proceduralOceanDepthTex","XTextures\ocean\oceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"221","Gary Test Water","0","0","0","0","0","0","0","0","0","0","0","0","0","","proceduralOceanDepthTex","XTextures\ocean\oceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"301","Shallow Water","15","0","1112","0","0","0","0","0","0","1","0","0","0","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","Magma 2","120","2","3072","0","0","0","0","0","7","4","0","0","0","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"303","WMO Magma 2","120","2","3072","0","0","0","0","0","7","4","0","0","0","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"321","New River","15","1","1114","0","30","0.5","0.5","0","0","1","0","0","0","","proceduralRiverDepthTex","XTextures\ocean\oceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"324","TEST Shallow Water","15","1","1114","0","30","0.5","0.5","0","0","1","0","0","0","","proceduralOceanDepthTex","XTextures\ocean\oceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"350","Mercury Water","15","1","23672","0","30","0.5","0.5","0.25","0","1","0","0","0","XTextures\river\lake_a.%d.blp","proceduralOceanDepthTex","XTextures\ocean\mercurybump.blp","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397","Hack Fix Magma for Jesse","120","2","238384","0","0","0","0","0","7","4","0","0","0","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","Blackwing Descent - Magma","120","2","238384","81114","0","0","0","0","7","4","0","0","0","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"406","Grid","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","River Water Smooth","0","0","1111","0","0","0","0","0","0","0","0","0","0","xtextures\river\lake_a.%d.blp","proceduralRiverDepthTex","xtextures\ocean\oceanbump.blp","xtextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","WMO Shallow Water - Interior","15","0","198082","0","0","0","0","0","0","1","0","0","0","XTextures\river\lake_a.%d.blp","proceduralWmoWaterTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"412","WMO Mercury Water - Interior","15","1","23672","0","30","0.5","0.5","0.25","0","1","0","0","0","XTextures\river\lake_a.%d.blp","proceduralOceanDepthTex","XTextures\ocean\mercurybump.blp","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"671","Firelands - Magma","120","2","24668","97151","0","0","0","0","7","4","0","0","0","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"689","Fast Water Hyjal Magic","15","0","1111","0","0","0","0","0","0","1","0","0","0","XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"733","Hawaii Liquid Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"739","Fall of Azeroth - Magma","120","2","24668","101619","0","0","0","0","7","4","0","0","0","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"750","Jade Forest Swamp Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"751","JF - Witch House Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"752","TestLavaFog","8","0","9109","0","0","0","0","0","0","1","0","0","0","xtextures\splash\wake.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"760","ZoneB Forest Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"761","Zone B Marsh Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"763","Turtle - Staff Forest Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"764","Despair Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"765","Mogu Creepy Fog","8","0","0","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"787","Sha Fog","8","0","0","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"805","Black Bamboo Fog","8","0","0","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"806","Zone D - Mogu Ruins Fog","8","0","0","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"807","Zone D - FogBeast","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"808","Dread Wastes Sha Scar Fog black","8","0","0","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"809","Dread Wastes Sha Scar Fog red","8","0","0","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"812","Zone D - Mantid_Mystic_Lake","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"814","ITK - Swamp Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"834","Purple Sands Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"837","Fast Water Hyjal Magic - Color Variant","15","0","1111","0","0","0","0","0","0","1","0","0","0","XTextures\river\fast_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"839","Shadowmoon Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"844","Slow Blood Water","15","0","1112","0","0","0","0","0","0","1","0","0","0","XTextures\river\lake_a.%d.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"848","6XP Shattrath Rise Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"849","6SM Faerie Dragon Fog","8","0","31115","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"850","SpiresSwampFog","8","0","1111","0","0","0","0","0","0","1","0","0","0","xtextures\ocean\01basicwaterheighttex_25.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"851","6ar Steam Pools Fog","8","0","31115","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"852","6ar Steam Pools Fog","8","0","31115","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"853","Gorgrond Spore Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"855","6AS_HordeStaging_Troll_Fog","8","0","31115","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"856","Slime - Very Slow","322","3","3880","0","0","0","0","0","6","0","0","0","0","XTextures\slime\slime.%d.blp","XTextures\slime\Slime0","XTextures\slime\Slime1","XTextures\slime\Slime2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"859","Magma_North","120","2","3072","0","0","0","0","0","7","4","0","0","0","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"860","6FW_Magma","120","2","3072","0","0","0","0","0","7","4","0","0","0","XTextures\lava\lava.%d.blp","XTextures\lava\Magma0","XTextures\lava\Magma1","XTextures\lava\Magma2","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"864","7AZ_GhostTemple_Fog","8","0","31115","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"865","7vs_Swamp_Fog","8","0","31115","0","0","0","0","0","0","0.10000000149011612","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"866","Helheim Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"868","Ley Line","15","1","0","0","30","0.5","0.5","0.25","0","1","0","0","0","xtextures\ley\leydetail01.blp","xtextures\ley\leydetail02.blp","xtextures\ley\leydiffuse.blp","xtextures\ocean\newoceanbump.blp","xtextures\manawater\manawater_shore.blp","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"869","FelDeep - Tanaan Jungle Specific","106","2","238384","188517","0","0","0","20","6","4","0","0","0","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"870","FelShallow - Tanaan Jungle Specific","122","2","238384","188517","0","0","0","0","6","4","0","0","0","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"872","7AZ_LostOrchard_Fog","8","0","31115","0","0","0","0","0","0","0.5","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"873","FelShallow Yellow - 6.2 Hellfire Raid Specific","120","2","238384","0","0","0","0","0","6","4","0","0","0","xtextures\fel\feldeepOrange.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felswirl_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"874","FelShallow Purple - 6.2 Hellfire Raid Specific","120","2","238384","0","0","0","0","0","6","4","0","0","0","xtextures\fel\feldeepPurple.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felswirl_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"875","FelShallow Green - 6.2 Hellfire Raid Specific","120","2","238384","0","0","0","0","0","6","4","0","0","0","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"876","FelDeep-6.2 Hellfire Raid Specific Warlock","104","2","238384","0","0","0","0","20","6","4","0","0","0","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"877","FelShallow-Hellfire Raid Specific Shallow","120","2","238384","0","0","0","0","0","6","4","0","0","0","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"878","FelDeep - Generic","104","2","238384","0","0","0","0","20","6","4","0","0","0","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"879","FelShallow - Generic","120","2","238384","0","0","0","0","0","6","4","0","0","0","xtextures\fel\feldeep.blp","xtextures\fel\felshallow.blp","xtextures\fel\felspecular.blp","xtextures\fel\felshore.blp","xtextures\fel\felemissive.blp","xtextures\fel\felanim_%d.blp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"880","7VS World Tree Nightmare Fog","8","0","31115","0","0","0","0","0","0","1","0","0","0","xtextures\fx\density.blp","proceduralRiverDepthTex","XTextures\ocean\newoceanbump.blp","XTextures\foam\waterchop7bw.blp","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
