ID,Flags,AttachmentID,AttachmentOffsetX,AttachmentOffsetY,AttachmentOffsetZ,EnterPreDelay,EnterSpeed,EnterGravity,EnterMinDuration,EnterMaxDuration,EnterMinArcHeight,EnterMaxArcHeight,EnterAnimStart,EnterAnimLoop,RideAnimStart,RideAnimLoop,RideUpperAnimStart,RideUpperAnimLoop,ExitPreDelay,ExitSpeed,ExitGravity,ExitMinDuration,ExitMaxDuration,ExitMinArcHeight,ExitMaxArcHeight,ExitAnimStart,ExitAnimLoop,ExitAnimEnd,PassengerYaw,PassengerPitch,PassengerRoll,PassengerAttachmentID,VehicleEnterAnim,VehicleExitAnim,VehicleRideAnimLoop,VehicleEnterAnimBone,VehicleExitAnimBone,VehicleRideAnimBone,VehicleEnterAnimDelay,VehicleExitAnimDelay,VehicleAbilityDisplay,EnterUISoundID,ExitUISoundID,UiSkin,FlagsB,CameraEnteringDelay,CameraEnteringDuration,CameraExitingDelay,CameraExitingDuration,CameraOffsetX,CameraOffsetY,CameraOffsetZ,CameraPosChaseRate,CameraFacingChaseRate,CameraEnteringZoom,CameraSeatZoomMin,CameraSeatZoomMax
384,34635883,15,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,217,217,217,0.5,7,19.29,0,1,0,4,219,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,33587311,20,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,216,216,216,0,7,19.29,0,1,0,4,218,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,33587311,19,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,217,217,217,0,7,19.29,0,1,0,4,219,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,33587309,16,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,216,216,216,0,7,19.29,0,1,0,4,218,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,33587309,15,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,217,217,217,0,7,19.29,0,1,0,4,219,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,33587309,13,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,216,216,216,0,7,19.29,0,1,0,4,218,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,33587309,14,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,217,216,216,0,7,19.29,0,1,0,4,219,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,33587213,21,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,102,220,220,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,1644201995,21,0,0,0,0,7,19.23,0,1,0,4,37,38,91,91,91,91,0,7,19.23,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,1610647567,13,0,0,1.7,0,7,19.29,0,1,0,4,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,33570923,21,0,0,-5,0,7,0,0,1,0,0,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,34635787,21,0,0,0,0,7,19.29,0,0,0,0,37,38,-1,220,128,123,0,7,19.29,0,0,0,0,37,38,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,34635883,13,0,0,0,0,7,19.29,0,0,0,0,37,38,-1,217,216,216,0.5,7,19.29,0,0,0,0,218,38,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,34635883,14,0,0,0,0,7,19.29,0,0,0,0,37,38,-1,216,217,217,0.5,7,19.29,0,0,0,0,219,38,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,33587211,21,0,0,0,0,7,19.23,0,1,0,4,37,38,91,91,91,91,0,7,19.23,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,33587209,21,0,0,0,0,7,19.23,0,1,0,4,37,38,91,91,91,91,0,7,19.23,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,33587215,13,0,0,-5,0,7,19.29,0,0,1,4,37,38,-1,102,40,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561,1124109323,13,0,0,0,0,7,19.29,0,2,1,4,37,38,-1,91,-1,91,0,7,19.29,0,2,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,33587273,-1,0,0,0,0,12,4,0,0,10,10,37,40,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,181,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,33587211,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
621,33587215,5,0.2,0,-0.2,0,7,19.29,0,0,1,4,37,38,1,6,1,6,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
644,1644201995,13,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,91,91,91,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
645,33587241,-1,0,0,0,0,40,19,0,0,10,10,37,25,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,181,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
647,33587241,-1,0,0,0,0,50,19,0,0,1,1,1,130,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662,1644234771,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682,32783,21,0,0,0,0,7,19.29,0,0,1,4,37,38,91,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,16777216,0,0,0,0,0,0,0,0,0,0,0,0
701,33619987,14,0,0,0,0,7,19.29,0,2,1,4,37,38,96,97,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,1107331593,-1,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
723,1645251081,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,-503281653,21,0,0,0,0,7,19.23,0,1,0,4,37,38,-1,91,91,91,0,7,19.23,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,13837,13835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,1644169223,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,33554443,21,-0.75,0,0.2,0,7,19.29,0,0,1,4,37,38,-1,91,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,33554436,13,0,0.3,-1.8,0,7,19.29,0,0,1,4,37,38,-1,25,25,25,0,7,19.29,0,0,1,4,37,40,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,1191217673,13,0,0,0,0,7,19.29,0.4,0.8,0.8,4,37,38,96,97,-1,97,0,7,19.29,0.5,1,0.8,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,251691529,13,0,0,0,0,7,19.29,0.4,0.8,0.8,4,37,38,96,97,-1,97,0,7,19.29,0.5,1,0.8,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,251691529,13,0,0,0,0,7,19.29,0.4,0.8,0.8,4,37,38,96,97,-1,97,0,7,19.29,0.5,1,0.8,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,251691529,13,0,0,0,0,7,19.29,0.4,0.8,0.8,4,37,38,96,97,-1,97,0,7,19.29,0.5,1,0.8,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,33587211,21,0,0,0,0,7,19.29,0,0,1,4,37,38,91,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,1645251087,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
841,1660979351,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,91,91,-1,0,5,19.29,0,0,0,0,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,34635787,21,0.2,0,0,0,7,19.29,0,0,1,1,37,38,91,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
862,1645251595,21,-0.5,0,0,0,7,19.29,0,0,1,1,37,38,91,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
864,1107331087,2,0,0,0,0,7,19.29,0,1,0,4,37,38,91,91,91,91,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
882,33587214,5,0.25,0,-0.3,0,7,19.29,0,0,1,4,131,132,6,6,6,6,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,33587209,2,0,0,0,0,8,10,3.5,3.5,3,3,37,40,-1,102,128,123,0,7,19.29,0,0,1,4,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,1644235287,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
945,1644234775,2,-4.4,0,4.25,0,7,19.29,0,1,0,4,37,38,-1,0,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
946,33588239,14,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,190,111,111,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
949,33588239,2,3.35,-1.9,6.25,0,7,19.29,0,1,0,4,37,38,-1,102,48,110,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
950,33588239,2,3.35,1.9,6.25,0,7,19.29,0,1,0,4,37,38,-1,102,48,110,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
961,1627457559,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,91,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
981,33587213,9,0,0.2,0,0,7,19.29,0,0,1,4,37,38,-1,102,128,17,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,1107331085,5,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,102,128,17,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,33587245,5,-1,0,0.2,0,21,19.29,0,0,1,4,37,38,-1,102,128,17,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,33587245,3,0,0,0.9,0,14,19.29,0,0,1,4,37,38,-1,102,128,17,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,33587245,4,0,0,1,0,14,19.29,0,0,1,4,37,38,-1,102,128,17,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1241,1107329035,21,0.3,0,0,0,7,19.29,0,0,1,4,37,38,91,91,91,91,0,7,19.29,0,0,1,4,1,6,6,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1242,1108379663,21,-0.45,0,0,0,7,19.29,0,0,1,4,37,38,91,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262,1645250607,21,0,0,0,0,10,19.23,0,3,5,5,37,38,91,91,91,91,0,7,19.23,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,13837,13835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1267,33554439,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,33619987,21,-0.75,0,0.2,0,7,19.29,0,0,1,4,37,38,-1,91,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,-503281649,21,0,0,0,0,7,19.23,0,1,0,4,37,38,91,91,133,134,0,7,19.23,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285,1107363857,13,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286,33554434,14,0,0,-10,0,7,19.29,0,1,0,4,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,1107363863,13,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1292,33588239,14,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,190,111,111,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,33588239,15,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,102,48,110,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1294,33588239,16,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,102,48,110,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,1660946438,13,-1.4,0,0,0,7,19.29,0,0,1,4,37,38,-1,104,128,195,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,1107331593,21,0,0,0,0,7,19.29,0,0,1,4,37,38,-1,102,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1323,1645283351,21,0,0,0,0,7,19.29,0,2,1,4,37,38,-1,91,91,91,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324,33587307,2,-4,0,0.2,3,7,19.29,0,0,1,4,79,38,-1,0,128,123,3,7,19.29,0,0,1,4,195,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,33587211,2,2,0,0.2,0,7,19.29,0,0,1,4,37,38,-1,100,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,1660979211,21,0,0,0,0,7,19.23,0,1,0,4,37,38,91,91,91,91,0,7,19.23,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
1383,1645283347,13,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1387,1712392211,13,0,0,0,0,7,19.29,0,1,0,4,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388,1711294563,14,0,0,0,0,7,0,0,1,0,0,37,38,-1,102,128,123,0,7,19.29,0,1,0,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1389,1644201999,-1,-2.2,0,0.2,0,7,19.29,0,0,1,4,37,38,-1,0,128,123,0,7,19.29,0,0,1,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1405,1107331083,13,0,0,0,0,7,19.29,0.4,0.8,0.8,4,37,38,96,97,-1,97,0,7,19.29,0.5,1,0.8,4,37,38,39,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
