"ID","RaceID","SexID","BaseSection","TextureName_1","TextureName_2","TextureName_3","Flags","VariationIndex","ColorIndex"
"5194","1","0","1","Character\Human\Male\HumanMaleFaceLower01_01.blp","Character\Human\Male\HumanMaleFaceUpper01_01.blp","","1","1","1"
"5195","1","0","1","Character\Human\Male\HumanMaleFaceLower01_02.blp","Character\Human\Male\HumanMaleFaceUpper01_02.blp","","1","1","2"
"5196","1","0","1","Character\Human\Male\HumanMaleFaceLower01_03.blp","Character\Human\Male\HumanMaleFaceUpper01_03.blp","","1","1","3"
"5197","1","0","1","Character\Human\Male\HumanMaleFaceLower01_04.blp","Character\Human\Male\HumanMaleFaceUpper01_04.blp","","1","1","4"
"5198","1","0","1","Character\Human\Male\HumanMaleFaceLower01_05.blp","Character\Human\Male\HumanMaleFaceUpper01_05.blp","","1","1","5"
"5199","1","0","1","Character\Human\Male\HumanMaleFaceLower01_06.blp","Character\Human\Male\HumanMaleFaceUpper01_06.blp","","1","1","6"
"5200","1","0","1","Character\Human\Male\HumanMaleFaceLower01_07.blp","Character\Human\Male\HumanMaleFaceUpper01_07.blp","","1","1","7"
"5201","1","0","1","Character\Human\Male\HumanMaleFaceLower01_08.blp","Character\Human\Male\HumanMaleFaceUpper01_08.blp","","1","1","8"
"5202","1","0","1","Character\Human\Male\HumanMaleFaceLower01_09.blp","Character\Human\Male\HumanMaleFaceUpper01_09.blp","","1","1","9"
"5203","1","0","1","Character\Human\Male\HumanMaleFaceLower02_00.blp","Character\Human\Male\HumanMaleFaceUpper02_00.blp","","1","2","0"
"5204","1","0","1","Character\Human\Male\HumanMaleFaceLower02_01.blp","Character\Human\Male\HumanMaleFaceUpper02_01.blp","","1","2","1"
"5205","1","0","1","Character\Human\Male\HumanMaleFaceLower02_02.blp","Character\Human\Male\HumanMaleFaceUpper02_02.blp","","1","2","2"
"5206","1","0","1","Character\Human\Male\HumanMaleFaceLower02_03.blp","Character\Human\Male\HumanMaleFaceUpper02_03.blp","","1","2","3"
"5207","1","0","1","Character\Human\Male\HumanMaleFaceLower02_04.blp","Character\Human\Male\HumanMaleFaceUpper02_04.blp","","1","2","4"
"5208","1","0","1","Character\Human\Male\HumanMaleFaceLower02_05.blp","Character\Human\Male\HumanMaleFaceUpper02_05.blp","","1","2","5"
"5209","1","0","1","Character\Human\Male\HumanMaleFaceLower02_06.blp","Character\Human\Male\HumanMaleFaceUpper02_06.blp","","1","2","6"
"5210","1","0","1","Character\Human\Male\HumanMaleFaceLower02_07.blp","Character\Human\Male\HumanMaleFaceUpper02_07.blp","","1","2","7"
"5211","1","0","1","Character\Human\Male\HumanMaleFaceLower02_08.blp","Character\Human\Male\HumanMaleFaceUpper02_08.blp","","1","2","8"
"5212","1","0","1","Character\Human\Male\HumanMaleFaceLower02_09.blp","Character\Human\Male\HumanMaleFaceUpper02_09.blp","","1","2","9"
"10191","1","0","1","Character\Human\Male\HumanMaleFaceLower02_10.blp","Character\Human\Male\HumanMaleFaceUpper02_10.blp","","5","2","12"
"10192","1","0","1","Character\Human\Male\HumanMaleFaceLower02_11.blp","Character\Human\Male\HumanMaleFaceUpper02_11.blp","","5","2","13"
"10193","1","0","1","Character\Human\Male\HumanMaleFaceLower02_12.blp","Character\Human\Male\HumanMaleFaceUpper02_12.blp","","5","2","14"
"5213","1","0","1","Character\Human\Male\HumanMaleFaceLower03_00.blp","Character\Human\Male\HumanMaleFaceUpper03_00.blp","","1","3","0"
"5214","1","0","1","Character\Human\Male\HumanMaleFaceLower03_01.blp","Character\Human\Male\HumanMaleFaceUpper03_01.blp","","1","3","1"
"5215","1","0","1","Character\Human\Male\HumanMaleFaceLower03_02.blp","Character\Human\Male\HumanMaleFaceUpper03_02.blp","","1","3","2"
"5216","1","0","1","Character\Human\Male\HumanMaleFaceLower03_03.blp","Character\Human\Male\HumanMaleFaceUpper03_03.blp","","1","3","3"
"5217","1","0","1","Character\Human\Male\HumanMaleFaceLower03_04.blp","Character\Human\Male\HumanMaleFaceUpper03_04.blp","","1","3","4"
"5218","1","0","1","Character\Human\Male\HumanMaleFaceLower03_05.blp","Character\Human\Male\HumanMaleFaceUpper03_05.blp","","1","3","5"
"5219","1","0","1","Character\Human\Male\HumanMaleFaceLower03_06.blp","Character\Human\Male\HumanMaleFaceUpper03_06.blp","","1","3","6"
"5220","1","0","1","Character\Human\Male\HumanMaleFaceLower03_07.blp","Character\Human\Male\HumanMaleFaceUpper03_07.blp","","1","3","7"
"5221","1","0","1","Character\Human\Male\HumanMaleFaceLower03_08.blp","Character\Human\Male\HumanMaleFaceUpper03_08.blp","","1","3","8"
"5222","1","0","1","Character\Human\Male\HumanMaleFaceLower03_09.blp","Character\Human\Male\HumanMaleFaceUpper03_09.blp","","1","3","9"
"5223","1","0","1","Character\Human\Male\HumanMaleFaceLower04_00.blp","Character\Human\Male\HumanMaleFaceUpper04_00.blp","","1","4","0"
"5224","1","0","1","Character\Human\Male\HumanMaleFaceLower04_01.blp","Character\Human\Male\HumanMaleFaceUpper04_01.blp","","1","4","1"
"5225","1","0","1","Character\Human\Male\HumanMaleFaceLower04_02.blp","Character\Human\Male\HumanMaleFaceUpper04_02.blp","","1","4","2"
"5226","1","0","1","Character\Human\Male\HumanMaleFaceLower04_03.blp","Character\Human\Male\HumanMaleFaceUpper04_03.blp","","1","4","3"
"5227","1","0","1","Character\Human\Male\HumanMaleFaceLower04_04.blp","Character\Human\Male\HumanMaleFaceUpper04_04.blp","","1","4","4"
"5228","1","0","1","Character\Human\Male\HumanMaleFaceLower04_05.blp","Character\Human\Male\HumanMaleFaceUpper04_05.blp","","1","4","5"
"5229","1","0","1","Character\Human\Male\HumanMaleFaceLower04_06.blp","Character\Human\Male\HumanMaleFaceUpper04_06.blp","","1","4","6"
"5230","1","0","1","Character\Human\Male\HumanMaleFaceLower04_07.blp","Character\Human\Male\HumanMaleFaceUpper04_07.blp","","1","4","7"
"5231","1","0","1","Character\Human\Male\HumanMaleFaceLower04_08.blp","Character\Human\Male\HumanMaleFaceUpper04_08.blp","","1","4","8"
"5232","1","0","1","Character\Human\Male\HumanMaleFaceLower04_09.blp","Character\Human\Male\HumanMaleFaceUpper04_09.blp","","1","4","9"
"5233","1","0","1","Character\Human\Male\HumanMaleFaceLower05_00.blp","Character\Human\Male\HumanMaleFaceUpper05_00.blp","","1","5","0"
"5234","1","0","1","Character\Human\Male\HumanMaleFaceLower05_01.blp","Character\Human\Male\HumanMaleFaceUpper05_01.blp","","1","5","1"
"5235","1","0","1","Character\Human\Male\HumanMaleFaceLower05_02.blp","Character\Human\Male\HumanMaleFaceUpper05_02.blp","","1","5","2"
"5236","1","0","1","Character\Human\Male\HumanMaleFaceLower05_03.blp","Character\Human\Male\HumanMaleFaceUpper05_03.blp","","1","5","3"
"5237","1","0","1","Character\Human\Male\HumanMaleFaceLower05_04.blp","Character\Human\Male\HumanMaleFaceUpper05_04.blp","","1","5","4"
"5238","1","0","1","Character\Human\Male\HumanMaleFaceLower05_05.blp","Character\Human\Male\HumanMaleFaceUpper05_05.blp","","1","5","5"
"5239","1","0","1","Character\Human\Male\HumanMaleFaceLower05_06.blp","Character\Human\Male\HumanMaleFaceUpper05_06.blp","","1","5","6"
"5240","1","0","1","Character\Human\Male\HumanMaleFaceLower05_07.blp","Character\Human\Male\HumanMaleFaceUpper05_07.blp","","1","5","7"
"5241","1","0","1","Character\Human\Male\HumanMaleFaceLower05_08.blp","Character\Human\Male\HumanMaleFaceUpper05_08.blp","","1","5","8"
"5242","1","0","1","Character\Human\Male\HumanMaleFaceLower05_09.blp","Character\Human\Male\HumanMaleFaceUpper05_09.blp","","1","5","9"
"5243","1","0","1","Character\Human\Male\HumanMaleFaceLower06_00.blp","Character\Human\Male\HumanMaleFaceUpper06_00.blp","","1","6","0"
"5244","1","0","1","Character\Human\Male\HumanMaleFaceLower06_01.blp","Character\Human\Male\HumanMaleFaceUpper06_01.blp","","1","6","1"
"5245","1","0","1","Character\Human\Male\HumanMaleFaceLower06_02.blp","Character\Human\Male\HumanMaleFaceUpper06_02.blp","","1","6","2"
"5246","1","0","1","Character\Human\Male\HumanMaleFaceLower06_03.blp","Character\Human\Male\HumanMaleFaceUpper06_03.blp","","1","6","3"
"5247","1","0","1","Character\Human\Male\HumanMaleFaceLower06_04.blp","Character\Human\Male\HumanMaleFaceUpper06_04.blp","","1","6","4"
"5248","1","0","1","Character\Human\Male\HumanMaleFaceLower06_05.blp","Character\Human\Male\HumanMaleFaceUpper06_05.blp","","1","6","5"
"5249","1","0","1","Character\Human\Male\HumanMaleFaceLower06_06.blp","Character\Human\Male\HumanMaleFaceUpper06_06.blp","","1","6","6"
"5250","1","0","1","Character\Human\Male\HumanMaleFaceLower06_07.blp","Character\Human\Male\HumanMaleFaceUpper06_07.blp","","1","6","7"
"5251","1","0","1","Character\Human\Male\HumanMaleFaceLower06_08.blp","Character\Human\Male\HumanMaleFaceUpper06_08.blp","","1","6","8"
"5252","1","0","1","Character\Human\Male\HumanMaleFaceLower06_09.blp","Character\Human\Male\HumanMaleFaceUpper06_09.blp","","1","6","9"
"5253","1","0","1","Character\Human\Male\HumanMaleFaceLower07_00.blp","Character\Human\Male\HumanMaleFaceUpper07_00.blp","","1","7","0"
"5254","1","0","1","Character\Human\Male\HumanMaleFaceLower07_01.blp","Character\Human\Male\HumanMaleFaceUpper07_01.blp","","1","7","1"
"5255","1","0","1","Character\Human\Male\HumanMaleFaceLower07_02.blp","Character\Human\Male\HumanMaleFaceUpper07_02.blp","","1","7","2"
"5256","1","0","1","Character\Human\Male\HumanMaleFaceLower07_03.blp","Character\Human\Male\HumanMaleFaceUpper07_03.blp","","1","7","3"
"5257","1","0","1","Character\Human\Male\HumanMaleFaceLower07_04.blp","Character\Human\Male\HumanMaleFaceUpper07_04.blp","","1","7","4"
"5258","1","0","1","Character\Human\Male\HumanMaleFaceLower07_05.blp","Character\Human\Male\HumanMaleFaceUpper07_05.blp","","1","7","5"
"5259","1","0","1","Character\Human\Male\HumanMaleFaceLower07_06.blp","Character\Human\Male\HumanMaleFaceUpper07_06.blp","","1","7","6"
"5260","1","0","1","Character\Human\Male\HumanMaleFaceLower07_07.blp","Character\Human\Male\HumanMaleFaceUpper07_07.blp","","1","7","7"
"5261","1","0","1","Character\Human\Male\HumanMaleFaceLower07_08.blp","Character\Human\Male\HumanMaleFaceUpper07_08.blp","","1","7","8"
"5262","1","0","1","Character\Human\Male\HumanMaleFaceLower07_09.blp","Character\Human\Male\HumanMaleFaceUpper07_09.blp","","1","7","9"
"5263","1","0","1","Character\Human\Male\HumanMaleFaceLower08_00.blp","Character\Human\Male\HumanMaleFaceUpper08_00.blp","","1","8","0"
"5264","1","0","1","Character\Human\Male\HumanMaleFaceLower08_01.blp","Character\Human\Male\HumanMaleFaceUpper08_01.blp","","1","8","1"
"5265","1","0","1","Character\Human\Male\HumanMaleFaceLower08_02.blp","Character\Human\Male\HumanMaleFaceUpper08_02.blp","","1","8","2"
"5266","1","0","1","Character\Human\Male\HumanMaleFaceLower08_03.blp","Character\Human\Male\HumanMaleFaceUpper08_03.blp","","1","8","3"
"5267","1","0","1","Character\Human\Male\HumanMaleFaceLower08_04.blp","Character\Human\Male\HumanMaleFaceUpper08_04.blp","","1","8","4"
"5268","1","0","1","Character\Human\Male\HumanMaleFaceLower08_05.blp","Character\Human\Male\HumanMaleFaceUpper08_05.blp","","1","8","5"
"5269","1","0","1","Character\Human\Male\HumanMaleFaceLower08_06.blp","Character\Human\Male\HumanMaleFaceUpper08_06.blp","","1","8","6"
"5270","1","0","1","Character\Human\Male\HumanMaleFaceLower08_07.blp","Character\Human\Male\HumanMaleFaceUpper08_07.blp","","1","8","7"
"5271","1","0","1","Character\Human\Male\HumanMaleFaceLower08_08.blp","Character\Human\Male\HumanMaleFaceUpper08_08.blp","","1","8","8"
"5272","1","0","1","Character\Human\Male\HumanMaleFaceLower08_09.blp","Character\Human\Male\HumanMaleFaceUpper08_09.blp","","1","8","9"
"5273","1","0","1","Character\Human\Male\HumanMaleFaceLower09_00.blp","Character\Human\Male\HumanMaleFaceUpper09_00.blp","","1","9","0"
"5274","1","0","1","Character\Human\Male\HumanMaleFaceLower09_01.blp","Character\Human\Male\HumanMaleFaceUpper09_01.blp","","1","9","1"
"5275","1","0","1","Character\Human\Male\HumanMaleFaceLower09_02.blp","Character\Human\Male\HumanMaleFaceUpper09_02.blp","","1","9","2"
"5276","1","0","1","Character\Human\Male\HumanMaleFaceLower09_03.blp","Character\Human\Male\HumanMaleFaceUpper09_03.blp","","1","9","3"
"5277","1","0","1","Character\Human\Male\HumanMaleFaceLower09_04.blp","Character\Human\Male\HumanMaleFaceUpper09_04.blp","","1","9","4"
"5278","1","0","1","Character\Human\Male\HumanMaleFaceLower09_05.blp","Character\Human\Male\HumanMaleFaceUpper09_05.blp","","1","9","5"
"5279","1","0","1","Character\Human\Male\HumanMaleFaceLower09_06.blp","Character\Human\Male\HumanMaleFaceUpper09_06.blp","","1","9","6"
"5280","1","0","1","Character\Human\Male\HumanMaleFaceLower09_07.blp","Character\Human\Male\HumanMaleFaceUpper09_07.blp","","1","9","7"
"5281","1","0","1","Character\Human\Male\HumanMaleFaceLower09_08.blp","Character\Human\Male\HumanMaleFaceUpper09_08.blp","","1","9","8"
"5282","1","0","1","Character\Human\Male\HumanMaleFaceLower09_09.blp","Character\Human\Male\HumanMaleFaceUpper09_09.blp","","1","9","9"
"5283","1","0","1","Character\Human\Male\HumanMaleFaceLower10_00.blp","Character\Human\Male\HumanMaleFaceUpper10_00.blp","","1","10","0"
"5284","1","0","1","Character\Human\Male\HumanMaleFaceLower10_01.blp","Character\Human\Male\HumanMaleFaceUpper10_01.blp","","1","10","1"
"5285","1","0","1","Character\Human\Male\HumanMaleFaceLower10_02.blp","Character\Human\Male\HumanMaleFaceUpper10_02.blp","","1","10","2"
"5286","1","0","1","Character\Human\Male\HumanMaleFaceLower10_03.blp","Character\Human\Male\HumanMaleFaceUpper10_03.blp","","1","10","3"
"5287","1","0","1","Character\Human\Male\HumanMaleFaceLower10_04.blp","Character\Human\Male\HumanMaleFaceUpper10_04.blp","","1","10","4"
"5288","1","0","1","Character\Human\Male\HumanMaleFaceLower10_05.blp","Character\Human\Male\HumanMaleFaceUpper10_05.blp","","1","10","5"
"5289","1","0","1","Character\Human\Male\HumanMaleFaceLower10_06.blp","Character\Human\Male\HumanMaleFaceUpper10_06.blp","","1","10","6"
"5290","1","0","1","Character\Human\Male\HumanMaleFaceLower10_07.blp","Character\Human\Male\HumanMaleFaceUpper10_07.blp","","1","10","7"
"5291","1","0","1","Character\Human\Male\HumanMaleFaceLower10_08.blp","Character\Human\Male\HumanMaleFaceUpper10_08.blp","","1","10","8"
"5292","1","0","1","Character\Human\Male\HumanMaleFaceLower10_09.blp","Character\Human\Male\HumanMaleFaceUpper10_09.blp","","1","10","9"
"5293","1","0","1","Character\Human\Male\HumanMaleFaceLower11_00.blp","Character\Human\Male\HumanMaleFaceUpper11_00.blp","","1","11","0"
"5294","1","0","1","Character\Human\Male\HumanMaleFaceLower11_01.blp","Character\Human\Male\HumanMaleFaceUpper11_01.blp","","1","11","1"
"5295","1","0","1","Character\Human\Male\HumanMaleFaceLower11_02.blp","Character\Human\Male\HumanMaleFaceUpper11_02.blp","","1","11","2"
"5296","1","0","1","Character\Human\Male\HumanMaleFaceLower11_03.blp","Character\Human\Male\HumanMaleFaceUpper11_03.blp","","1","11","3"
"5297","1","0","1","Character\Human\Male\HumanMaleFaceLower11_04.blp","Character\Human\Male\HumanMaleFaceUpper11_04.blp","","1","11","4"
"5298","1","0","1","Character\Human\Male\HumanMaleFaceLower11_05.blp","Character\Human\Male\HumanMaleFaceUpper11_05.blp","","1","11","5"
"5299","1","0","1","Character\Human\Male\HumanMaleFaceLower11_06.blp","Character\Human\Male\HumanMaleFaceUpper11_06.blp","","1","11","6"
"5300","1","0","1","Character\Human\Male\HumanMaleFaceLower11_07.blp","Character\Human\Male\HumanMaleFaceUpper11_07.blp","","1","11","7"
"5301","1","0","1","Character\Human\Male\HumanMaleFaceLower11_08.blp","Character\Human\Male\HumanMaleFaceUpper11_08.blp","","1","11","8"
"5302","1","0","1","Character\Human\Male\HumanMaleFaceLower11_09.blp","Character\Human\Male\HumanMaleFaceUpper11_09.blp","","1","11","9"
"10789","1","0","1","Character\Human\Male\HumanMaleFaceLower11_10.blp","Character\Human\Male\HumanMaleFaceUpper11_10.blp","","5","11","12"
"10790","1","0","1","Character\Human\Male\HumanMaleFaceLower11_11.blp","Character\Human\Male\HumanMaleFaceUpper11_11.blp","","5","11","13"
"10791","1","0","1","Character\Human\Male\HumanMaleFaceLower11_12.blp","Character\Human\Male\HumanMaleFaceUpper11_12.blp","","5","11","14"
"12884","1","0","1","Character\Human\Male\HumanMaleFaceLower12_00.blp","Character\Human\Male\HumanMaleFaceUpper12_00.blp","","5","12","0"
"12885","1","0","1","Character\Human\Male\HumanMaleFaceLower12_01.blp","Character\Human\Male\HumanMaleFaceUpper12_01.blp","","5","12","1"
"12886","1","0","1","Character\Human\Male\HumanMaleFaceLower12_02.blp","Character\Human\Male\HumanMaleFaceUpper12_02.blp","","5","12","2"
"12887","1","0","1","Character\Human\Male\HumanMaleFaceLower12_03.blp","Character\Human\Male\HumanMaleFaceUpper12_03.blp","","5","12","3"
"12888","1","0","1","Character\Human\Male\HumanMaleFaceLower12_04.blp","Character\Human\Male\HumanMaleFaceUpper12_04.blp","","5","12","4"
"12889","1","0","1","Character\Human\Male\HumanMaleFaceLower12_05.blp","Character\Human\Male\HumanMaleFaceUpper12_05.blp","","5","12","5"
"12890","1","0","1","Character\Human\Male\HumanMaleFaceLower12_06.blp","Character\Human\Male\HumanMaleFaceUpper12_06.blp","","5","12","6"
"12891","1","0","1","Character\Human\Male\HumanMaleFaceLower12_07.blp","Character\Human\Male\HumanMaleFaceUpper12_07.blp","","5","12","7"
"12892","1","0","1","Character\Human\Male\HumanMaleFaceLower12_08.blp","Character\Human\Male\HumanMaleFaceUpper12_08.blp","","5","12","8"
"12893","1","0","1","Character\Human\Male\HumanMaleFaceLower12_09.blp","Character\Human\Male\HumanMaleFaceUpper12_09.blp","","5","12","9"
"12894","1","0","1","Character\Human\Male\HumanMaleFaceLower13_00.blp","Character\Human\Male\HumanMaleFaceUpper13_00.blp","","5","13","0"
"12895","1","0","1","Character\Human\Male\HumanMaleFaceLower13_01.blp","Character\Human\Male\HumanMaleFaceUpper13_01.blp","","5","13","1"
"12896","1","0","1","Character\Human\Male\HumanMaleFaceLower13_02.blp","Character\Human\Male\HumanMaleFaceUpper13_02.blp","","5","13","2"
"12897","1","0","1","Character\Human\Male\HumanMaleFaceLower13_03.blp","Character\Human\Male\HumanMaleFaceUpper13_03.blp","","5","13","3"
"12898","1","0","1","Character\Human\Male\HumanMaleFaceLower13_04.blp","Character\Human\Male\HumanMaleFaceUpper13_04.blp","","5","13","4"
"12899","1","0","1","Character\Human\Male\HumanMaleFaceLower13_05.blp","Character\Human\Male\HumanMaleFaceUpper13_05.blp","","5","13","5"
"12900","1","0","1","Character\Human\Male\HumanMaleFaceLower13_06.blp","Character\Human\Male\HumanMaleFaceUpper13_06.blp","","5","13","6"
"12901","1","0","1","Character\Human\Male\HumanMaleFaceLower13_07.blp","Character\Human\Male\HumanMaleFaceUpper13_07.blp","","5","13","7"
"12902","1","0","1","Character\Human\Male\HumanMaleFaceLower13_08.blp","Character\Human\Male\HumanMaleFaceUpper13_08.blp","","5","13","8"
"12903","1","0","1","Character\Human\Male\HumanMaleFaceLower13_09.blp","Character\Human\Male\HumanMaleFaceUpper13_09.blp","","5","13","9"
"12904","1","0","1","Character\Human\Male\HumanMaleFaceLower14_00.blp","Character\Human\Male\HumanMaleFaceUpper14_00.blp","","5","14","0"
"12905","1","0","1","Character\Human\Male\HumanMaleFaceLower14_01.blp","Character\Human\Male\HumanMaleFaceUpper14_01.blp","","5","14","1"
"12906","1","0","1","Character\Human\Male\HumanMaleFaceLower14_02.blp","Character\Human\Male\HumanMaleFaceUpper14_02.blp","","5","14","2"
"12907","1","0","1","Character\Human\Male\HumanMaleFaceLower14_03.blp","Character\Human\Male\HumanMaleFaceUpper14_03.blp","","5","14","3"
"12908","1","0","1","Character\Human\Male\HumanMaleFaceLower14_04.blp","Character\Human\Male\HumanMaleFaceUpper14_04.blp","","5","14","4"
"12909","1","0","1","Character\Human\Male\HumanMaleFaceLower14_05.blp","Character\Human\Male\HumanMaleFaceUpper14_05.blp","","5","14","5"
"12910","1","0","1","Character\Human\Male\HumanMaleFaceLower14_06.blp","Character\Human\Male\HumanMaleFaceUpper14_06.blp","","5","14","6"
"12911","1","0","1","Character\Human\Male\HumanMaleFaceLower14_07.blp","Character\Human\Male\HumanMaleFaceUpper14_07.blp","","5","14","7"
"12912","1","0","1","Character\Human\Male\HumanMaleFaceLower14_08.blp","Character\Human\Male\HumanMaleFaceUpper14_08.blp","","5","14","8"
"12913","1","0","1","Character\Human\Male\HumanMaleFaceLower14_09.blp","Character\Human\Male\HumanMaleFaceUpper14_09.blp","","5","14","9"
"12914","1","0","1","Character\Human\Male\HumanMaleFaceLower15_00.blp","Character\Human\Male\HumanMaleFaceUpper15_00.blp","","5","15","0"
"12915","1","0","1","Character\Human\Male\HumanMaleFaceLower15_01.blp","Character\Human\Male\HumanMaleFaceUpper15_01.blp","","5","15","1"
"12916","1","0","1","Character\Human\Male\HumanMaleFaceLower15_02.blp","Character\Human\Male\HumanMaleFaceUpper15_02.blp","","5","15","2"
"12917","1","0","1","Character\Human\Male\HumanMaleFaceLower15_03.blp","Character\Human\Male\HumanMaleFaceUpper15_03.blp","","5","15","3"
"12918","1","0","1","Character\Human\Male\HumanMaleFaceLower15_04.blp","Character\Human\Male\HumanMaleFaceUpper15_04.blp","","5","15","4"
"12919","1","0","1","Character\Human\Male\HumanMaleFaceLower15_05.blp","Character\Human\Male\HumanMaleFaceUpper15_05.blp","","5","15","5"
"12920","1","0","1","Character\Human\Male\HumanMaleFaceLower15_06.blp","Character\Human\Male\HumanMaleFaceUpper15_06.blp","","5","15","6"
"12921","1","0","1","Character\Human\Male\HumanMaleFaceLower15_07.blp","Character\Human\Male\HumanMaleFaceUpper15_07.blp","","5","15","7"
"12922","1","0","1","Character\Human\Male\HumanMaleFaceLower15_08.blp","Character\Human\Male\HumanMaleFaceUpper15_08.blp","","5","15","8"
"12923","1","0","1","Character\Human\Male\HumanMaleFaceLower15_09.blp","Character\Human\Male\HumanMaleFaceUpper15_09.blp","","5","15","9"
"12924","1","0","1","Character\Human\Male\HumanMaleFaceLower16_00.blp","Character\Human\Male\HumanMaleFaceUpper16_00.blp","","5","16","0"
"12925","1","0","1","Character\Human\Male\HumanMaleFaceLower16_01.blp","Character\Human\Male\HumanMaleFaceUpper16_01.blp","","5","16","1"
"12926","1","0","1","Character\Human\Male\HumanMaleFaceLower16_02.blp","Character\Human\Male\HumanMaleFaceUpper16_02.blp","","5","16","2"
"12927","1","0","1","Character\Human\Male\HumanMaleFaceLower16_03.blp","Character\Human\Male\HumanMaleFaceUpper16_03.blp","","5","16","3"
"12928","1","0","1","Character\Human\Male\HumanMaleFaceLower16_04.blp","Character\Human\Male\HumanMaleFaceUpper16_04.blp","","5","16","4"
"12929","1","0","1","Character\Human\Male\HumanMaleFaceLower16_05.blp","Character\Human\Male\HumanMaleFaceUpper16_05.blp","","5","16","5"
