ID,Start_1,Start_2,Start_3,Mid_1,Mid_2,Mid_3,End_1,End_2,End_3
521,-15877639,-15941895,-15943175,-16088619,-16088619,-16088619,-16224079,-16159567,-16159567
541,-65659,-65659,-65659,-31724,-31724,-31724,-6815744,-6815744,-6815744
542,-4659713,-4659713,-4659713,-15420161,-15420161,-15420161,-16550692,-16550692,-16550692
561,-1510598,-16777216,-16777216,-9915633,-16777216,-16777216,-10933975,-16777216,-16777216
562,-820422,-16777216,-16777216,-5037553,-16777216,-16777216,-10933975,-16777216,-16777216
563,-803526,-16777216,-16777216,-5022406,-16777216,-16777216,-10926807,-16777216,-16777216
581,-8848116,-16777216,-16777216,-16746234,-16777216,-16777216,-16167666,-16777216,-16777216
582,-798705,-16777216,-16777216,-1985536,-16777216,-16777216,-5037312,-16777216,-16777216
583,-572145,-16777216,-16777216,-3452672,-16777216,-16777216,-7393524,-16777216,-16777216
584,-2112515,-16777216,-16777216,-4883720,-16777216,-16777216,-7721740,-16777216,-16777216
585,-3910912,-16777216,-16777216,-2770862,-16777216,-16777216,-1189975,-16777216,-16777216
586,-13712384,-16777216,-16777216,-7809712,-16777216,-16777216,-1446487,-16777216,-16777216
599,-15586386,-16777216,-16777216,-15885348,-16777216,-16777216,-14099220,-16777216,-16777216
600,-10284370,-16777216,-16777216,-11571209,-16777216,-16777216,-4599060,-16777216,-16777216
601,-5364718,-16777216,-16777216,-552691,-16777216,-16777216,-1256048,-16777216,-16777216
602,-5354734,-16777216,-16777216,-541171,-16777216,-16777216,-1251137,-16777216,-16777216
722,-659507,-16777216,-16777216,-862356,-16777216,-16777216,-4035037,-16777216,-16777216
757,-14099220,-16777216,-16777216,-15885321,-16777216,-16777216,-15586386,-16777216,-16777216
758,-1276130,-16777216,-16777216,-1421300,-16777216,-16777216,-7788018,-16777216,-16777216
764,-3604481,-16777216,-16777216,-10159361,-16777216,-16777216,-16774860,-16777216,-16777216
765,-1276130,-16777216,-16777216,-1421300,-16777216,-16777216,-7788018,-16777216,-16777216
766,-713472,-16777216,-16777216,-4190457,-16777216,-16777216,-9822456,-16777216,-16777216
767,-3604481,-16777216,-16777216,-9569537,-16777216,-16777216,-16774860,-16777216,-16777216
768,-9382812,-16777216,-16777216,-16736411,-16777216,-16777216,-16286625,-16777216,-16777216
819,-13897606,-16777216,-16777216,-13897606,-16777216,-16777216,-13897606,-16777216,-16777216
824,-4152200,-4152202,-16777216,-6588857,-6588857,-16777216,-8630738,-8630738,-16777216
826,-4152200,-10169185,-16777216,-6588857,-16736374,-16777216,-8630738,-16291204,-16777216
838,-16636416,-16777216,-16777216,-14002688,-16777216,-16777216,-11203,-16777216,-16777216
842,-6756884,-16777216,-16777216,-10638131,-16777216,-16777216,-12883034,-16777216,-16777216
843,-1276130,-16777216,-16777216,-1421300,-16777216,-16777216,-7788018,-16777216,-16777216
845,-10169174,-16777216,-16777216,-16736364,-16777216,-16777216,-16286583,-16777216,-16777216
854,-112,-16777216,-16777216,-4129024,-16777216,-16777216,-16711936,-16777216,-16777216
855,-7274519,-16777216,-16777216,-16744705,-16777216,-16777216,-16772353,-16777216,-16777216
856,-13936,-16777216,-16777216,-31744,-16777216,-16777216,-1549056,-16777216,-16777216
857,-20914,-16777216,-16777216,-2139131,-16777216,-16777216,-5036011,-16777216,-16777216
858,-16757656,-16777216,-16777216,-16410675,-16777216,-16777216,-13056554,-16777216,-16777216
860,-4644585,-16777216,-16777216,-2678272,-16777216,-16777216,-36514,-16777216,-16777216
861,-3604637,-16777216,-16777216,-4284579,-16777216,-16777216,-16774860,-16777216,-16777216
872,-11599912,-16777216,-16777216,-16392303,-16777216,-16777216,-15355059,-16777216,-16777216
873,-929158,-16777216,-16777216,-2910400,-16777216,-16777216,-5019064,-16777216,-16777216
904,-1447447,-16777216,-16777216,-4210753,-16777216,-16777216,-13290187,-16777216,-16777216
920,-13376564,-16777216,-16777216,-14899997,-16777216,-16777216,-15355169,-16777216,-16777216
951,-16711852,-16711852,-16777216,-16744442,-16744442,-16777216,-16777216,-16777216,-16777216
1016,-3917801,-16777216,-16777216,-1021952,-16777216,-16777216,-1467087,-16777216,-16777216
1397,-6777391,-10791233,-8093496,-9869853,-13685857,-11317282,-8381212,-8446749,-9037612
1644,-16777216,-530482,-530482,-16359,-9363,-10869,-1047,-13361152,-25600
1665,-16771247,-16777216,-16777216,-16711882,-16777216,-16777216,-4391549,-16777216,-16777216
1688,-12346787,-16777216,-16777216,-14226411,-16777216,-16777216,-12962800,-16777216,-16777216
1689,-5291127,-16777216,-16777216,-1305323,-16777216,-16777216,-10938355,-16777216,-16777216
1690,-5266621,-16777216,-16777216,-1269739,-16777216,-16777216,-9823729,-16777216,-16777216
1829,-3244544,-5723993,-11468544,-5095680,-5203863,-20978,-12710656,-7843519,-16777216
1877,-8193453,-16777216,-16777216,-12397048,-16777216,-16777216,-14919936,-16777216,-16777216
1889,-16777216,-16777216,-16777216,-2635135,-16777216,-16777216,-16777216,-16777216,-16777216
1895,-16777216,-16777216,-16777216,-5611520,-16777216,-16777216,-16777216,-16777216,-16777216
1903,-10758912,-16777216,-16777216,-16740080,-16777216,-16777216,-16608752,-16777216,-16777216
1904,-12133367,-16777216,-16777216,-917748,-6760433,-16777216,-12133367,-16777216,-16777216
1905,-2683635,-16777216,-16777216,-917748,-2458867,-16777216,-2683635,-16777216,-16777216
1922,-257004,-16777216,-16777216,-508928,-16777216,-16777216,-1668073,-16777216,-16777216
1923,-196844,-16777216,-16777216,-473856,-16777216,-16777216,-1672425,-16777216,-16777216
1977,-16712030,-16777216,-16777216,-16712030,-16777216,-16777216,-16712030,-16777216,-16777216
1982,-16753409,-16777216,-16777216,-16753409,-16777216,-16777216,-16753409,-16777216,-16777216
2083,-360148,-29135,-28367,-2936554,-2936813,-3068141,-5826293,-5957624,-6548213
2085,-16777216,-16777216,-16777216,-1,-14024959,-16777216,-16777216,-16777216,-16777216
2093,-2493967,-16777216,-16777216,-6180432,-16777216,-16777216,-12960185,-16777216,-16777216
2094,-13457982,-16777216,-16777216,-14660938,-16777216,-16777216,-13155729,-16777216,-16777216
2099,-5308,-16777216,-16777216,-2658,-16777216,-16777216,-1,-16777216,-16777216
2100,-5308,-16777216,-16777216,-2658,-16777216,-16777216,-1,-16777216,-16777216
2111,-12058369,-8706597,-10801275,-11730689,-8126209,-10551113,-13500238,-7732993,-9755241
2112,-1,-16732485,-16711746,-10227969,-16758632,-16743287,-16739911,-16777096,-16752591
2119,-16227141,-16227141,-16227141,-11227649,-11227649,-11227649,-16227141,-16227141,-16227141
2145,-43518,-1753593,-1,-58112,-13753055,-43776,-16777216,-14935012,-6029312
2146,-13722881,-13786900,-8656385,-16760412,-14669266,-16612865,-16777216,-14935012,-16707017
2150,-1279744,-16777216,-16777216,-1548800,-16777216,-16777216,-1883392,-16777216,-16777216
2156,-30463,-2069248,-16777216,-1417468,-5893375,-16777216,-2805239,-5893375,-16777216
2157,-1023,-2047199,-16777216,-10240,-3129340,-16777216,-30463,-2805239,-16777216
2158,-70903,-70903,-16777216,-10240,-31991,-16777216,-21750,-31991,-16777216
2159,-3935746,-3935746,-16777216,-10758401,-13914881,-16777216,-13914881,-13914881,-16777216
2161,-10821131,-16777216,-16777216,-14773827,-16777216,-16777216,-15842355,-16777216,-16777216
2172,-16777216,-16777216,-16777216,-12222607,-791057,-16777216,-16777216,-16777216,-16777216
2190,-129,-737280,-536320,-4348333,-2780159,-542976,-11534336,-10602743,-87265
2194,-1852161,-1852161,-16777216,-7758340,-7758340,-16777216,-10682137,-10682137,-16777216
2195,-9529,-5622732,-16777216,-59625,-7602175,-16777216,-9760996,-10354687,-16777216
2196,-3997712,-16763318,-16777216,-16725878,-14405558,-16777216,-16756623,-16777216,-16777216
2204,-3236041,-5141139,-31426,-6737133,-3456995,-2860755,-12053998,-12189696,-5624034
2205,-13869398,-12735533,-16098130,-16369729,-16761416,-15713628,-16710072,-16515002,-15460705
2206,-4587732,-5122243,-16753638,-12735997,-14047488,-16753638,-16758748,-16759261,-16757472
2207,-1656787,-2316484,-10855928,-9941239,-9415668,-10856674,-12900608,-12177920,-10857419
2208,-2645203,-2911654,-6607308,-6213865,-5099504,-12245973,-11529196,-11665404,-14415339
2241,-16777216,-7355905,-16777216,-12536833,-14252801,-16777216,-12536833,-10978049,-16777216
2255,-16711711,-16777216,-16777216,-16729089,-16777216,-16777216,-16750849,-16777216,-16777216
2256,-24063,-16777216,-16777216,-35072,-16777216,-16777216,-43776,-16777216,-16777216
2257,-6291243,-16777216,-16777216,-12320641,-16777216,-16777216,-14810763,-16777216,-16777216
2258,-5638401,-16777216,-16777216,-9651457,-16777216,-16777216,-16750849,-16777216,-16777216
2259,-46346,-16777216,-16777216,-35331,-16777216,-16777216,-9729,-16777216,-16777216
2260,-14861173,-16777216,-16777216,-13371655,-16777216,-16777216,-3869185,-16777216,-16777216
2261,-12705389,-16777216,-16777216,-5692939,-16777216,-16777216,-1696264,-16777216,-16777216
2262,-13867309,-16777216,-16777216,-10953729,-16777216,-16777216,-13095474,-16777216,-16777216
2263,-54784,-16777216,-16777216,-27392,-16777216,-16777216,-13312,-16777216,-16777216
2282,-1246720,-16777216,-16777216,-15047936,-9046272,-16777216,-16777216,-16777216,-16777216
2283,-327462,-16777216,-16777216,-11534230,-8257292,-16777216,-16777216,-16777216,-16777216
2284,-216576,-16777216,-16777216,-505344,-309504,-16777216,-16777216,-16777216,-16777216
2288,-16777216,-28017,-16777216,-44480,-55002,-16777216,-44736,-41384,-16777216
2289,-16777216,-65649,-16777216,-65728,-474,-16777216,-960,-680,-16777216
2290,-16777216,-7041025,-16777216,-11976449,-13162753,-16777216,-11583233,-9611009,-16777216
2371,-7667575,-11140904,-16762555,-3997466,-8650623,-16747121,-5269067,-1,-2692627
2401,-5258390,-7159125,-8010067,-10441586,-9585761,-9260138,-12280972,-15949987,-9984381
2402,-8229393,-4279063,-3953175,-11185739,-9741631,-9672020,-15392647,-14476650,-12758329
2403,-6963790,-8741224,-8218474,-9204344,-10715785,-8812152,-14073280,-13812677,-12499900
2404,-3502105,-4821019,-5270082,-8297819,-8106807,-7904083,-10336364,-9943152,-10602856
2416,-295620,-512429,-16777216,-1006980,-1152125,-16777216,-810631,-1217149,-16777216
2417,-11998805,-15545881,-16777216,-11998805,-15480602,-16777216,-5768488,-5181189,-16777216
2418,-659868,-624622,-16777216,-660124,-558830,-16777216,-396392,-278126,-16777216
2426,-25826,-16777216,-2421,-339865,-8433654,-2421,-2421,-16777216,-2421
2494,-546305,-16777216,-16777216,-6291201,-16777216,-16777216,-113409,-16777216,-16777216
2495,-5645313,-16777216,-16777216,-16742974,-16777216,-16777216,-16656897,-16777216,-16777216
2496,-131159,-16777216,-16777216,-16896,-16777216,-16777216,-9984,-16777216,-16777216
2497,-5832711,-16777216,-16777216,-16728471,-16777216,-16777216,-16711767,-16777216,-16777216
2498,-4100864,-4915,-16777216,-2445565,-3237509,-16777216,-4726,-3237509,-16777216
2499,-7677393,-3145786,-16777216,-7808656,-9122185,-16777216,-13705868,-9122185,-16777216
2534,-16777216,-16777216,-16777216,-11141121,-16777216,-16777216,-11141121,-16777216,-16777216
2535,-16777216,-16777216,-16777216,-11141248,-16777216,-16777216,-11141248,-16777216,-16777216
2536,-16777216,-16777216,-16777216,-65665,-16777216,-16777216,-65665,-16777216,-16777216
2537,-16777216,-16777216,-16777216,-65476,-16777216,-16777216,-65476,-16777216,-16777216
2558,-15792053,-16777216,-16777216,-16557313,-16777216,-16777216,-13164721,-16777216,-16777216
2563,-32725,-659751,-4311011,-3523575,-38400,-2670566,-16777216,-13500416,-12709376
2564,-12815312,-4918102,-7012544,-13869052,-5963966,-7938248,-16711423,-14536191,-9520336
2565,-12547172,-8461313,-12528641,-16496032,-12393729,-13058593,-16711423,-16698831,-13591365
2566,-9346768,-7308759,-17050,-10204129,-3690924,-15518,-16777216,-14215669,-13622003
2581,-7680259,-16440868,-9217545,-13597441,-15438850,-13533185,-16777216,-12438550,-12669697
2604,-3735809,-16777216,-16777216,-9075463,-16777216,-16777216,-16645883,-16777216,-16777216
2607,-16777216,-16777216,-16777216,-7012464,-16777216,-16777216,-16777216,-16777216,-16777216
2614,-12078,-6416333,-4821639,-4444597,-9893090,-2077835,-9825213,-9825213,-4184238
2616,-13087137,-13416361,-10389367,-15063979,-15063978,-15195568,-13416617,-13416617,-13416617
2617,-14923246,-16308728,-10324642,-12232170,-14997244,-10179548,-10786238,-14340088,-10838970
2710,-16777216,-1,-1,-29712,-2460994,-1,-16777216,-11199161,-1
2711,-16777216,-1,-1,-9905,-9905,-1,-16777216,-2380800,-1
2736,-65279,-16777216,-16777216,-889344,-16777216,-16777216,-65279,-16777216,-16777216
2737,-16524530,-16777216,-16777216,-6095616,-16777216,-16777216,-16524530,-16777216,-16777216
2738,-9296902,-16777216,-16777216,-6665220,-16777216,-16777216,-9296902,-16777216,-16777216
2739,-643351,-16777216,-16777216,-330718,-16777216,-16777216,-7420,-16777216,-16777216
2748,-13350472,-16777216,-10638877,-16557313,-14464330,-10638877,-13230514,-16777216,-10638877
2755,-16759310,-16777216,-16777216,-16734997,-16777216,-16777216,-16711685,-16777216,-16777216
10000,-1393135,-5163697,-9108219,-841728,-7527393,-3258112,-5631484,-8519680,-1056643
