"ID","FromTaxiNode","ToTaxiNode","Cost"
"685","156","160","510"
"686","100","128","1020"
"687","128","100","1020"
"688","39","80","110"
"689","40","80","110"
"690","80","39","730"
"691","80","40","730"
"692","55","77","110"
"693","77","55","630"
"694","55","30","630"
"695","30","55","630"
"696","80","55","630"
"697","55","80","110"
"698","80","28","330"
"699","28","80","110"
"702","22","58","530"
"703","58","22","110"
"704","169","170","0"
"705","171","172","0"
"706","172","171","0"
"707","173","174","0"
"708","117","156","1020"
"709","156","117","1020"
"710","175","14","0"
"711","176","177","0"
"712","178","36","0"
"713","178","24","0"
"714","179","55","630"
"715","179","32","630"
"716","55","179","630"
"717","32","179","630"
"718","179","30","430"
"719","30","179","630"
"720","179","31","430"
"721","31","179","630"
"722","163","151","1020"
"723","151","163","1020"
"724","180","181","0"
"727","182","36","0"
"728","183","184","4000"
"729","184","183","4000"
"730","185","184","4000"
"731","184","185","4000"
"732","183","185","4000"
"733","175","178","0"
"734","185","183","4000"
"736","186","187","0"
"737","175","90","0"
"738","188","189","0"
"739","190","191","4000"
"740","192","190","4000"
"741","192","191","4000"
"742","191","190","4000"
"743","191","192","4000"
"744","190","192","4000"
"745","194","193","0"
"746","195","19","630"
"747","19","195","630"
"748","195","4","110"
"749","4","195","630"
"750","195","12","330"
"751","12","195","630"
"752","195","2","630"
"753","2","195","630"
"756","196","35","0"
"757","198","197","0"
"758","23","198","1"
"760","199","200","0"
"765","168","2","1"
"766","68","83","1020"
"767","83","68","1020"
"768","201","202","0"
"771","68","205","1020"
"772","205","68","1020"
"773","83","205","530"
"774","205","83","530"
"775","67","205","1020"
"776","205","67","1020"
"777","206","24","0"
"778","207","208","0"
"779","209","210","0"
"781","82","213","530"
"782","213","82","530"
"784","211","212","0"
"785","214","215","0"
"786","205","213","730"
"787","213","205","730"
"788","212","211","0"
"790","23","80","110"
"791","80","23","110"
"792","221","222","0"
"793","175","178","0"
"794","224","178","0"
"795","225","226","0"
"796","67","213","1750"
"797","213","67","1750"
"798","228","229","0"
"799","230","231","0"
"805","232","233","0"
"806","234","235","0"
"807","6","213","2775"
"808","236","237","0"
"810","241","36","0"
"811","242","243","0"
"812","185","244","4000"
"813","244","185","4000"
"814","245","246","4000"
"815","246","245","4000"
"816","245","247","6000"
"817","247","245","6000"
"818","247","244","4000"
"819","190","248","4000"
"820","244","247","4000"
"821","250","249","4000"
"822","249","250","4000"
"823","251","244","4000"
"824","244","251","4000"
"825","244","252","4000"
"826","248","190","4000"
"827","252","244","4000"
"828","254","250","4000"
"829","253","244","4000"
"830","250","254","6000"
"831","244","253","4000"
"832","250","248","6000"
"834","255","253","4000"
"835","253","255","4000"
"836","248","250","4000"
"837","190","254","12000"
"838","185","253","4000"
"839","254","190","8000"
"841","253","185","6000"
"842","256","252","4000"
"843","252","256","4000"
"844","256","254","5000"
"845","254","256","4000"
"846","257","258","4000"
"847","258","257","4000"
"848","259","257","4000"
"849","257","259","4000"
"852","260","256","4000"
"853","256","260","4000"
"854","235","225","4000"
"855","235","257","4000"
"856","235","245","4000"
"867","204","254","0"
"868","203","261","0"
"869","262","263","0"
"872","266","264","0"
"873","266","265","0"
"874","266","241","0"
"875","267","268","0"
"876","269","270","0"
"877","271","272","0"
"878","273","274","0"
"879","275","276","0"
"880","277","278","0"
"881","280","279","0"
"882","282","281","0"
"883","284","283","0"
"884","285","286","0"
"885","287","288","0"
"888","289","257","4000"
"889","289","245","4000"
"892","252","254","4000"
"893","254","252","4000"
"894","256","258","6000"
"895","258","256","6000"
"896","259","258","4000"
"897","258","259","4000"
"898","192","248","4000"
"899","248","192","4000"
"900","249","192","6000"
"901","192","249","6000"
"902","249","191","6000"
"903","191","249","6000"
"904","184","255","6000"
"905","255","184","6000"
"906","251","247","4000"
"907","247","251","4000"
"908","251","252","4000"
"909","252","251","4000"
"910","247","246","6000"
"911","246","247","6000"
"912","247","252","4000"
"913","252","247","4000"
"914","260","252","4000"
"915","252","260","4000"
"918","290","291","0"
"919","289","246","4000"
"920","246","289","4000"
"921","245","289","4000"
"922","257","289","4000"
"923","259","289","4000"
"924","289","259","4000"
"925","258","289","4000"
"926","289","258","4000"
"927","289","226","5000"
"928","226","289","5000"
"930","295","294","7000"
"931","295","185","4000"
"932","185","295","4000"
"933","183","295","4000"
"934","295","183","4000"
"935","294","295","7000"
"936","190","295","4000"
"937","295","190","4000"
"938","248","295","4000"
"939","295","248","4000"
"940","256","294","4000"
"941","294","256","4000"
"942","254","294","4000"
"943","294","254","4000"
"944","247","294","4000"
"945","294","247","4000"
"946","244","294","4000"
"947","294","244","4000"
"948","294","252","4000"
"949","252","294","4000"
"950","296","257","4000"
"951","296","258","4000"
"952","296","245","4000"
"953","296","246","4000"
"954","296","294","6000"
"955","258","296","4000"
"956","297","298","0"
"957","257","296","4000"
"958","246","296","4000"
"960","245","296","4000"
"961","294","296","6000"
"962","296","247","6000"
"963","247","296","6000"
"964","299","196","0"
"965","300","36","0"
"966","300","196","0"
"967","300","24","0"
"968","301","302","0"
"969","260","254","4000"
"970","254","260","4000"
"971","250","192","6000"
"972","192","250","6000"
"974","184","253","6000"
"975","253","184","6000"
"978","304","307","4000"
"979","307","304","4000"
"982","306","304","4000"
"983","304","306","4000"
"984","305","306","4000"
"985","306","305","4000"
"987","305","304","4000"
"988","304","305","4000"
"990","252","305","6000"
"991","305","252","6000"
"992","307","255","6000"
"993","255","307","6000"
"994","249","307","6000"
"995","307","249","6000"
"998","249","304","6000"
"999","304","249","6000"
"1000","253","306","6000"
"1001","306","253","6000"
"1002","250","306","6000"
"1003","306","250","6000"
"1004","306","244","6000"
"1005","244","306","6000"
"1006","306","254","6000"
"1007","254","306","6000"
"1008","305","244","6000"
"1009","244","305","6000"
"1010","305","254","6000"
"1011","254","305","6000"
"1012","251","305","6000"
"1013","305","251","6000"
"1014","305","260","6000"
"1015","260","305","6000"
"1016","309","308","4000"
"1017","308","309","4000"
"1018","246","309","6000"
"1019","309","246","6000"
"1020","259","309","6000"
"1021","309","259","6000"
"1022","246","308","6000"
"1023","308","246","6000"
"1024","259","308","6000"
"1025","308","259","6000"
"1026","260","310","6000"
"1027","310","260","6000"
"1028","251","310","6000"
"1029","310","251","6000"
"1030","310","305","6000"
"1031","305","310","6000"
"1034","310","252","6000"
"1035","252","310","6000"
"1036","294","310","6000"
"1037","310","294","6000"
"1038","239","240","0"
"1039","311","312","0"
"1040","313","312","0"
"1041","292","293","0"
"1042","314","312","0"
"1043","304","255","6000"
"1044","255","304","6000"
"1045","249","306","6000"
"1046","306","249","6000"
"1048","67","315","730"
"1049","315","67","730"
"1050","68","315","730"
"1052","315","68","730"
"1053","316","317","0"
"1054","318","319","0"
"1055","227","47","5"
"1056","320","305","6000"
"1057","305","320","6000"
"1058","310","320","6000"
"1059","320","310","6000"
"1060","321","320","4000"
"1061","320","321","4000"
"1064","323","320","4000"
"1066","324","320","4000"
"1067","320","323","4000"
"1068","320","324","4000"
"1073","321","326","4000"
"1076","326","321","4000"
"1079","231","230","0"
"1080","324","323","4000"
"1081","323","324","4000"
"1084","324","307","6000"
"1085","307","324","6000"
"1086","327","326","4000"
"1088","326","327","4000"
"1090","327","323","4000"
"1091","323","327","4000"
"1092","321","327","4000"
"1093","327","321","4000"
"1094","328","330","0"
"1095","329","330","0"
"1096","248","254","7000"
"1097","254","248","7000"
"1098","331","307","4000"
"1099","307","331","4000"
"1100","326","324","4000"
"1101","324","326","4000"
"1102","326","323","4000"
"1103","323","326","4000"
"1104","325","308","6000"
"1105","308","325","6000"
"1106","309","325","6000"
"1107","325","309","6000"
"1108","303","310","6000"
"1110","332","310","6000"
"1112","333","325","4000"
"1113","325","333","4000"
"1114","334","310","6000"
"1115","310","334","6000"
"1116","321","334","6000"
"1117","334","321","6000"
"1118","334","323","6000"
"1119","323","334","6000"
"1120","333","334","4000"
"1121","334","333","4000"
"1123","327","333","6000"
"1124","333","327","6000"
"1125","303","251","6000"
"1128","303","247","6000"
"1129","303","308","6000"
"1131","332","308","6000"
"1134","332","258","6000"
"1136","332","256","6000"
"1137","335","334","4000"
"1138","334","335","4000"
"1139","335","310","6000"
"1140","310","335","6000"
"1141","335","333","4000"
"1142","333","335","4000"
"1144","303","335","6000"
"1146","332","335","6000"
"1147","336","305","6000"
"1148","305","336","6000"
"1149","337","305","6000"
"1150","305","337","6000"
"1151","337","320","6000"
"1152","320","337","6000"
"1153","336","320","6000"
"1154","320","336","6000"
"1155","337","310","4000"
"1156","336","310","4000"
"1157","310","337","4000"
"1158","310","336","4000"
"1159","336","244","6000"
"1160","244","336","6000"
"1161","326","307","6000"
"1162","307","326","6000"
"1163","322","324","4000"
"1164","324","322","4000"
"1165","322","326","4000"
"1166","326","322","4000"
"1167","322","320","4000"
"1168","320","322","4000"
"1169","322","307","6000"
"1170","307","322","6000"
"1171","335","303","6000"
"1172","335","332","6000"
"1173","310","332","6000"
"1174","310","303","6000"
"1175","251","303","6000"
"1176","256","332","6000"
"1177","247","303","6000"
"1178","258","332","6000"
"1179","308","303","6000"
"1180","308","332","6000"
"1185","325","332","6000"
"1186","332","325","6000"
"1187","325","303","6000"
"1188","303","325","6000"
"1189","335","325","4000"
"1190","325","335","4000"
"1191","341","342","0"
"1192","327","340","6000"
"1193","340","327","6000"
"1194","333","340","4000"
"1195","340","333","4000"
"1196","335","340","4000"
"1197","340","335","4000"
"1198","310","340","6000"
"1199","340","310","6000"
"1202","333","332","6000"
"1203","332","333","6000"
"1204","303","333","6000"
"1205","333","303","6000"
"1206","308","310","7000"
"1207","310","308","7000"
"1221","348","196","0"
"1222","99","128","1020"
"1224","128","99","1020"
"1247","353","-1","0"
"1248","352","-1","0"
"1252","352","-1","0"
"1268","358","359","0"
"1813","0","-1","0"
"1814","376","-1","0"
"1815","377","-1","0"
"1816","376","-1","0"
"1817","377","-1","0"
"1818","376","-1","0"
"1819","376","-1","0"
"1824","383","66","730"
"1825","66","383","730"
"1826","383","68","1020"
"1827","68","383","1020"
"1828","383","67","1020"
"1829","67","383","1020"
"1830","11","383","1020"
"1831","383","11","1020"
"1832","383","13","730"
"1833","13","383","730"
"1834","381","382","0"
"1835","384","383","730"
"1836","383","384","730"
"1837","384","13","730"
"1838","13","384","730"
"1839","11","384","730"
"1840","384","11","730"
"1895","392","393","0"
"1899","394","395","0"
"1960","404","405","0"
"1977","438","439","0"
"1978","438","440","0"
"9000","441","442","0"
"9001","441","443","0"
"9002","441","444","0"
"9003","442","441","0"
"9004","443","441","0"
"9005","444","441","0"
"9006","442","443","0"
"9007","442","444","0"
"9008","443","442","0"
"9009","443","444","0"
"9010","444","443","0"
"9011","444","442","0"
"9012","443","445","0"
"9013","445","443","0"
"9014","442","445","0"
"9015","445","442","0"
"9500","421","423","2000"
"9501","421","424","2000"
"9502","422","423","2000"
"9503","423","421","2000"
"9504","423","422","2000"
"9505","423","424","2000"
"9506","423","425","2000"
"9507","424","421","2000"
"9508","424","423","2000"
"9509","424","344","2000"
"9510","424","345","2000"
"9511","424","446","2000"
"9512","424","447","2000"
"9513","425","423","2000"
"9514","425","356","2000"
"9515","425","366","2000"
"9516","339","343","830"
"9517","339","346","830"
"9518","339","349","830"
"9519","339","351","730"
"9520","339","354","530"
"9521","339","356","330"
"9522","339","360","530"
"9523","339","361","530"
"9524","339","367","530"
"9525","343","339","830"
"9526","343","344","1020"
"9527","343","446","1020"
"9528","343","346","830"
"9529","343","350","730"
"9530","343","351","730"
"9531","344","424","2000"
"9532","344","343","730"
"9533","344","446","830"
"9534","345","424","2000"
"9535","345","447","830"
"9536","345","347","730"
"9537","345","365","830"
"9538","446","424","2000"
"9539","446","343","730"
"9540","446","344","1020"
"9541","446","350","830"
"9542","447","424","2000"
"9543","447","345","1020"
"9544","447","347","830"
"9545","346","339","830"
"9546","346","343","830"
"9547","346","347","730"
"9548","346","349","830"
"9549","347","345","730"
"9550","347","447","830"
"9551","347","346","730"
"9552","349","339","830"
"9553","349","346","830"
"9554","349","351","830"
"9555","350","343","730"
"9556","350","446","830"
"9557","350","351","330"
"9558","350","354","330"
"9559","351","339","730"
"9560","351","343","730"
"9561","351","349","830"
"9562","351","350","330"
"9563","351","354","330"
"9564","354","339","830"
"9565","354","350","330"
"9566","354","351","330"
"9567","354","355","330"
"9568","354","356","330"
"9569","355","354","330"
"9570","356","425","2000"
"9571","356","339","830"
"9572","356","354","330"
"9573","360","339","530"
"9574","360","361","330"
"9575","360","362","330"
"9576","360","367","330"
"9577","361","339","830"
"9578","361","360","330"
"9579","361","362","330"
"9580","361","365","830"
"9581","361","366","830"
"9582","361","367","330"
"9583","362","360","330"
"9584","362","361","330"
"9585","363","365","830"
"9586","364","365","830"
"9587","365","345","1020"
"9588","365","361","530"
"9589","365","363","830"
"9590","365","364","830"
"9591","365","366","830"
"9592","366","425","2000"
"9593","366","361","830"
"9594","366","365","830"
"9595","367","339","830"
"9596","367","360","330"
"9597","367","361","530"
"9598","426","427","1460"
"9599","426","428","2000"
"9600","426","429","730"
"9601","426","430","2000"
"9602","426","431","2000"
"9603","426","432","1460"
"9604","426","433","2000"
"9605","426","434","1460"
"9606","426","435","730"
"9607","426","436","730"
"9608","426","437","1460"
"9609","426","368","1570"
"9610","426","369","1570"
"9611","426","370","1460"
"9612","426","371","1680"
"9613","426","372","1570"
"9614","426","373","1790"
"9615","426","374","1680"
"9616","426","378","1680"
"9617","426","385","1900"
"9618","426","386","1680"
"9619","426","387","1460"
"9620","426","388","1460"
"9621","426","389","2000"
"9622","426","390","730"
"9623","426","391","1750"
"9624","426","396","1260"
"9625","426","397","1680"
"9626","426","398","1900"
"9627","426","399","1790"
"9628","427","426","1750"
"9629","427","428","730"
"9630","427","429","1020"
"9631","427","430","730"
"9632","427","431","730"
"9633","427","432","1460"
"9634","427","433","1460"
"9635","427","434","1860"
"9636","427","435","2000"
"9637","427","436","1750"
"9638","427","437","2000"
"9639","427","368","1020"
"9640","427","369","1020"
"9641","427","370","1130"
"9642","427","371","1240"
"9643","427","372","1130"
"9644","427","373","1350"
"9645","427","374","1570"
"9646","427","378","1570"
"9647","427","385","1570"
"9648","427","386","1350"
"9649","427","387","1350"
"9650","427","388","1750"
"9651","427","389","730"
"9652","427","390","2000"
"9653","427","391","1260"
"9654","427","396","2000"
"9655","427","397","1480"
"9656","427","398","1260"
"9657","427","399","1350"
"9658","428","426","2000"
"9659","428","427","730"
"9660","428","429","1750"
"9661","428","430","1460"
"9662","428","431","1460"
"9663","428","432","2000"
"9664","428","433","2000"
"9665","428","434","2000"
"9666","428","435","2000"
"9667","428","436","2000"
"9668","428","437","2000"
"9669","428","368","1750"
"9670","428","369","1750"
"9671","428","370","1860"
"9672","428","371","1970"
"9673","428","372","1860"
"9674","428","373","2000"
"9675","428","374","2000"
"9676","428","378","2000"
"9677","428","385","2000"
"9678","428","386","2000"
"9679","428","387","2000"
"9680","428","388","2000"
"9681","428","389","1460"
"9682","428","390","2000"
"9683","428","391","1990"
"9684","428","396","2000"
"9685","428","397","2000"
"9686","428","398","1990"
"9687","428","399","2000"
"9688","429","426","730"
"9689","429","427","730"
"9690","429","428","1460"
"9691","429","430","1460"
"9692","429","431","1460"
"9693","429","432","730"
"9694","429","433","1460"
"9695","429","434","1460"
"9696","429","435","1460"
"9697","429","436","730"
"9698","429","437","1460"
"9699","429","368","840"
"9700","429","369","840"
"9701","429","370","730"
"9702","429","371","950"
"9703","429","372","840"
"9704","429","373","1060"
"9705","429","374","950"
"9706","429","378","950"
"9707","429","385","1170"
"9708","429","386","950"
"9709","429","387","730"
"9710","429","388","730"
"9711","429","389","1460"
"9712","429","390","1460"
"9713","429","391","1020"
"9714","429","396","1460"
"9715","429","397","950"
"9716","429","398","1170"
"9717","429","399","1060"
"9718","430","426","2000"
"9719","430","427","730"
"9720","430","428","1460"
"9721","430","429","1750"
"9722","430","431","730"
"9723","430","432","1460"
"9724","430","433","730"
"9725","430","434","2000"
"9726","430","435","2000"
"9727","430","436","2000"
"9728","430","437","1460"
"9729","430","368","1750"
"9730","430","369","1750"
"9731","430","370","1860"
"9732","430","371","1970"
"9733","430","372","1860"
"9734","430","373","2000"
"9735","430","374","2000"
"9736","430","378","2000"
"9737","430","385","2000"
"9738","430","386","2000"
"9739","430","387","2000"
"9740","430","388","2000"
"9741","430","389","1460"
"9742","430","390","2000"
"9743","430","391","1990"
"9744","430","396","2000"
"9745","430","397","2000"
"9746","430","398","1990"
"9747","430","399","2000"
"9748","431","426","2000"
"9749","431","427","730"
"9750","431","428","1460"
"9751","431","429","1460"
"9752","431","430","730"
"9753","431","432","730"
"9754","431","433","730"
"9755","431","434","2000"
"9756","431","435","2000"
"9757","431","436","2000"
"9758","431","437","1460"
"9759","431","368","1750"
"9760","431","369","1750"
"9761","431","370","1860"
"9762","431","371","1970"
"9763","431","372","1860"
"9764","431","373","2000"
"9765","431","374","2000"
"9766","431","378","2000"
"9767","431","385","2000"
"9768","431","386","2000"
"9769","431","387","2000"
"9770","431","388","2000"
"9771","431","389","1460"
"9772","431","390","2000"
"9773","431","391","1990"
"9774","431","396","2000"
"9775","431","397","2000"
"9776","431","398","1990"
"9777","431","399","2000"
"9778","432","426","1460"
"9779","432","427","1460"
"9780","432","428","2000"
"9781","432","429","730"
"9782","432","430","1460"
"9783","432","431","730"
"9784","432","433","730"
"9785","432","434","2000"
"9786","432","435","2000"
"9787","432","436","1460"
"9788","432","437","1460"
"9789","432","368","1570"
"9790","432","369","1570"
"9791","432","370","1460"
"9792","432","371","1680"
"9793","432","372","1570"
"9794","432","373","1790"
"9795","432","374","1680"
"9796","432","378","1680"
"9797","432","385","1900"
"9798","432","386","1680"
"9799","432","387","1460"
"9800","432","388","1460"
"9801","432","389","2000"
"9802","432","390","2000"
"9803","432","391","1750"
"9804","432","396","2000"
"9805","432","397","1680"
"9806","432","398","1900"
"9807","432","399","1790"
"9808","433","426","2000"
"9809","433","427","1460"
"9810","433","428","2000"
"9811","433","429","1460"
"9812","433","430","730"
"9813","433","431","730"
"9814","433","432","730"
"9815","433","434","2000"
"9816","433","435","2000"
"9817","433","436","1460"
"9818","433","437","730"
"9819","433","368","2000"
"9820","433","369","2000"
"9821","433","370","2000"
"9822","433","371","2000"
"9823","433","372","2000"
"9824","433","373","2000"
"9825","433","374","2000"
"9826","433","378","2000"
"9827","433","385","2000"
"9828","433","386","2000"
"9829","433","387","2000"
"9830","433","388","2000"
"9831","433","389","2000"
"9832","433","390","2000"
"9833","433","391","2000"
"9834","433","396","2000"
"9835","433","397","2000"
"9836","433","398","2000"
"9837","433","399","2000"
"9838","434","426","1460"
"9839","434","427","1860"
