"ID,""Name"",""Flags"""
"67,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"68,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"69,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"70,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"71,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"72,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"73,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"74,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"75,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"76,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"77,""ENVIRONMENTS\Stars\AuroraYellowGreen.mdx"",""2"""
"78,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"79,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"80,""ENVIRONMENTS\Stars\ZulDrakSkyA.mdx"",""0"""
"81,""ENVIRONMENTS\Stars\DeathSkybox.mdx"",""0"""
"82,""ENVIRONMENTS\Stars\DeathSkybox.mdx"",""0"""
"83,""ENVIRONMENTS\Stars\DeathSkybox.mdx"",""0"""
"84,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"85,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"86,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"87,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"88,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"89,""ENVIRONMENTS\Stars\AuroraOrange.mdx"",""2"""
"90,""ENVIRONMENTS\Stars\DeathSkybox.mdx"",""0"""
"91,""ENVIRONMENTS\Stars\DeathSkybox.mdx"",""0"""
"92,""ENVIRONMENTS\Stars\UlduranCloudySky.mdx"",""1"""
"93,""ENVIRONMENTS\Stars\UlduranCloudySky.mdx"",""1"""
"94,""ENVIRONMENTS\Stars\DalaranSkyBox.mdx"",""1"""
"95,""ENVIRONMENTS\Stars\DalaranSkyBox.mdx"",""1"""
"96,""ENVIRONMENTS\Stars\StormPeaks_SkyB_Storm.mdx"",""1"""
"97,""ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx"",""0"""
"98,""ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx"",""0"""
"99,""ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx"",""0"""
"100,""ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx"",""0"""
"101,""ENVIRONMENTS\Stars\NexusRaid_Wormhole.mdx"",""0"""
"102,""ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx"",""0"""
"103,""ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Starry.mdx"",""0"""
"104,""ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx"",""0"""
"105,""ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx"",""0"""
"106,""ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx"",""0"""
"107,""ENVIRONMENTS\Stars\NexusRaid_Wormhole.mdx"",""0"""
"108,""ENVIRONMENTS\Stars\NexusRaid_NebulaSky.mdx"",""0"""
"109,""ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx"",""0"""
"110,""ENVIRONMENTS\Stars\NexusRaid_StarrySky.mdx"",""0"""
"111,""ENVIRONMENTS\Stars\NexusRaid_RuneEffects_Nebula.mdx"",""0"""
"112,""ENVIRONMENTS\Stars\ZulDrakSkyB.mdx"",""0"""
"113,""ENVIRONMENTS\Stars\ZulDrakSkyA.mdx"",""1"""
"114,""Environments\Stars\IceCrownStormySky.mdx"",""1"""
"115,""ENVIRONMENTS\Stars\StormPeaks_SkyB_Storm.mdx"",""1"""
"116,""ENVIRONMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx"",""1"""
"117,""ENVIRONMENTS\Stars\IceCrownCitadelSky.mdx"",""1"""
"118,""ENVIRONMENTS\Stars\NexusRaid_Wormhole.mdx"",""0"""
"119,""ENVIRONMENTS\Stars\AzjolNerub_SkyA.mdx"",""0"""
"120,""ENVIRONMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx"",""1"""
"121,""ENVIRONMENTS\Stars\AzjolNerub_SkyA.mdx"",""0"""
"122,""ENVIRONMENTS\Stars\StormPeaks_SkyC_Ulduar.mdx"",""1"""
"123,""Environments\Stars\AuroraYellowGreen.mdx"",""2"""
"124,""Environments\Stars\Battlefield_Dirty_SkyBox.mdx"",""2"""
"125,""Environments\Stars\AuroraOrange.mdx"",""2"""
"126,""Environments\Stars\IceCrownSky.mdx"",""0"""
"134,""Environments\Stars\IceCrownStormySky.mdx"",""1"""
"135,""Environments\Stars\IceCrownRaidSky01.mdx"",""0"""
"136,""Environments\Stars\IceCrownSky.mdx"",""1"""
"137,""Environments\Stars\IceCrownSky.mdx"",""1"""
"138,""Environments\Stars\IceCrownStarrySky.mdx"",""1"""
"139,""Environments\Stars\IceCrownSky.mdx"",""1"""
"140,""Environments\Stars\IceCrownSky.mdx"",""1"""
"141,""Environments\Stars\IceCrownCitadelSky.mdx"",""0"""
"142,""Environments\Stars\IceCrownRaidSky01.mdx"",""0"""
"143,""Environments\Stars\IceCrownStormySky.mdx"",""1"""
"144,""Environments\Stars\IceCrownStormySky.mdx"",""1"""
"145,""Environments\Stars\IceCrownRaidSky02.mdx"",""0"""
"148,""Environments\Stars\RubySanctumSky.mdx"",""0"""
"149,""environments\stars\uldum_sky01.mdx"",""3"""
"150,""environments\stars\uldum_sky01.mdx"",""3"""
"152,""environments\stars\deepholm_sky01.mdx"",""1"""
"153,""environments\stars\twilightshammersky.mdx"",""2"""
"154,""environments\stars\lostislevocanoskybox.mdx"",""0"""
"155,""world\kalimdor\hyjal\passivedoodads\smoke\hyjal_smokeclouds.mdx"",""0"""
"156,""environments\stars\maelstrom_sky01.mdx"",""0"""
"157,""environments\stars\uldum_sky01.mdx"",""3"""
"158,""environments\stars\skywallraidskybox.mdx"",""1"""
"159,""environments\stars\twilighthighlandssky.mdx"",""2"""
"160,""environments\stars\twilighthighlandssky.mdx"",""2"""
"161,""environments\stars\twilighthighlandssky.mdx"",""2"""
"162,""environments\stars\twilightshammersky.mdx"",""0"""
"163,""environments\stars\twilightshammersky.mdx"",""2"""
"164,""environments\stars\skywallraidstormyskybox.mdx"",""0"""
"165,""environments\stars\twilighthighlandssky2.mdx"",""2"""
"171,""environments\stars\firelandssky01.mdx"",""0"""
"172,""environments\stars\coldarralunareclipsesky.mdx"",""0"""
"175,""world\expansion03\doodads\firelands\fogsphere\firelandsfogsphere.mdx"",""0"""
"176,""environments\stars\fallofazeroth01.mdx"",""0"""
"177,""environments\stars\wellofeternity01.mdx"",""0"""
"178,""environments\stars\hour_twilight_rewind_time.mdx"",""0"""
"181,""environments\stars\stars.mdx"",""0"""
"182,""environments\stars\twilightrealmsky01.mdx"",""2"""
"183,""environments\stars\twilightrealmsky01.mdx"",""2"""
"188,""environments\stars\maelstrom_sky02_deathwingfight.mdx"",""0"""
"194,""environments\stars\fallofazeroth01.mdx"",""0"""
"195,""environments\stars\zuldrakskyb.mdx"",""0"""
"196,""environments\stars\darkmoonsky01.mdx"",""1"""
"197,""environments\stars\darkmoonsky01.mdx"",""1"""
"198,""environments\stars\maelstrom_sky03_stormbreak.mdx"",""2"""
"199,""environments\stars\maelstrom_sky01.mdx"",""0"""
"200,""environments\stars\maelstrom_sky03_stormbreak.mdx"",""2"""
