"ID","ContinentID","X","Y","Z","FalloffStart","FalloffEnd","LightParamsID_1","LightParamsID_2","LightParamsID_3","LightParamsID_4","LightParamsID_5","LightParamsID_6","LightParamsID_7","LightParamsID_8"
"31","0","677061,3","12393,16","550352,3","501,5015","501,5015","46","45","473","45","4","0","0","0"
"33","0","704256","0","527616","12209","16542","48","45","457","45","4","0","0","0"
"34","0","680017","767","579840","2035","3331","49","45","473","45","4","0","0","0"
"36","0","708480","0","610560","18024","31347","51","45","10","45","4","0","0","0"
"37","0","753792","0","604800","23902","40359","51","52","10","52","4","0","0","0"
"38","0","758650","0","584634","8612","11755","53","24","10","24","4","0","0","0"
"39","0","596846","0","1131107","5486","8229","26","27","409","27","4","0","0","0"
"40","0","601065","1663","986093","1279","2743","54","27","494","27","4","0","0","0"
"41","0","630428","0","990672","4702","9012","55","27","469","27","4","0","0","0"
"42","0","769336","0","520883","46080","59513","56","37","444","37","4","0","0","0"
"43","0","749492","5148","525102","6962","10136","57","37","457","37","4","0","0","0"
"44","0","631954","0","593793","9404","17241","427","45","422","45","2","0","0","0"
"45","0","659431","0","688803","4310","24294","30","45","10","45","4","0","0","0"
"46","0","747098","5369","504893","8271","14572","59","33","457","33","4","0","0","0"
"47","0","811530","3835","516986","6564","11028","57","31","457","31","4","0","0","0"
"48","0","737786","5369","475746","15360","20086","60","45","60","45","4","0","0","0"
"49","0","731145","4123","475480","2253","5908","61","45","61","45","4","0","0","0"
"50","0","674996","2027","912325","9058","12209","23","45","456","45","4","0","0","0"
"51","0","594662","2913","919693","2363","3043","62","24","10","24","4","0","0","0"
"52","0","592048","2553","916999","2255","3227","62","24","10","24","4","0","0","0"
"53","0","645849","2301","529258","9452","14572","40","24","407","24","4","0","0","0"
"54","0","115200","0","1094400","90585","95311","12","63","10","63","4","0","0","0"
"55","0","598018","-1969","665698","9641","12497","64","13","10","13","4","0","0","0"
"56","0","594410","6025","662270","3151","5120","65","66","10","66","4","0","0","0"
"57","0","671928","0","1044710","11028","21662","67","66","10","66","4","0","0","0"
"58","0","711814","22936,4","734825","914,722","915,275","29","13","499","13","4","0","0","0"
"59","0","171183","-7285","1114234","5908","8341","68","27","10","27","4","0","0","0"
"60","0","162901","-8437","1115278","5393","8345","69","13","10","13","4","0","0","0"
"61","0","670740","6341","614555","3771","5554","70","71","10","71","4","0","0","0"
"63","0","757837","6903","628974","7877","10634","72","52","10","52","4","0","0","0"
"64","0","710172","0","1009426","5762","9058","21","45","454","45","4","0","0","0"
"65","0","737462","1703","1009584","4436","8271","21","45","454","45","4","0","0","0"
"66","0","722481","997","1003218","3151","7483","21","22","454","22","4","0","0","0"
"68","0","730223","0","977210","5514","8665","16","22","496","22","4","0","0","0"
"69","0","716560","5441","1018703","1575","2757","74","15","74","15","4","0","0","0"
"70","0","1180800","0","1180800","23237","33871","75","15","10","15","4","0","0","0"
"71","0","698894","4051","994085","2253","3581","76","22","465","22","4","0","0","0"
"72","0","673570","7565","858452","13785","20376","77","78","471","78","4","0","0","0"
"73","0","644315","8437","857552","12209","18221","77","24","471","24","4","0","0","0"
"74","0","685555","12694","877531","1611","3545","77","24","471","24","4","0","0","0"
"75","0","690783","10071","841742,8","4494,352","8665,269","77","24","471","24","4","0","0","0"
"76","0","650451","14574","874427","7089","11028","77","24","471","24","4","0","0","0"
"77","0","593586","0","931236","15043","17814","79","24","578","24","3","0","0","0"
"78","0","679959","4281","888284","8665","12209","23","13","456","13","4","0","0","0"
"79","0","764679","4231","493268","4472","5372","80","24","10","24","3","0","0","0"
"80","0","790075","3705","491014","8665","9846","81","13","10","13","4","0","0","0"
"81","0","747840","3079","561222","4502","7706","82","37","444","37","4","0","0","0"
"82","509","0","0","0","0","0","394","391","8","11","3","0","0","0"
"83","469","0","0","0","0","0","85","86","10","11","5","0","0","0"
"84","269","0","0","0","0","0","87","88","10","11","4","0","0","0"
"85","269","358975","0","681600","19200","28800","89","90","89","90","4","0","0","0"
"86","269","586091","-1609","533861","15830","52775","91","92","91","92","4","0","0","0"
"87","269","598292","0","500111","14572","16542","93","94","10","11","4","0","0","0"
"88","269","573113","1163","507341","13238","14966","93","94","10","11","4","0","0","0"
"89","269","555446","0","514004","12031","13854","93","94","10","11","4","0","0","0"
"90","269","538441","0","528000","11445","13785","93","94","10","11","4","0","0","0"
"91","269","544563","0","550340","11059","13467","93","94","10","11","4","0","0","0"
"92","269","571529","0","569001","19298","21662","93","94","10","11","4","0","0","0"
"93","269","607785","0","573149","17723","20086","93","94","10","11","4","0","0","0"
"94","269","624529","0","552270","13461","15754","93","94","10","11","4","0","0","0"
"95","269","627440","0","524656","14966","17329","93","94","10","11","4","0","0","0"
"96","269","613633","0","513918","14178","16935","93","95","10","11","4","0","0","0"
"97","36","0","0","0","0","0","96","97","10","11","4","0","0","0"
"98","36","557760","0","966720","23040","28800","98","99","10","11","4","0","0","0"
"99","36","633600","0","623232","50688","64512","100","101","10","11","4","0","0","0"
"179","429","0","0","0","0","0","175","176","10","11","4","0","0","0"
"180","429","643357","0","980805","6765","7701","177","178","10","11","4","0","0","0"
"181","429","-21633","0","-27989","10151","13391","179","180","10","11","3","0","0","0"
"182","429","-9005","0","-13879","6302","6302","181","176","10","11","4","0","0","0"
"183","429","253","0","-14012","4940","6515","181","176","10","11","4","0","0","0"
"184","429","-12799","0","-539","7123","8415","182","183","10","11","4","0","0","0"
"185","429","-28709","0","1289","7343","7735","184","183","10","11","4","0","0","0"
"186","429","16378","-1897","-10841","6191","6740","185","186","10","11","4","0","0","0"
"187","169","610565","0","501645","25994","39778","187","188","10","11","4","0","0","0"
"188","169","681133","-3835","699542","31902","41354","189","188","10","11","4","0","0","0"
"189","169","547200","0","566400","55138","72074","190","188","10","11","4","0","0","0"
"190","169","499200","0","748800","40960","51594","191","188","10","11","4","0","0","0"
"191","1","0","0","0","0","0","192","193","10","193","3","0","0","0"
"193","1","701018","0","610025","580,475","580,475","196","215","477","215","3","0","0","0"
"194","1","575890,5","875","679559,1","16576,11","29275,9","198","199","478","199","3","0","0","0"
"195","1","773178","0","923518","63015","72468","200","201","420","201","2","0","0","0"
"196","1","709663","26819","332360","1957,74","2022,64","202","203","482","203","4","0","0","0"
"197","1","579883","0","428009","42535","54351","835","193","426","193","4","0","0","0"
"198","1","751680","11421,9","744960","1460,92","1911,51","205","206","495","206","4","0","0","0"
"199","1","609989","-5851","350829","27175","44111","835","207","426","207","4","0","0","0"
"200","1","567744","18816","244416","56448","75264","208","209","453","209","4","0","0","0"
"202","1","636672","11890,3","712704","752,173","752,173","210","211","449","211","3","0","0","0"
"204","1","789305,8","10703,19","572506,3","831,9058","931,6218","212","213","451","11","4","0","0","0"
"206","1","694939","13938,1","688803","716,401","716,401","214","215","477","215","3","0","0","0"
"207","1","686175,3","3166,285","730963,7","9036,297","15782,32","881","195","881","195","3","0","0","0"
"208","1","666620","3953,965","532327","544,8633","544,8633","194","195","492","195","4","0","0","0"
"210","1","741992","0","489372","11379","26782","194","216","492","216","4","0","0","0"
"211","1","654765","0","780726","16542","22127","239","240","485","240","3","0","0","0"
"214","1","655053","6903","460225","17329","34265","218","1029","480","1029","4","0","0","0"
"215","1","640944","12334","421873","13391","22843","218","1029","480","1029","4","0","0","0"
"216","1","668860","11096","391191","25994","34265","218","1029","480","1029","4","0","0","0"
"217","1","610565","28044,5","783916","1009,8","1106,85","220","221","425","221","4","0","0","0"
"218","1","731965","767","551348","8273","13001","222","223","222","223","4","0","0","0"
"219","1","525722","42187","255638","13215","17365","224","225","453","225","3","0","0","0"
"220","1","656573","0","724087","8665","12997","226","980","450","980","3","0","0","0"
"221","1","727155","0","576815","5120","9099","227","228","10","228","3","0","0","0"
"223","1","693405","7789","602930","4726","8300","229","219","10","219","3","0","0","0"
"224","1","635794","0","617025","10634","23063","230","207","483","207","4","0","0","0"
"225","1","619445","0","573711","18905","25600","232","213","483","213","4","0","0","0"
"226","1","549624","-634,3142","587368,3","6097,485","10646,35","232","233","483","233","4","0","0","0"
"227","1","581403","-169","555410","15754","21662","234","235","483","235","4","0","0","0"
"228","1","567754","0","521588","17219","23914","236","237","483","237","4","0","0","0"
"229","1","550736","0","485138","18551","36628","238","193","492","193","4","0","0","0"
"230","1","754769","0","837609","14966","31902","239","240","485","240","2","0","0","0"
"231","1","707882","0","746054","5408","10240","205","207","495","207","4","0","0","0"
"232","1","633346","11124","439468","3722","5258","241","242","480","242","4","0","0","0"
"233","1","628974","13954","440916","2939","4726","243","203","480","203","4","0","0","0"
"234","1","665792","2301","711814","3938","5514","210","244","449","244","3","0","0","0"
"235","1","719031","6903","558406","5730","6482","222","223","222","223","4","0","0","0"
"239","1","770109","10026,11","545867","492,1873","548,6917","910","215","910","215","4","0","0","0"
"240","1","512860","0","793121","27963","39385","248","207","425","207","4","0","0","0"
"241","1","535395","-9972","730223","24812","31508","249","219","425","219","4","0","0","0"
"242","1","808461","0","851416","19404","28751","200","219","420","219","2","0","0","0"
"243","1","724087","0","879029","14178","21268","200","250","420","250","2","0","0","0"
"244","1","712664","0","846669","16935","20874","200","251","420","251","2","0","0","0"
"245","1","708746","0","932722","14966","25600","200","201","420","201","2","0","0","0"
"246","1","574596","-0,00052","623224,8","13739,93","28974,26","198","199","478","199","3","0","0","0"
"247","1","834489","15962,28","487480,3","619,3622","619,3622","246","207","458","207","4","0","0","0"
"248","1","661982","-2301","878727","35446","45195","252","207","411","207","4","0","0","0"
"249","1","570002","0","874427","933,377","1254,76","253","207","408","207","3","0","0","0"
"250","1","489372","0","836075","32295","48049","254","207","425","207","4","0","0","0"
"252","1","724483","0","920953","1287","2719","200","250","420","250","2","0","0","0"
"253","1","773736","961,266","750488","9626,18","13836,5","256","257","495","257","4","0","0","0"
"254","1","604500","4375","533357","6119","9092","258","259","492","259","4","0","0","0"
"255","1","664114","-9972","857494","16148","28357","419","251","417","251","4","0","0","0"
"256","1","687233","-9972","889206","8878","17255","252","207","411","207","4","0","0","0"
"257","1","648831","-9972","892836","9158","16542","252","207","411","207","4","0","0","0"
"259","1","763973","38549,8","362460","1314,38","1383,6","262","263","424","263","2","0","0","0"
"267","1","495509","0","750166","11815","15360","248","207","425","207","4","0","0","0"
"268","1","546947","0","754921","9601","14572","249","219","425","219","4","0","0","0"
"269","1","596758","-3835","277669","28357","43717","268","213","453","213","4","0","0","0"
"270","1","773624,3","32154,19","446588,7","13264,54","16866","876","952","876","952","2","0","0","0"
"271","1","27613","-14574","29148","22449","31114","270","213","10","11","4","0","0","0"
"272","1","756512,8","34939,38","462366,1","9227,627","12965","876","952","876","952","2","0","0","0"
"273","1","684201","2301","613345","4301","6695","272","960","10","960","3","0","0","0"
"274","1","722336,3","2736,502","659968,2","4332","8665","272","960","10","960","3","0","0","0"
"275","1","690243","2661","652223","4262","8059","272","960","10","960","3","0","0","0"
"276","1","690337","767","776246","6302","8665","273","274","10","274","3","0","0","0"
"277","1","703690","2063","784550","6302","9236","275","263","10","263","3","0","0","0"
"278","1","622801","0","845495","7089","11028","253","207","408","207","3","0","0","0"
"279","1","639568","-6903","845481","5908","11028","252","207","411","207","4","0","0","0"
"281","1","694499","2589","783916","1681","2755","275","271","10","271","3","0","0","0"
"282","1","688875","-10102","864754","4589","7089","252","276","411","276","4","0","0","0"
"283","1","678208","-10116","867953","5656","8271","252","259","411","259","4","0","0","0"
"284","1","667362","-10152","861002","4510","6371","252","257","411","257","4","0","0","0"
"285","1","660542","-9864","863976","644","2039","252","216","411","216","4","0","0","0"
"286","1","653663","-10498","866397","4618","6302","252","277","411","277","4","0","0","0"
"287","1","651733","-10332","856184","3938","5514","252","257","411","257","4","0","0","0"
"288","1","646209","-10376","852950","2573","4294","252","257","411","257","4","0","0","0"
"289","1","662472","-5369","323691","13391","31508","204","257","426","257","4","0","0","0"
"290","1","641246","11506","400396","7089","12603","218","257","480","257","4","0","0","0"
"291","1","632042","9972","452554","4332","12603","218","1029","480","1029","4","0","0","0"
"292","1","569253","6557","607497","3725","6749","278","257","10","257","3","0","0","0"
"293","1","587878","2877","619589","4332","7585","279","257","10","257","3","0","0","0"
"295","1","624372","2301","539601","5908","10240","281","282","492","282","4","0","0","0"
"296","1","733593","3835","526824","9315","11959","283","282","492","282","4","0","0","0"
"297","1","547667","2805","607497","4726","10634","284","285","478","285","3","0","0","0"
"298","1","526154","3835","693873","7123","12815","284","223","478","223","3","0","0","0"
"299","1","632042","2301","497043","6626","12209","286","219","492","219","4","0","0","0"
"300","1","617803","0","480168","9099","16224","287","219","492","219","4","0","0","0"
"302","1","791181,6","31796,2","442653,4","6323,13","7391,802","876","206","876","206","2","0","0","0"
"303","1","789728","29015","408880","1110","3041","288","206","424","206","2","0","0","0"
"304","1","794201","30801","412668","3545","5514","288","206","424","206","2","0","0","0"
"305","1","590802","4901","683927","5658","7017","289","193","10","193","3","0","0","0"
"306","1","517994","2279","660015","10634","15324","290","193","478","193","3","0","0","0"
"307","1","546133","1451","682869","5514","9452","291","203","10","203","3","0","0","0"
"308","1","551622","241","833209","10634","13391","292","293","408","293","4","0","0","0"
"309","1","518520","-349","612099","7877","12603","294","271","478","271","3","0","0","0"
"310","1","593344","3727","594838,4","5071,432","7440,203","865","207","865","207","4","0","0","0"
"311","1","579955","2949","579343","5192","8097","230","207","483","207","4","0","0","0"
"312","1","731469","4339","508703","5410","6382","295","206","492","206","4","0","0","0"
"313","1","595404","1811","520616","5620","9454","295","195","295","195","4","0","0","0"
"315","1","556260","407","857444","2399","3151","296","207","408","207","3","0","0","0"
"316","1","572465","0","866050","2075","2757","296","207","408","207","3","0","0","0"
"317","1","545355","-133","900592","4510","5514","296","207","408","207","3","0","0","0"
"318","44","0","0","0","0","0","297","298","10","11","4","0","0","0"
"319","189","0","0","0","0","0","299","300","10","11","4","0","0","0"
"320","249","0","0","0","0","0","301","302","10","11","4","0","0","0"
"321","30","0","0","0","0","0","303","304","10","304","2","0","0","0"
"322","37","610565","0","501645","25994","39778","305","306","10","11","4","0","0","0"
"323","489","610565","0","501645","25994","39778","307","308","10","11","4","0","0","0"
"324","489","561214","9634","562009","7661","10382","307","308","10","11","4","0","0","0"
"325","489","561826","11254","580871","7733","10634","309","310","10","11","3","0","0","0"
"326","529","0","0","0","0","0","311","312","10","11","4","0","0","0"
"327","529","580378","0","580378","28357","38400","313","314","10","11","4","0","0","0"
"328","129","610565","0","501645","25994","39778","315","316","10","11","4","0","0","0"
"329","129","576000","0","537600","38400","57600","317","316","10","11","4","0","0","0"
"330","47","0","0","0","0","0","318","319","10","11","4","0","0","0"
"331","47","557760","0","966720","23040","28800","318","319","10","11","4","0","0","0"
"332","47","633600","0","623232","50688","64512","318","319","10","11","4","0","0","0"
"333","289","0","0","0","0","0","320","321","10","11","4","0","0","0"
"334","289","358975","0","681600","19200","28800","322","323","10","11","4","0","0","0"
"335","289","610565","-1609","610565","38597","38597","324","325","10","11","4","0","0","0"
"336","33","753792","0","604800","23902","40359","326","327","10","11","4","0","0","0"
"337","33","543065","0","616701","44898","48000","328","329","10","11","4","0","0","0"
"338","35","0","0","0","0","0","330","331","10","11","4","0","0","0"
"339","35","557760","0","966720","23040","28800","332","333","10","11","4","0","0","0"
"340","35","633600","0","623232","50688","64512","334","335","10","11","4","0","0","0"
"341","329","0","0","0","0","0","336","337","10","11","4","0","0","0"
"342","329","358975","0","681600","19200","28800","338","339","10","11","4","0","0","0"
"343","329","682667","-1609","1044710","59077","87040","340","341","10","11","4","0","0","0"
"344","209","610565","0","501645","25994","39778","342","343","10","11","4","0","0","0"
"345","209","575281","0","550736","19200","27569","344","345","10","11","4","0","0","0"
"346","13","0","0","0","0","0","346","347","10","11","4","0","0","0"
"347","13","614016","0","999168","18432","20736","348","349","10","11","4","0","0","0"
"348","13","715968","0","985344","17280","20160","350","349","10","11","4","0","0","0"
"349","13","736320","0","806400","25920","28800","351","349","10","11","4","0","0","0"
"350","13","566400","0","976320","16320","19680","352","349","10","11","4","0","0","0"
"351","13","683904","5760","991104","10752","13056","353","349","10","11","4","0","0","0"
"352","13","722304","0","1031808","17280","21888","354","349","10","11","4","0","0","0"
"353","13","670080","768","564480","15744","17664","355","349","10","11","4","0","0","0"
"354","13","652800","0","879744","36864","40320","356","349","10","11","4","0","0","0"
"355","13","571584","0","998400","18432","21888","357","349","10","11","4","0","0","0"
"356","13","614400","0","1094400","63744","72192","358","349","10","11","4","0","0","0"
"357","13","652800","0","998400","17664","21504","359","349","10","11","4","0","0","0"
"358","13","633600","0","998400","18432","22272","359","349","10","11","4","0","0","0"
"359","13","676800","19008","816000","19008","24768","360","349","10","11","4","0","0","0"
"360","13","710400","9216","864000","21120","24576","361","349","10","11","4","0","0","0"
"361","13","683520","0","751872","23040","61440","362","349","10","11","4","0","0","0"
"362","13","710400","0","691200","19968","23040","363","349","10","11","4","0","0","0"
"363","13","633600","0","633600","17664","19200","364","349","10","11","4","0","0","0"
"364","13","569856","3456","622848","14592","18432","365","349","10","11","4","0","0","0"
"365","309","0","0","0","0","0","366","367","10","11","4","0","0","0"
"366","309","358975","0","681600","19200","28800","368","369","10","11","4","0","0","0"
"367","309","682667","-1609","1044710","59077","87040","370","371","10","11","4","0","0","0"
"368","309","660910","1847","1030041","4546","5586","372","371","10","11","4","0","0","0"
"369","309","673915","479","1038939","3655","4978","373","371","10","11","4","0","0","0"
"370","309","668872","1343","1038158","1398","2615","373","371","10","11","4","0","0","0"
"371","309","681996","2373","1042517","1863","2365","374","375","10","11","4","0","0","0"
"372","309","681564","1941","1044738","1326","1897","374","376","10","11","4","0","0","0"
"374","530","0","0","0","0","0","379","380","503","380","2","0","0","0"
"377","530","471893,2","1043,822","622067,8","42304,2","46230,9","384","385","384","11","4","0","0","0"
"378","530","885908,9","5039,949","331733,5","11413,29","15770,16","399","383","399","383","4","0","0","0"
"379","532","0","0","0","0","0","386","387","10","11","4","0","0","0"
"415","531","0","0","0","479,6042","837,262","394","392","394","392","3","0","0","0"
"418","530","293487","-326,2686","706311,3","65647,04","76035,09","396","491","396","491","3","0","0","0"
"439","530","836808,4","986,5575","321875,1","4648,134","9623,321","399","383","399","383","3","0","0","0"
"443","530","844870,9","1345,175","394838,5","67991,87","73033,88","399","383","399","383","4","0","0","0"
"450","530","840546,3","2663,928","386273,3","15266,33","18638,27","433","9","407","11","3","0","0","0"
"451","530","436394,7","-3753,116","735553,2","21360,48","27643,52","500","9","500","11","3","0","0","0"
"453","530","1005895","1812,188","682951,1","6444,525","10743,35","488","505","488","505","3","0","0","0"
"454","530","1070309","459,0088","798701,5","75390,41","89410,58","460","439","502","439","3","0","0","0"
"455","530","383337,6","94,24908","510160,9","57491,68","71907,64","438","9","438","11","3","0","0","0"
"458","530","425478,7","-1658,099","680243,9","26052,62","31068,57","435","441","435","441","3","0","0","0"
"460","530","382782,4","823,0626","607303,1","25236,37","30991,42","432","506","432","506","3","0","0","0"
"462","530","341520,8","1498,886","601310,5","27441,05","32466,37","432","506","432","506","3","0","0","0"
"465","530","844677,9","2820,701","317673,5","4027,412","7894,373","399","383","399","383","3","0","0","0"
"466","530","860997,4","2519,655","334125,8","8393,257","14778,42","399","383","399","383","4","0","0","0"
"467","530","856108,7","36,96077","265578","10322,43","13306,52","442","380","442","380","3","0","0","0"
"468","530","487940","2158,522","608494,8","4902,114","6667,046","446","518","446","518","3","0","0","0"
"469","530","490302,2","2254,598","599578,6","5471,604","7923,321","446","518","446","518","3","0","0","0"
"470","530","861560,9","583,9384","272467,6","6400,02","8946,703","442","380","442","380","3","0","0","0"
"471","530","861455,8","579,8796","255719,7","5059,702","6946,452","442","380","442","380","3","0","0","0"
"472","530","942244","5967,65","367472","15745","25241,2","448","383","448","383","3","0","0","0"
"474","530","849266","3509,343","386174,1","6610,692","6610,692","433","9","407","11","3","0","0","0"
"493","543","0","0","0","45,26772","95,80544","384","385","384","11","3","0","0","0"
"496","530","1032329","418,6401","664830,2","47304,96","59722,97","487","505","488","486","3","0","0","0"
"498","530","1046924","986,3171","700536,1","6813,483","9884,921","436","505","488","486","3","0","0","0"
"500","530","366134,6","5116,28","487712,8","16178,89","20574,71","504","9","504","11","3","0","0","0"
"501","530","1015401","2663,569","669921,6","3724,391","7222,006","488","505","488","505","3","0","0","0"
"502","530","531684,9","557,2384","482203,3","69625,43","83487,93","508","553","508","553","3","0","0","0"
"503","530","397738,1","5034,019","546559,8","8126,579","10445,74","504","9","504","11","3","0","0","0"
"504","530","383291,8","2964,335","719429,3","3626,533","6005,433","510","491","510","491","3","0","0","0"
"505","530","824990,9","-125,5667","330034","10332,35","13135,45","399","383","399","383","3","0","0","0"
"506","530","419353,5","4954,14","498448,2","7355,441","9538,287","504","441","504","441","3","0","0","0"
"507","530","415141,3","5264,041","508108,2","7355,441","9538,287","504","441","504","441","3","0","0","0"
"509","530","397517,4","5312,149","531174,2","8220,545","11441,48","504","9","504","11","3","0","0","0"
"510","530","367150,7","5816,783","544264,9","7293,352","12212,46","525","225","525","225","3","0","0","0"
"512","530","302989,6","86,24719","591812,1","38896,81","43866,5","432","506","432","506","3","0","0","0"
"515","553","0","0","0","28948,28","28948,28","521","9","521","11","3","0","0","0"
"519","530","578679","3366,62","752057","1182,19","1182,19","513","526","513","526","3","0","0","0"
"520","530","549613,3","3792,486","623704,1","64031,36","72055,38","384","385","384","11","4","0","0","0"
"521","530","490813,7","6140,769","659193,6","10303,19","15160,02","384","385","384","11","4","0","0","0"
"523","530","426426,8","844,2568","615486,2","6369,459","8740,99","432","506","432","506","3","0","0","0"
"526","530","301467,1","664,728","616657,9","5709,195","8989,667","516","506","516","506","3","0","0","0"
"527","530","296055,2","751,6093","616357,8","5709,195","9246,292","516","506","516","506","3","0","0","0"
"528","530","406494","-855,6019","633003,7","22871,84","27213,05","432","506","432","506","3","0","0","0"
"531","530","394805,2","1050,065","649905,8","8158,748","11330,55","432","506","432","506","3","0","0","0"
"533","530","484203,9","1223,485","671232,1","6201,453","10089,88","384","385","384","11","4","0","0","0"
"536","530","349582,2","145,7975","699538,5","47587,23","58809,11","396","491","396","491","3","0","0","0"
"539","530","362220,6","-321,1093","653279,4","17525,79","24894,26","396","491","396","491","3","0","0","0"
"540","530","281024,9","2533,487","679893,2","5485,156","7512,299","555","519","555","519","3","0","0","0"
"541","530","290188,3","-425,868","660469,7","4702,177","7928,366","555","519","555","519","3","0","0","0"
"542","530","286225,9","2624,509","654256,4","2968,892","3749,758","555","519","555","519","3","0","0","0"
"543","550","0","0","0","109,7117","441,6663","521","9","521","11","3","0","0","0"
"544","554","0","0","0","103,5529","495,0125","521","9","521","11","3","0","0","0"
"545","552","0","0","0","95,94063","517,7518","521","9","521","11","3","0","0","0"
"547","530","969646,1","-18560,29","736379,3","7893,227","13506,84","522","9","10","11","3","0","0","0"
"548","530","969651,4","-18335,52","766485,6","15133,71","20533,85","525","9","10","11","3","0","0","0"
"570","530","455421","244,3178","685855,6","22435,66","26159,84","435","441","435","441","3","0","0","0"
"577","530","493162,7","35,24184","697705,1","16774,97","20967,79","435","441","435","441","3","0","0","0"
"578","530","483861,5","9188,313","747154,7","18295,85","24574,27","435","441","435","441","3","0","0","0"
"579","530","474874,2","97,13511","712717,2","11529,3","16505,49","435","441","435","441","3","0","0","0"
"582","530","367246,4","5057,211","553475,1","5273,175","7232,115","525","225","525","225","3","0","0","0"
"584","530","465268,7","3386,217","653648","5501,13","7215,912","527","441","527","11","3","0","0","0"
"586","530","438851,8","1066,579","623139,3","10914","13016,52","384","385","384","11","3","0","0","0"
"591","566","0","0","0","5,191248","722,5515","532","9","532","11","3","0","0","0"
"592","564","0","0","0","20,6774","263,4613","604","306","604","306","3","0","0","0"
"595","530","427873,9","787,8199","646124,2","7088,255","8076,01","432","506","432","506","3","0","0","0"
"596","530","468801,4","3459,3","659796,9","3375,435","3953,467","527","441","527","11","3","0","0","0"
"602","530","458604,5","182,7562","754521","2304,367","3056,558","565","441","564","441","3","0","0","0"
"604","530","496956,8","111,6848","701038,1","500,9665","1944,483","511","441","511","441","3","0","0","0"
"605","530","498011,2","-121,5216","698842,2","1308,637","1944,483","511","441","511","441","3","0","0","0"
"606","530","497520,5","-32,36924","696935,8","500,9665","1944,483","511","441","511","441","3","0","0","0"
"609","530","499153,9","61,51321","700716,3","500,9665","1944,483","511","441","511","441","3","0","0","0"
"610","530","496095,5","-23,01356","698961,2","500,9665","1944,483","511","441","511","441","3","0","0","0"
"611","568","0","0","0","11,3607","11,3607","448","345","448","345","3","0","0","0"
"612","542","0","0","0","9,801495","10","384","9","384","11","3","0","0","0"
"623","530","436861","-2290,064","770771,9","18125,8","23037,21","500","441","500","441","3","0","0","0"
"625","530","459241,6","-744,3022","731395,4","7389,659","10982,65","500","9","500","11","3","0","0","0"
"627","530","413409,1","10,48684","718623,4","9147,836","12238,58","500","9","500","11","3","0","0","0"
"628","530","441499,3","123,3177","714259,1","6622,383","10141,89","500","9","500","11","3","0","0","0"
"629","530","453818,6","-644,2352","719574,6","5490,34","11095,83","500","9","500","11","3","0","0","0"
"631","530","431846,1","3906,723","599822,3","6204,105","9396,956","514","506","514","506","3","0","0","0"
"633","530","420093,3","271,143","599916,3","7252,109","11082,81","514","506","514","506","3","0","0","0"
"636","530","417894,5","-369,1088","589980,2","7252,109","11082,81","514","506","514","506","3","0","0","0"
"637","530","428675,8","758,6973","582877,6","9915,139","14935,35","514","506","514","506","3","0","0","0"
"638","530","410000,6","892,9506","583956,7","4695,313","10040,22","514","506","514","506","3","0","0","0"
