"ID","Continent","LocX","LocY","LocZ","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask"
"32","1","233","-4793","10","Durotar, Razor Hill","Durotar, Razor Hill","Durotar, Tranchecolline","Durotar, Klingenhügel","","","Durotar, Cerrotajo","Durotar, Cerrotajo","Дуротар, Колючий Холм","","","","","","","","16712190"
"33","1","1357","-4412","28","Durotar, Orgrimmar","Durotar, Orgrimmar","Durotar, Orgrimmar","Durotar, Orgrimmar","","","Durotar, Orgrimmar","Durotar, Orgrimmar","Дуротар, Оргриммар","","","","","","","","16712190"
"34","1","-2944","-153","65","Mulgore, Red Cloud Mesa","Mulgore, Red Cloud Mesa","Mulgore, Mesa de Nuage rouge","Mulgore, Hochwolkenebene","","","Mulgore, Mesa de la Nube Roja","Mulgore, Mesa de la Nube Roja","Мулгор, Плато Красного Облака","","","","","","","","16712190"
"35","1","6739","209","23","Darkshore, Auberdine","Darkshore, Auberdine","Sombrivage, Auberdine","Dunkelküste, Auberdine","","","Costa Oscura, Auberdine","Costa Oscura, Auberdine","Темные берега, Аубердин","","","","","","","","16712190"
"36","0","-11110","-1833","71","Deadwind Pass, Morgan's Plot","Deadwind Pass, Morgan's Plot","Défilé de Deuillevent, le lopin de Morgan","Gebirgspass der Totenwinde, Morgans Grund","","","Paso de la Muerte, Terreno de Morgan","Paso de la Muerte, Terreno de Morgan","Перевал Мертвого Ветра, Надел Моргана","","","","","","","","16712190"
"39","1","-4656","-1765","-41","Thousand Needles, The Great Lift","Thousand Needles, The Great Lift","Mille pointes, la Grande élévation","Tausend Nadeln, der große Aufzug","","","Las Mil Agujas, El Gran Elevador","Las Mil Agujas, El Gran Elevador","Тысяча Игл, Великий Подъемник","","","","","","","","16712190"
"49","37","-661","-485","385","Plains of Snow - Horde Start","Plains of Snow - Horde Start","Plaines enneigées - Point de départ de la Horde","Schneeflachland - Start der Horde","","","Yermos Gélidos: Inicio de la Horda","Yermos Gélidos: Inicio de la Horda","Белое Безмолвие, старт Орды","","","","","","","","16712190"
"70","1","-6432","-278","3","Silithus, Valor's Rest","Silithus, Valor's Rest","Silithus, le Repos des vaillants","Silithus, Heldenwacht","","","Silithus, Sosiego del Valor","Silithus, Sosiego del Valor","Силитус, Погост Отважных","","","","","","","","16712190"
"89","1","-2175","-342","-5","Mulgore, Bloodhoof Village","Mulgore, Bloodhoof Village","Mulgore, Village Sabot-de-sang","Mulgore, Dorf der Bluthufe","","","Mulgore, Poblado Pezuña de Sangre","Mulgore, Poblado Pezuña de Sangre","Мулгор, Деревня Кровавого Копыта","","","","","","","","16712190"
"90","1","10054","2117","1329","Teldrassil, Darnassus","Teldrassil, Darnassus","Teldrassil, Darnassus","Teldrassil, Darnassus","","","Teldrassil, Darnassus","Teldrassil, Darnassus","Тельдрассил, Дарнас","","","","","","","","16712190"
"91","1","9701","945","1291","Teldrassil, Dolanaar","Teldrassil, Dolanaar","Teldrassil, Dolanaar","Teldrassil, Dolanaar","","","Teldrassil, Dolanaar","Teldrassil, Dolanaar","Тельдрассил, Доланаар","","","","","","","","16712190"
"92","1","2633","-629","107","Ashenvale, Astranaar","Ashenvale, Astranaar","Orneval, Astranaar","Eschental, Astranaar","","","Vallefresno, Astranaar","Vallefresno, Astranaar","Ясеневый лес, Астранаар","","","","","","","","16712190"
"93","1","10384","811","1317","Teldrassil, Aldrassil","Teldrassil, Aldrassil","Teldrassil, Aldrassil","Teldrassil, Aldrassil","","","Teldrassil, Aldrassil","Teldrassil, Aldrassil","Тельдрассил, Альдрассил","","","","","","","","16712190"
"94","0","1882","1629","94","Tirisfal Glades, Deathknell","Tirisfal Glades, Deathknell","Clairières de Tirisfal, Le Glas","Tirisfal, Todesend","","","Claros de Tirisfal, Camposanto","Claros de Tirisfal, Camposanto","Тирисфальские леса, Могильник","","","","","","","","16712190"
"96","0","1822","214","60","Tirisfal Glades, Undercity","Tirisfal Glades, Undercity","Clairières de Tirisfal, Fossoyeuse","Tirisfal, Unterstadt","","","Claros de Tirisfal, Entrañas","Claros de Tirisfal, Entrañas","Тирисфальские леса, Подгород","","","","","","","","16712190"
"97","0","516","1589","127","Silverpine Forest, The Sepulcher","Silverpine Forest, The Sepulcher","Forêt des Pins argentés, le Sépulcre","Silberwald, Grabmal","","","Bosque de Argénteos, El Sepulcro","Bosque de Argénteos, El Sepulcro","Серебряный бор, Гробница","","","","","","","","16712190"
"98","0","-18","-981","55","Hillsbrad Foothills, Tarren Mill","Hillsbrad Foothills, Tarren Mill","Contreforts de Hautebrande, Moulin-de-Tarren","Vorgebirge des Hügellands, Tarrens Mühle","","","Laderas de Trabalomas, Molino Tarren","Laderas de Trabalomas, Molino Tarren","Предгорья Хилсбрада, Мельница Таррен","","","","","","","","16712190"
"99","0","-1307","-3192","37","Arathi Highlands, Eastern Road","Arathi Highlands, Eastern Road","Hautes-terres d'Arathi, route de l'est","Arathihochland, Oststraße","","","Tierras Altas de Arathi, Camino del Este","Tierras Altas de Arathi, Camino del Este","Нагорье Арати, Восточная дорога","","","","","","","","16712190"
"100","0","-6164","336","399","Dun Morogh, Anvilmar","Dun Morogh, Anvilmar","Dun Morogh, Courbenclume","Dun Morogh, Ambossar","","","Dun Morogh, Yunquemar","Dun Morogh, Yunquemar","Дун Морог, Старая Наковальня","","","","","","","","16712190"
"101","0","-5680","-518","396","Dun Morogh, Kharanos","Dun Morogh, Kharanos","Dun Morogh, Kharanos","Dun Morogh, Kharanos","","","Dun Morogh, Kharanos","Dun Morogh, Kharanos","Дун Морог, Каранос","","","","","","","","16712190"
"102","0","-5049","-809","495","Dun Morogh, Ironforge","Dun Morogh, Ironforge","Dun Morogh, Forgefer","Dun Morogh, Eisenschmiede","","","Dun Morogh, Forjaz","Dun Morogh, Forjaz","Дун Морог, Стальгорн","","","","","","","","16712190"
"103","0","-6805","-2287","280","Badlands, Kargath","Badlands, Kargath","Terres ingrates, Kargath","Ödland, Kargath","","","Tierras Inhóspitas, Kargath","Tierras Inhóspitas, Kargath","Бесплодные земли, Каргат","","","","","","","","16712190"
"104","0","-9403","-2037","58","Redridge Mountains, Lakeshire","Redridge Mountains, Lakeshire","Les Carmines, Comté-du-lac","Rotkammgebirge, Seenhain","","","Montañas Crestagrana, Villa del Lago","Montañas Crestagrana, Villa del Lago","Красногорье, Приозерье","","","","","","","","16712190"
"105","0","-8935","-188","80","Elwynn Forest, Northshire","Elwynn Forest, Northshire","Forêt d'Elwynn, Comté-du-nord","Wald von Elwynn, Nordhain","","","Bosque de Elwynn, Villanorte","Bosque de Elwynn, Villanorte","Элвиннский лес, Североземье","","","","","","","","16712190"
"106","0","-9339","171","61","Elwynn Forest, Goldshire","Elwynn Forest, Goldshire","Forêt d'Elwynn, Comté-de-l’or","Wald von Elwynn, Goldhain","","","Bosque de Elwynn, Villadorada","Bosque de Elwynn, Villadorada","Элвиннский лес, Златоземье","","","","","","","","16712190"
"107","0","-9151","410","92","Elwynn Forest, Stormwind","Elwynn Forest, Stormwind","Forêt d'Elwynn, Hurlevent","Wald von Elwynn, Sturmwind","","","Bosque de Elwynn, Ventormenta","Bosque de Elwynn, Ventormenta","Элвиннский лес, Штормград","","","","","","","","16712190"
"108","0","-10567","-3377","22","Swamp of Sorrows, Stonard","Swamp of Sorrows, Stonard","Marais des Chagrins, Pierrêche","Sümpfe des Elends, Steinard","","","Pantano de las Penas, Rocal","Pantano de las Penas, Rocal","Болото Печали, Каменор","","","","","","","","16712190"
"109","0","-14285","288","32","Stranglethorn Vale, Booty Bay","Stranglethorn Vale, Booty Bay","Strangleronce, Baie-du-Butin","Schlingendorntal, Beutebucht","","","Vega de Tuercespina, Bahía del Botín","Vega de Tuercespina, Bahía del Botín","Тернистая долина, Пиратская Бухта","","","","","","","","16712190"
"129","1","8706","965","13","Teldrassil, Rut'theran Village","Teldrassil, Rut'theran Village","Teldrassil, Rut'theran","Teldrassil, Rut'theran","","","Teldrassil, Aldea Rut'theran","Teldrassil, Aldea Rut'theran","Тельдрассил, Деревня Рут'теран","","","","","","","","16712190"
"149","0","-732","-592","22","Hillsbrad Foothills, Southshore","Hillsbrad Foothills, Southshore","Contreforts de Hautebrande, Austrivage","Vorgebirge des Hügellands, Süderstade","","","Laderas de Trabalomas, Costasur","Laderas de Trabalomas, Costasur","Предгорья Хилсбрада, Южнобережье","","","","","","","","16712190"
"169","30","-157","31","77","Alterac Valley, Snowfall Graveyard (Mid)","Alterac Valley, Snowfall Graveyard (Mid)","Cimetière des neiges, Vallée d'Alterac (Mil)","Alteractal, Schneewehenfriedhof (Mid)","","","Valle de Alterac, Cementerio Avalancha (Med.)","Valle de Alterac, Cementerio Avalancha (Med.)","Альтеракская долина, Кладбище Снегопада","","","","","","","","16712190"
"189","1","-3525","-4315","6","Dustwallow Marsh, Theramore Isle","Dustwallow Marsh, Theramore Isle","Marécage d'Âprefange, Ile de Theramore","Düstermarschen, Insel Theramore","","","Marjal Revolcafango, Isla Theramore","Marjal Revolcafango, Isla Theramore","Пылевые топи, Остров Терамор","","","","","","","","16712190"
"209","1","-7190","-3944","9","Tanaris, Gadgetzan","Tanaris, Gadgetzan","Tanaris, Gadgetzan","Tanaris, Gadgetzan","","","Tanaris, Gadgetzan","Tanaris, Gadgetzan","Танарис, Прибамбасск","","","","","","","","16712190"
"229","1","-2517","-1972","91","The Barrens, Camp Taurajo","The Barrens, Camp Taurajo","Tarides, Camp Taurajo","Brachland, Camp Taurajo","","","Los Baldíos, Campamento Taurajo","Los Baldíos, Campamento Taurajo","Степи, Лагерь Таурахо","","","","","","","","16712190"
"249","1","-1081","-3478","63","The Barrens, Ratchet","The Barrens, Ratchet","Tarides, Cabestan","Brachland, Ratschet","","","Los Baldíos, Trinquete","Los Baldíos, Trinquete","Степи, Кабестан","","","","","","","","16712190"
"269","37","-448","-1027","430","Plains of Snow - Alliance Start","Plains of Snow - Alliance Start","Plaines enneigées - Départ Alliance","Schneeflachland - Start der Allianz","","","Yermos Gélidos: Inicio de la Alianza","Yermos Gélidos: Inicio de la Alianza","Белое Безмолвие, старт Альянса","","","","","","","","16712190"
"289","0","2348","492","33","Tirisfal Glades, Brill","Tirisfal Glades, Brill","Clairières de Tirisfal, Brill","Tirisfal, Brill","","","Claros de Tirisfal, Rémol","Claros de Tirisfal, Rémol","Тирисфальские леса, Брилл","","","","","","","","16712190"
"309","1","-4596","3229","8","Feralas, Feathermoon Stronghold","Feralas, Feathermoon Stronghold","Féralas, Bastion de Pennelune","Feralas, Mondfederfeste","","","Feralas, Bastión Plumaluna","Feralas, Bastión Plumaluna","Фералас, Крепость Оперенной Луны","","","","","","","","16712190"
"310","1","-4439","370","51","Feralas, Camp Mojache","Feralas, Camp Mojache","Féralas, Camp Mojache","Feralas, Camp Mojache","","","Feralas, Campamento Mojache","Feralas, Campamento Mojache","Фералас, Лагерь Мохаче","","","","","","","","16712190"
"329","1","-5530","-3459","-45","Thousand Needles, Shimmering Flats","Thousand Needles, Shimmering Flats","Mille pointes, les Salines","Tausend Nadeln, schimmernde Ebene","","","Las Mil Agujas, El Desierto de Sal","Las Mil Agujas, El Desierto de Sal","Тысяча Игл, Мерцающая равнина","","","","","","","","16712190"
"349","0","323","-2227","137","The Hinterlands, Aerie Peak","The Hinterlands, Aerie Peak","Les Hinterlands, Nid-de-l'Aigle,","Hinterland, Nistgipfel","","","Tierras del Interior, Pico Nidal","Tierras del Interior, Pico Nidal","Внутренние земли, Заоблачный пик","","","","","","","","16712190"
"369","1","2681","-4009","107","Azshara, Talrendis Point","Azshara, Talrendis Point","Azshara, Halte de Talrendis","Azshara, Talrendisspitze","","","Azshara, Punta Talrendis","Azshara, Punta Talrendis","Азшара, Застава Талрендис","","","","","","","","16712190"
"370","0","-10846","-2949","13","Blasted Lands, Dreadmaul Hold","Blasted Lands, Dreadmaul Hold","Terres foudroyées, Bastion Cognepeur","Verwüstete Lande, Feste Schreckensfels","","","Las Tierras Devastadas, Bastión Machacamiedo","Las Tierras Devastadas, Bastión Machacamiedo","Выжженные земли, Форт Молота Ужаса","","","","","","","","16712190"
"389","0","-11542","-228","27","Stranglethorn Vale, Northern Stranglethorn","Stranglethorn Vale, Northern Stranglethorn","Vallée de Strangleronce, Nord de Strangleronce","Schlingendorntal, Norden des Schlingendorntals","","","Vega de Tuercespina, Tuercespina Norte","Vega de Tuercespina, Tuercespina Norte","Тернистая долина, Северная Тернистая долина","","","","","","","","16712190"
"409","1","898","434","65","Stonetalon Mountains, Webwinder Path","Stonetalon Mountains, Webwinder Path","Les Serres-Rocheuses, sentier des Tisseuses","Steinkrallengebirge, Weberpass","","","Sierra Espolón, Senda de las Tejedoras","Sierra Espolón, Senda de las Tejedoras","Когтистые горы, Паучий тракт","","","","","","","","16712190"
"429","0","2604","-543","88","Tirisfal Glades, Faol's Rest","Tirisfal Glades, Faol's Rest","Clairières de Tirisfal, Repos de Faol","Tirisfal, Faols Ruheplatz","","","Claros de Tirisfal, Tumba de Faol","Claros de Tirisfal, Tumba de Faol","Тирисфальские леса, Могила Фаола","","","","","","","","16712190"
"449","1","3806","-1600","218","Felwood, Morlos'Aran","Felwood, Morlos'Aran","Gangrebois, Morlos'Aran","Teufelswald, Morlos'Aran","","","Frondavil, Morlos'Aran","Frondavil, Morlos'Aran","Оскверненный лес, Морлос'Аран","","","","","","","","16712190"
"450","1","-7205","-2436","-218","Un'Goro Crater, The Marshlands","Un'Goro Crater, The Marshlands","Cratère d'Un'Goro, la Fondrière","Krater von Un'Goro, die Marschen","","","Cráter de Un'Goro, Los Pantanales","Cráter de Un'Goro, Los Pantanales","Кратер Ун'Горо, Топи","","","","","","","","16712190"
"469","1","4291","96","43","Darkshore, Twilight Vale","Darkshore, Twilight Vale","Sombrivage, vallée du Crépuscule","Dunkelküste, Zwielichttal","","","Costa Oscura, Vega Crepuscular","Costa Oscura, Vega Crepuscular","Темные берега, Сумеречная долина","","","","","","","","16712190"
"489","0","-3347","-856","1","Wetlands, Baradin Bay","Wetlands, Baradin Bay","Les Paluns, Baie de Baradin","Sumpfland, Baradinbucht","","","Los Humedales, Bahía de Baradin","Los Humedales, Bahía de Baradin","Болотина, Бухта Барадин","","","","","","","","16712190"
"509","0","908","-1520","55","Western Plaguelands, Chillwind Camp","Western Plaguelands, Chillwind Camp","Maleterres de l'ouest, Camp du Noroît","Westliche Pestländer, Zugwindlager","","","Tierras de la Peste del Oeste, Campamento del Orvallo","Tierras de la Peste del Oeste, Campamento del Orvallo","Западные Чумные земли, Лагерь Промозглого Ветра","","","","","","","","16712190"
"510","0","2055","-5020","74","Eastern Plaguelands, Pestilent Scar","Eastern Plaguelands, Pestilent Scar","Maleterres de l'est, Balafre pestilentielle","Östliche Pestländer, Pestilenznarbe","","","Tierras de la Peste del Este, Cicatriz Pestilente","Tierras de la Peste del Este, Cicatriz Pestilente","Восточные Чумные земли, Моровой овраг","","","","","","","","16712190"
"511","1","6875","-4661","701","Winterspring, Everlook","Winterspring, Everlook","Berceau-de-l'Hiver, Long-guet","Winterquell, Ewige Warte","","","Cuna del Invierno, Vista Eterna","Cuna del Invierno, Vista Eterna","Зимние Ключи, Круговзор","","","","","","","","16712190"
"512","1","2421","-2953","123","Ashenvale, Kargathia","Ashenvale, Kargathia","Orneval, Kargathia","Eschental, Kargathia","","","Vallefresno, Kargathia","Vallefresno, Kargathia","Ясеневый лес, Крепость Каргатия","","","","","","","","16712190"
"529","451","16310","16268","69","Programmer Isle","Programmer Isle","Ile des programmeurs","Programmiererinsel","","","Isla del Programador","Isla del Programador","Остров Программиста","","","","","","","","16712190"
"549","451","16223","16278","20","Programmer Isle","Programmer Isle","Ile des programmeurs","Programmiererinsel","","","Isla del Programador","Isla del Programador","Остров Программиста","","","","","","","","16712190"
"569","0","1750","-669","44","Western Plaguelands, Bulwark","Western Plaguelands, Bulwark","Maleterres de l'ouest, la Barricade","Westliche Pestländer, Bollwerk","","","Tierras de la Peste del Oeste, El Baluarte","Tierras de la Peste del Oeste, El Baluarte","Западные Чумные земли, Бастион","","","","","","","","16712190"
"589","1","16310","16268","69","GM Island","GM Island","Île des MJ","GM-Insel","","","Isla del MJ","Isla del MJ","Остров ГМ","","","","","","","","16712190"
"609","1","2942","-6037","5","Azshara, Southridge Beach","Azshara, Southridge Beach","Azshara, Plage des Crêtes du sud","Azshara, Südklippenufer","","","Azshara, Playa del Arrecife Sur","Azshara, Playa del Arrecife Sur","Азшара, Южный пляж","","","","","","","","16712190"
"610","30","-1437","-610","51","Alterac Valley, Horde Safe","Alterac Valley, Horde Safe","Vallée d'Alterac, Horde","Alteractal, Horde","","","Valle de Alterac, punto seguro de la Horda","Valle de Alterac, punto seguro de la Horda","Альтеракская долина, укрытие Орды","","","","","","","","16712190"
"611","30","873","-491","96","Alterac Valley, Alliance Safe","Alterac Valley, Alliance Safe","Vallée d'Alterac, Alliance","Alteractal, Allianz","","","Valle de Alterac, punto seguro de la Alianza","Valle de Alterac, punto seguro de la Alianza","Альтеракская долина, укрытие Альянса","","","","","","","","16712190"
"629","0","908","-1520","55","TEST for GM Client Only - Do Not Bug","TEST for GM Client Only - Do Not Bug","TEST for GM Client Only - Do Not Bug","TEST nur für GM-Client - Kein Bug","","","PRUEBA para cliente MJ solo: no bug","PRUEBA para cliente MJ solo: no bug","ТЕСТ только для ИМ - не править","","","","","","","","16712190"
"630","1","4788","-6845","89","Azshara, Legash Encampment","Azshara, Legash Encampment","Azshara, Campement Legashi","Azshara, Lager der Legashi","","","Azshara, Campamento Legashi","Azshara, Campamento Legashi","Азшара, Лагерь Легаш","","","","","","","","16712190"
"631","1","-3127","-3046","33","Dustwallow Marsh, Brackenwall Village","Dustwallow Marsh, Brackenwall Village","Marécage d'Âprefange, Mur-de-Fougères","Düstermarschen, Brackenwall","","","Marjal Revolcafango, Poblado Murohelecho","Marjal Revolcafango, Poblado Murohelecho","Пылевые Топи, Деревня Гиблотопь","","","","","","","","16712190"
"633","1","7426","-2809","464","Moonglade","Moonglade","Reflet-de-Lune","Mondlichtung","","","Claro de la Luna","Claro de la Luna","Лунная поляна","","","","","","","","16712190"
"634","0","1392","-3701","77","Eastern Plaguelands, Darrowshire","Eastern Plaguelands, Darrowshire","Maleterres de l'est, Comté-de-Darrow","Östliche Pestländer, Darroheim","","","Tierras de la Peste del Este, Villa Darrow","Tierras de la Peste del Este, Villa Darrow","Восточные Чумные земли, Дарроушир","","","","","","","","16712190"
"635","1","5935","-1217","383","Felwood, Irontree Woods","Felwood, Irontree Woods","Gangrebois, Bois d'Arbrefer","Teufelswald, Eisenwald","","","Frondavil, Bosque de Troncoferro","Frondavil, Bosque de Troncoferro","Оскверненный лес, Железнолесье","","","","","","","","16712190"
"636","0","-6450","-1113","308","Searing Gorge, Thorium Point","Searing Gorge, Thorium Point","Gorge des Vents brûlants, Halte du Thorium","Sengende Schlucht, Thoriumspitze","","","La Garganta de Fuego, Puesto del Torio","La Garganta de Fuego, Puesto del Torio","Тлеющее ущелье, Лагерь Братства Тория","","","","","","","","16712190"
"649","1","-778","-4985","19","Durotar, Sen'jin Village","Durotar, Sen'jin Village","Durotar, Village de Sen'jin","Durotar, Sen'jin","","","Durotar, Poblado Sen'jin","Durotar, Poblado Sen'jin","Дуротар, Деревня Сен'джин","","","","","","","","16712190"
"669","451","16614","16663","21","Programmer Isle, Bucklers Cemetery 2","Programmer Isle, Bucklers Cemetery 2","Ile des programmeurs, Cimetière de Bucklers 2","Programmiererinsel, Bucklers-Friedhof 2","","","Isla del programador, Cementerio Bucklers 2","Isla del programador, Cementerio Bucklers 2","Остров программиста, кладбище кулачных щитов 2","","","","","","","","16712190"
"670","451","16620","16622","21","Programmer Isle, Bucklers Cemetery 1","Programmer Isle, Bucklers Cemetery 1","Ile des programmeurs, Cimetière de Bucklers 1","Programmiererinsel, Bucklers-Friedhof 1","","","Isla del programador, Cementerio Bucklers 1","Isla del programador, Cementerio Bucklers 1","Остров программиста, кладбище кулачных щитов 1","","","","","","","","16712190"
"671","451","16619","16577","43","Programmer Isle, Bucklers Cemetery 3","Programmer Isle, Bucklers Cemetery 3","Ile des programmeurs, Cimetière de Bucklers 3","Programmiererinsel, Bucklers-Friedhof 3","","","Isla del programador, Cementerio Bucklers 3","Isla del programador, Cementerio Bucklers 3","Остров программиста, кладбище кулачных щитов 3","","","","","","","","16712190"
"689","30","676","-374","30","Alterac Valley, Stormpike Graveyard (Hi)","Alterac Valley, Stormpike Graveyard (Hi)","Cimetière Foudrepique, Vallée d'Alterac (Haut)","Alteractal, Friedhof der Sturmlanzen (Hi)","","","Valle de Alterac, Cementerio Pico Tormenta (Alto)","Valle de Alterac, Cementerio Pico Tormenta (Alto)","Альтеракская долина, Кладбище Грозовой Вершины (Выс)","","","","","","","","16712190"
"690","30","-1090","-253","57","Alterac Valley, Frostwolf Graveyard (Lo)","Alterac Valley, Frostwolf Graveyard (Lo)","Cimetière Loup-de-givre, Vallée d'Alterac (Bas)","Alteractal, Friedhof der Frostwölfe (Lo)","","","Valle de Alterac, Cementerio de Lobo Gélido (Bajo)","Valle de Alterac, Cementerio de Lobo Gélido (Bajo)","Альтеракская долина, Кладбище Северного Волка","","","","","","","","16712190"
"709","1","-634","-4296","40","Durotar, Valley of Trials","Durotar, Valley of Trials","Durotar, Vallée des épreuves","Durotar, Tal der Prüfungen","","","Durotar, Valle de los Retos","Durotar, Valle de los Retos","Дуротар, Долина Испытаний","","","","","","","","16712190"
"729","30","73","-496","48","Alterac Valley, PvP Alliance Choke Graveyard (A-choke)","Alterac Valley, PvP Alliance Choke Graveyard (A-choke)","Vallée d'Alterac, cimetière principal de l'Alliance JcJ (A-étr.)","Alteractal, PvP Allianz Choke Friedhof (A-choke)","","","Valle de Alterac, JcJ Cementerio principal de la Alianza (cem. Alz.)","Valle de Alterac, JcJ Cementerio principal de la Alianza (cem. Alz.)","Альтеракская долина, PvP кладбище прохода Альянса (А-проход)","","","","","","","","16712190"
"749","30","-531","-405","49","Alterac Valley, PvP Horde Choke Graveyard (H-choke)","Alterac Valley, PvP Horde Choke Graveyard (H-choke)","Vallée d'Alterac, cimetière principal de la Horde JcJ (H-étr.)","Alteractal, PvP Horde Choke Friedhof (H-choke)","","","Valle de Alterac, JcJ Cementerio principal de la Horda (cem. Hrd.)","Valle de Alterac, JcJ Cementerio principal de la Horda (cem. Hrd.)","Альтеракская долина, PvP кладбище прохода Орды (О-проход)","","","","","","","","16712190"
"750","30","-1496","-333","101","Alterac Valley, Frostwolf Relief Hut (H-base)","Alterac Valley, Frostwolf Relief Hut (H-base)","Vallée d'Alterac, hutte de guérison Loup-de-givre (H-base)","Heilerhütte der Frostwölfe, Alteractal (H-Basis)","","","Valle de Alterac, Puesto de auxilio Lobo Gélido (base Hrd.)","Valle de Alterac, Puesto de auxilio Lobo Gélido (base Hrd.)","Альтеракская долина, Приют Северного Волка (О-база)","","","","","","","","16712190"
"751","30","643","44","69","Alterac Valley, Stormpike Aid Station (A-base)","Alterac Valley, Stormpike Aid Station (A-base)","Vallée d'Alterac, poste de secours Foudrepique (A-base)","Alteractal, Lazarett der Sturmlanzen(A-Basis)","","","Valle de Alterac, Puesto de auxilio Pico Tormenta (base Alz.)","Valle de Alterac, Puesto de auxilio Pico Tormenta (base Alz.)","Альтеракская долина, Лазарет Грозовой Вершины (А-база)","","","","","","","","16712190"
"769","489","1523","1481","352","Warsong Gulch - Alliance Enter Loc","Warsong Gulch - Alliance Enter Loc","Goulet des Chanteguerres - Alliance Entrée Loc","Kriegshymnenschlucht - Allianz Enter Loc","","","Garganta Grito de Guerra: Punto de entrada de la Alianza","Garganta Grito de Guerra: Punto de entrada de la Alianza","Ущелье Песни Войны - место входа Альянса","","","","","","","","16712190"
"770","489","933","1433","345","Warsong Gulch - Horde Enter Loc","Warsong Gulch - Horde Enter Loc","Goulet des Chanteguerres - Horde Entrée Loc","Kriegshymnenschlucht - Horde Enter Loc","","","Garganta Grito de Guerra: Punto de entrada de la Horda","Garganta Grito de Guerra: Punto de entrada de la Horda","Ущелье Песни Войны, место входа Орды","","","","","","","","16712190"
"771","489","1415","1554","343","Warsong Gulch - Alliance Rez Loc","Warsong Gulch - Alliance Rez Loc","Goulet des Chanteguerres - Résurrection Alliance","Kriegshymnenschlucht - Allianz Rez Loc","","","Garganta Grito de Guerra: Punto de resurrección de la Alianza","Garganta Grito de Guerra: Punto de resurrección de la Alianza","Ущелье Песни Войны, зона Альянса","","","","","","","","16712190"
