item_id;name;ItemLevel;RequiredLevel;InventoryType;Quality
37892;Green Brewfest Stein;5;1;13;3
37893;Filled Green Brewfest Stein;5;1;13;3
37894;Filled Green Brewfest Stein;5;1;13;3
37895;Filled Green Brewfest Stein;5;1;13;3
37896;Filled Green Brewfest Stein;5;1;13;3
37897;Filled Green Brewfest Stein;5;1;13;3
24358;QATest +1000 Spell Dmg Ring;6;1;11;4
38484;QA Test +2000 Spell Power Ring;6;1;11;4
45024;QATest +1500 Spell Dmg Ring;6;1;11;4
4763;Blackwood Recurve Bow;9;4;15;2
727;Notched Shortsword;10;5;13;2
1917;Jeweled Dagger;10;5;13;2
2572;Red Linen Robe;10;5;20;2
2958;Journeyman's Pants;10;5;7;2
2962;Burnt Leather Breeches;10;5;7;2
2966;Warrior's Pants;10;5;7;2
3000;Brood Mother Carapace;10;5;5;2
3471;Copper Chain Vest;10;5;5;2
4307;Heavy Linen Gloves;10;5;10;2
4343;Brown Linen Pants;10;5;7;2
4362;Rough Boomstick;10;5;26;2
4562;Severing Axe;10;5;17;2
4861;Sleek Feathered Tunic;10;5;5;2
6238;Brown Linen Robe;10;5;20;2
6241;White Linen Robe;10;5;20;2
7507;Arcane Orb;10;0;23;2
8178;Training Sword;10;5;17;2
9514;Arcane Staff;10;0;17;2
9598;Sleeping Robes;10;0;20;2
9599;Barkmail Leggings;10;0;7;2
9602;Brushwood Blade;10;0;17;2
9603;Gritroot Staff;10;0;17;2
15925;Journeyman's Stave;10;5;23;2
15969;Beaded Orb;10;5;23;2
17922;Lionfur Armor;10;5;5;2
18957;Brushwood Blade;10;0;13;2
23399;Fallen Apprentice's Robe;10;0;20;2
23423;Mercenary Greatsword;10;0;17;2
23429;Mercenary Clout;10;0;17;2
23430;Mercenary Sword;10;0;13;2
23431;Mercenary Stiletto;10;0;13;2
24107;Ravager Chitin Tunic;10;0;5;2
24108;Ravager Hide Leggings;10;0;7;2
24109;Thick Ravager Belt;10;0;6;2
24111;Kurken Hide Jerkin;10;0;5;2
24112;Kurkenstoks;10;0;8;2
24113;Cowlen's Bracers of Kinship;10;0;9;2
28146;Courier's Wraps;10;0;9;2
28147;Tranquillien Scout's Bracers;10;0;9;2
28148;Bronze Mail Bracers;10;0;9;2
816;Small Hand Blade;11;6;13;2
2140;Carving Knife;11;6;13;2
2281;Rodentia Flint Axe;11;6;13;2
2957;Journeyman's Vest;11;6;5;2
2961;Burnt Leather Vest;11;6;5;2
2965;Warrior's Tunic;11;6;5;2
3223;Frostmane Scepter;11;6;13;2
4561;Scalping Tomahawk;11;6;21;2
4939;Steady Bastard Sword;11;0;17;2
4947;Jagged Dagger;11;0;13;2
4948;Stinging Mace;11;0;13;2
6511;Journeyman's Robe;11;6;20;2
7108;Infantry Shield;11;6;14;2
7280;Rugged Leather Pants;11;6;7;2
8180;Hunting Bow;11;6;15;2
10553;Foreman Vest;11;6;5;2
10554;Foreman Pants;11;6;7;2
14090;Beaded Britches;11;6;7;2
14091;Beaded Robe;11;6;20;2
14094;Beaded Wraps;11;6;5;2
15009;Primal Leggings;11;6;7;2
15010;Primal Wraps;11;6;5;2
15477;Charger's Pants;11;6;7;2
15479;Charger's Armor;11;6;5;2
22969;Ven'jashi's Bow;11;0;15;2
22971;Hoodoo Wand;11;0;26;2
24339;Stung;11;0;13;2
24340;Vandril's Hand Me Down Pants;11;0;7;2
24341;Fortified Oven Mitts;11;0;10;2
24438;Fur Covered Robe;11;0;20;2
24439;Savage Leggings;11;0;7;2
24440;Heavy Chain Leggings;11;0;7;2
26004;Farmhand's Vest;11;0;5;2
26018;Elekk Handler's Leathers;11;0;5;2
26031;Elekk Rider's Mail;11;0;5;2
26049;Old Elekk Prod;11;0;13;2
26051;2 Stone Sledgehammer;11;0;17;2
26053;Elekk Handler's Blade;11;0;13;2
27389;Surplus Bastard Sword;11;0;17;2
28149;Tranquillien Breeches;11;0;7;2
28152;Quel'Thalas Recurve;11;0;15;2
33791;Heavy Copper Longsword;11;6;13;2
2075;Priest's Mace;12;7;21;2
2254;Icepane Warhammer;12;7;17;2
2300;Embossed Leather Vest;12;7;5;2
2580;Reinforced Linen Cape;12;7;16;2
2817;Soft Leather Tunic;12;0;5;2
3079;Skorn's Rifle;12;0;26;2
3103;Coldridge Hammer;12;0;17;2
3192;Short Bastard Sword;12;7;17;2
3282;Battle Chain Pants;12;7;7;2
3287;Tribal Pants;12;7;7;2
3472;Runed Copper Gauntlets;12;7;10;2
4303;Cranial Thumper;12;7;13;2
4308;Green Linen Bracers;12;7;9;2
4964;Goblin Smasher;12;0;17;2
4971;Skorn's Hammer;12;0;13;2
4974;Compact Fighting Knife;12;0;13;2
5069;Fire Wand;12;7;26;2
5744;Pale Skinner;12;7;13;2
6239;Red Linen Vest;12;7;5;2
6240;Blue Linen Vest;12;7;5;2
6267;Disciple's Pants;12;7;7;2
6269;Pioneer Trousers;12;7;7;2
6337;Infantry Leggings;12;7;7;2
9753;Gypsy Buckler;12;7;14;2
10549;Rancher's Trousers;12;0;7;2
15486;War Torn Shield;12;7;14;2
15932;Disciple's Stein;12;7;23;2
15944;Ancestral Orb;12;7;23;2
23405;Farstrider's Tunic;12;0;5;2
24136;Farstrider's Bow;12;0;15;2
24138;Silver Crossbow;12;0;26;2
26006;Crystal-Flecked Pants;12;0;7;2
26020;Shard-Covered Leggings;12;0;7;2
26032;Crystal-Studded Legguards;12;0;7;2
27399;Stillpine Defender;12;0;14;2
27401;Arugoo's Crossbow of Destruction;12;0;26;2
27403;Stillpine Stinger;12;0;26;2
28144;Troll Handler Gloves;12;0;10;2
28153;Farstrider's Shield;12;0;14;2
821;Riverpaw Leather Vest;13;8;5;2
1009;Compact Hammer;13;0;21;2
2087;Hard Crawler Carapace;13;8;5;2
2218;Craftsman's Dagger;13;0;13;2
2265;Stonesplinter Axe;13;8;13;2
2266;Stonesplinter Dagger;13;8;13;2
2310;Embossed Leather Cloak;13;8;16;2
2311;White Leather Jerkin;13;8;5;2
2569;Linen Boots;13;8;8;2
3283;Battle Chain Tunic;13;8;5;2
3288;Tribal Vest;13;8;5;2
3291;Ancestral Woollies;13;8;7;2
3292;Ancestral Tunic;13;8;5;2
3330;Dargol's Hauberk;13;8;5;2
3440;Bonecracker;13;0;17;2
3446;Darkwood Staff;13;0;17;2
3473;Runed Copper Pants;13;8;7;2
3488;Copper Battle Axe;13;8;17;2
4239;Embossed Leather Gloves;13;8;10;2
4564;Spiked Club;13;8;17;2
4566;Sturdy Quarterstaff;13;8;17;2
4577;Compact Shotgun;13;8;26;2
4766;Feral Blade;13;8;13;2
5459;Defender Axe;13;0;13;2
5587;Thornroot Club;13;0;13;2
5604;Elven Wand;13;0;26;2
5617;Vagabond Leggings;13;0;7;2
6084;Stormwind Guard Leggings;13;0;7;2
6085;Footman Tunic;13;0;5;2
6215;Balanced Fighting Stick;13;0;17;2
6266;Disciple's Vest;13;8;5;2
6268;Pioneer Tunic;13;8;5;2
6336;Infantry Tunic;13;8;5;2
6512;Disciple's Robe;13;8;20;2
6527;Ancestral Robe;13;8;20;2
7229;Explorer's Vest;13;0;5;2
7298;Blade of Cunning;13;0;13;2
7508;Ley Orb;13;0;23;2
9513;Ley Staff;13;0;17;2
9764;Cadet Shield;13;8;14;2
15298;Grizzly Buckler;13;8;14;2
24342;Stillpine Shocker;13;0;26;2
24343;The Thumper;13;0;13;2
26008;Scholar's Gloves;13;0;10;2
26014;Jessera's Fungus Lined Cuffs;13;0;9;2
26022;Researcher's Gloves;13;0;10;2
26028;Jessera's Fungus Lined Bands;13;0;9;2
26034;Protective Field Gloves;13;0;10;2
26040;Jessera's Fungus Lined Bracers;13;0;9;2
28145;Tranquillien Wraps;13;0;10;2
28150;Renzithen's Dusty Cloak;13;0;16;2
38513;Boarhide Leggings;13;8;7;2
2578;Barbaric Linen Vest;14;9;5;2
2632;Curved Dagger;14;9;13;2
3652;Hunting Buckler;14;9;14;2
3654;Brackwater Shield;14;9;14;2
4309;Handstitched Linen Britches;14;9;7;2
4569;Staunch Hammer;14;9;21;2
4765;Enamelled Broadsword;14;9;13;2
5071;Shadow Wand;14;9;26;2
5344;Pointed Axe;14;0;13;2
5345;Stonewood Hammer;14;0;17;2
5346;Orcish Battle Bow;14;0;15;2
5420;Banshee Armor;14;0;5;2
6242;Blue Linen Robe;14;9;20;2
7281;Light Leather Bracers;14;9;9;2
9747;Simple Britches;14;9;7;2
9756;Gypsy Trousers;14;9;7;2
9763;Cadet Leggings;14;9;7;2
14097;Native Pants;14;9;7;2
15303;Grizzly Pants;14;9;7;2
15335;Briarsteel Shortsword;14;0;13;2
15396;Curvewood Dagger;14;0;13;2
15397;Oakthrush Staff;14;0;17;2
15399;Dryweed Belt;14;0;6;2
15485;War Torn Pants;14;9;7;2
23402;Arcanist's Dagger;14;0;13;2
23403;Salvaged Mail Leggings;14;0;7;2
23404;Padded Running Shoes;14;0;8;2
26010;Vindicator's Soft Sole Slippers;14;0;8;2
26016;Surveyor's Mantle;14;0;16;2
26024;Vindicator's Leather Moccasins;14;0;8;2
26036;Vindicator's Stompers;14;0;8;2
28151;Arcanist's Wand;14;0;26;2
826;Brutish Riverpaw Axe;15;10;13;2
832;Silver Defias Belt;15;10;6;2
1211;Gnoll War Harness;15;10;5;2
1270;Finely Woven Cloak;15;0;16;2
1287;Giant Tarantula Fang;15;10;13;2
1355;Buckskin Cape;15;10;16;2
1394;Driftwood Club;15;10;13;2
1561;Harvester's Robe;15;0;20;2
1926;Weighted Sap;15;10;13;2
1927;Deadmines Cleaver;15;10;13;2
1933;Staff of Conjuring;15;10;17;2
2073;Dwarven Hatchet;15;10;21;2
2088;Long Crawler Limb;15;10;13;2
2267;Stonesplinter Mace;15;10;13;2
2273;Guerrilla Armor;15;10;5;2
2283;Rat Cloth Belt;15;10;6;2
2284;Rat Cloth Cloak;15;10;16;2
2308;Fine Leather Cloak;15;10;16;2
2309;Embossed Leather Boots;15;10;8;2
2312;Fine Leather Gloves;15;10;10;2
2818;Stretched Leather Trousers;15;0;7;2
2899;Wendigo Collar;15;10;6;2
2903;Daryl's Hunting Bow;15;0;15;2
2976;Hunting Gloves;15;10;10;2
2978;Veteran Leggings;15;10;7;2
2980;Veteran Gloves;15;10;10;2
3036;Heavy Shortbow;15;10;15;2
3160;Ironplate Buckler;15;0;14;2
3161;Robe of the Keeper;15;0;20;2
3166;Ironheart Chain;15;0;5;2
3188;Coral Claymore;15;10;17;2
3217;Foreman Belt;15;0;6;2
3302;Brackwater Boots;15;10;8;2
3307;Barbaric Cloth Boots;15;10;8;2
3308;Barbaric Cloth Gloves;15;10;10;2
3314;Ceremonial Leather Gloves;15;10;10;2
3344;Captain Sanders' Sash;15;0;6;2
3449;Mystic Shawl;15;0;16;2
3450;Faerleia's Shield;15;0;14;2
3474;Gemmed Copper Gauntlets;15;10;10;2
3511;Cloak of the People's Militia;15;0;16;2
3578;Harvester's Pants;15;0;7;2
3651;Veteran Shield;15;10;14;2
3653;Ceremonial Buckler;15;10;14;2
4242;Embossed Leather Pants;15;10;7;2
4570;Birchwood Maul;15;10;17;2
4767;Coppercloth Gloves;15;10;10;2
4768;Adept's Gloves;15;10;10;2
4771;Harvest Cloak;15;10;16;2
4909;Kodo Hunter's Leggings;15;0;7;2
5111;Rathorian's Cape;15;10;16;2
5112;Ritual Blade;15;10;13;2
5255;Quilboar Tomahawk;15;10;21;2
5275;Binding Girdle;15;0;6;2
5328;Cinched Belt;15;0;6;2
5340;Cauldron Stirrer;15;0;17;2
5341;Spore-covered Tunic;15;0;5;2
5610;Gustweald Cloak;15;0;16;2
5944;Greaves of the People's Militia;15;0;8;2
5968;Rugged Boots;15;10;8;2
6180;Slarkskin;15;10;5;2
6188;Mud Stompers;15;0;8;2
6195;Wax-polished Armor;15;10;5;2
6205;Burrowing Shovel;15;10;17;2
6537;Willow Boots;15;10;8;2
6542;Willow Cape;15;10;16;2
6543;Willow Bracers;15;10;9;2
6550;Soldier's Wristguards;15;10;9;2
6556;Bard's Bracers;15;10;9;2
6558;Bard's Belt;15;10;6;2
6966;Elunite Axe;15;0;13;2
6967;Elunite Sword;15;0;13;2
6968;Elunite Hammer;15;0;13;2
6969;Elunite Dagger;15;0;13;2
6978;Umbral Axe;15;0;13;2
6979;Haggard's Axe;15;0;13;2
6980;Haggard's Dagger;15;0;13;2
6981;Umbral Dagger;15;0;13;2
6982;Umbral Mace;15;0;13;2
6983;Haggard's Hammer;15;0;13;2
6984;Umbral Sword;15;0;13;2
6985;Haggard's Sword;15;0;13;2
7115;Heirloom Axe;15;0;13;2
7116;Heirloom Dagger;15;0;13;2
7117;Heirloom Hammer;15;0;13;2
7118;Heirloom Sword;15;0;13;2
7326;Thun'grim's Axe;15;0;13;2
7327;Thun'grim's Dagger;15;0;13;2
7328;Thun'grim's Mace;15;0;13;2
7329;Thun'grim's Sword;15;0;13;2
8350;The 1 Ring;15;10;11;2
9748;Simple Robe;15;10;20;2
9749;Simple Blouse;15;10;5;2
9757;Gypsy Tunic;15;10;5;2
9765;Cadet Vest;15;10;5;2
10047;Simple Kilt;15;10;7;2
10637;Brewer's Gloves;15;0;10;2
10638;Long Draping Cape;15;0;16;2
10820;Jackseed Belt;15;0;6;2
10821;Sower's Cloak;15;0;16;2
11287;Lesser Magic Wand;15;5;26;2
12295;Leggings of the People's Militia;15;0;7;2
12522;Bingles' Flying Gloves;15;0;10;2
14113;Aboriginal Sash;15;10;6;2
14365;Mystic's Cape;15;10;16;2
15011;Lupine Cord;15;10;6;2
15309;Feral Cloak;15;10;16;2
15491;Bloodspattered Gloves;15;10;10;2
15492;Bloodspattered Sash;15;10;6;2
15495;Bloodspattered Wristbands;15;10;9;2
15866;Veildust Medicine Bag;15;0;23;2
15933;Simple Branch;15;10;23;2
15970;Native Branch;15;10;23;2
20906;Braided Copper Ring;15;10;11;2
21931;Woven Copper Ring;15;10;11;2
22985;Suncrown Hauberk;15;10;5;2
22986;Apothecary's Robe;15;10;20;2
22987;Deathstalker's Vest;15;10;5;2
22991;Apprentice Boots;15;10;8;2
22992;Bogwalker Boots;15;10;8;2
22993;Volunteer's Greaves;15;10;8;2
23415;Survival Knife;15;0;13;2
23420;Engraved Axe;15;0;17;2
23421;Engraved Sword;15;0;13;2
23422;Engraved Dagger;15;0;13;2
23432;Engraved Greatsword;15;0;17;2
23433;Blood Robes;15;0;20;2
23434;Robes of the Shard;15;0;20;2
26012;Kessel's Cinch Wrap;15;0;6;2
26027;Kessel's Sweat Stained Elekk Leash;15;0;6;2
26039;Kessel's Sturdy Riding Handle;15;0;6;2
28141;Ranger's Sash;15;0;6;2
28142;Farstrider's Belt;15;0;6;2
28143;Rusted Chain Girdle;15;0;6;2
28164;Tranquillien Flamberge;15;10;17;2
37154;Shadowy Gloves;15;10;10;2
1219;Redridge Machete;16;11;13;2
1925;Defias Rapier;16;11;13;2
1928;Defias Mage Staff;16;11;17;2
2904;Daryl's Hunting Rifle;16;0;26;2
2970;Spellbinder Pants;16;11;7;2
2974;Hunting Pants;16;11;7;2
2977;Veteran Armor;16;11;5;2
3305;Brackwater Leggings;16;11;7;2
3309;Barbaric Loincloth;16;11;7;2
3570;Bonegrinding Pestle;16;0;13;2
3586;Logsplitter;16;0;17;2
4246;Fine Leather Belt;16;11;6;2
4312;Soft-soled Linen Boots;16;11;8;2
4567;Merc Sword;16;11;17;2
4701;Inscribed Cloak;16;11;16;2
5242;Cinder Wand;16;0;26;2
5320;Padded Lamellar Boots;16;0;8;2
5324;Engineer's Hammer;16;0;13;2
5325;Welding Shield;16;0;14;2
5337;Wayfaring Gloves;16;0;10;2
5611;Tear of Grief;16;0;23;2
5748;Centaur Longbow;16;11;15;2
6214;Heavy Copper Maul;16;11;17;2
6539;Willow Belt;16;11;6;2
6541;Willow Gloves;16;11;10;2
6548;Soldier's Girdle;16;11;6;2
6557;Bard's Boots;16;11;8;2
6559;Bard's Buckler;16;11;14;2
6730;Ironforge Chain;16;11;5;2
9786;Raider's Cloak;16;11;16;2
11303;Fine Shortbow;16;11;15;2
14096;Native Vest;16;11;5;2
14109;Native Robe;16;11;20;2
14114;Aboriginal Footwraps;16;11;8;2
14117;Aboriginal Gloves;16;11;10;2
14363;Deprecated Runic Cloth Pants;16;11;7;2
14724;War Paint Cloak;16;11;16;2
15012;Lupine Slippers;16;11;8;2
15016;Lupine Handwraps;16;11;10;2
15210;Raider Shortsword;16;11;13;2
15268;Twin-bladed Axe;16;11;17;2
15304;Grizzly Jerkin;16;11;5;2
15306;Feral Bindings;16;11;9;2
15487;War Torn Tunic;16;11;5;2
15489;Bloodspattered Sabatons;16;11;8;2
23400;Sylastor's Cloak;16;0;16;2
23401;Divining Crystal;16;0;23;2
26005;Jessera's Fungus Lined Tunic;16;0;5;2
26019;Jessera's Fungus Lined Vest;16;0;5;2
26030;Jessera's Fungus Lined Hauberk;16;0;5;2
26050;Fist of Argus;16;0;13;2
26052;Vindicator's Smasher;16;0;17;2
26054;Blade of Argus;16;0;13;2
27390;Vindicator's Letter Opener;16;0;17;2
27640;Hand of Argus Crossfire;16;0;26;2
27641;Vindicator's Walking Stick;16;0;17;2
28154;Red Silk Trousers;16;0;7;2
28157;Black Leather Jerkin;16;0;5;2
28160;An'telas Scale Shirt;16;0;5;2
28161;Tranquillien Scale Leggings;16;0;7;2
820;Slicer Blade;17;12;13;2
827;Wicked Blackjack;17;12;13;2
1214;Gnoll Punisher;17;12;13;2
1405;Foamspittle Staff;17;12;17;2
1436;Frontier Britches;17;0;7;2
1480;Fist of the People's Militia;17;0;13;2
1566;Edge of the People's Militia;17;0;17;2
1832;Lucky Trousers;17;0;7;2
1958;Petrified Shinbone;17;12;13;2
1959;Cold Iron Pick;17;12;17;2
2079;Sergeant's Warhammer;17;12;13;2
2204;Brashclaw's Skewer;17;12;17;2
2274;Sapper's Gloves;17;12;10;2
2582;Green Woolen Vest;17;12;5;2
2694;Settler's Leggings;17;0;7;2
2969;Spellbinder Vest;17;12;5;2
2973;Hunting Tunic;17;12;5;2
2983;Seer's Boots;17;12;8;2
3205;Inscribed Leather Bracers;17;12;9;2
3315;Ceremonial Leather Loincloth;17;12;7;2
3489;Thick War Axe;17;12;13;2
3572;Daryl's Shortsword;17;0;13;2
3645;Seer's Cuffs;17;12;9;2
4243;Fine Leather Tunic;17;12;5;2
4310;Heavy Woolen Gloves;17;12;10;2
4571;War Knife;17;12;13;2
4676;Skeletal Gauntlets;17;12;10;2
5212;Blazing Wand;17;12;26;2
6187;Dwarven Defender;17;0;14;2
6378;Seer's Cape;17;12;16;2
6379;Inscribed Leather Belt;17;12;6;2
6528;Spellbinder Robe;17;12;20;2
6546;Soldier's Leggings;17;12;7;2
6547;Soldier's Gauntlets;17;12;10;2
6551;Soldier's Boots;17;12;8;2
6554;Bard's Gloves;17;12;10;2
6560;Soldier's Shield;17;12;14;2
7559;Runic Cane;17;12;23;2
9785;Raider's Bracers;17;12;9;2
12296;Spark of the People's Militia;17;0;26;2
14025;Mystic's Belt;17;12;6;2
14119;Aboriginal Loincloth;17;12;7;2
14123;Ritual Cape;17;12;16;2
14366;Mystic's Bracelets;17;12;9;2
14561;Prospector's Cuffs;17;12;9;2
14563;Prospector's Cloak;17;12;16;2
14609;Deprecated Ceremonial Buckler;17;12;14;2
14722;War Paint Anklewraps;17;12;8;2
14723;War Paint Bindings;17;12;9;2
14725;War Paint Waistband;17;12;6;2
15014;Lupine Buckler;17;12;14;2
15308;Feral Cord;17;12;6;2
15405;Shucking Gloves;17;0;10;2
15406;Crustacean Boots;17;0;8;2
15501;Outrunner's Cloak;17;12;16;2
15926;Spellbinder Orb;17;12;23;2
21932;Heavy Copper Ring;17;12;11;2
23412;Troll Kickers;17;0;8;2
23413;Troll Kickers;17;0;8;2
23414;Troll Kickers;17;0;8;2
23844;Nolkai's Lantern;17;0;23;2
26007;Vindicator's Woolies;17;0;7;2
26021;Vindicator's Leather Chaps;17;0;7;2
26033;Vindicator's Iron Legguards;17;0;7;2
27398;Carved Crystalline Orb;17;0;23;2
27400;Peacekeeper's Buckler;17;0;14;2
27402;Huntsman's Crossbow;17;0;26;2
27404;Lightspark;17;0;26;2
28155;Apothecary's Waistband;17;12;6;2
28156;Rotting Handwraps;17;0;10;2
28158;Batskin Belt;17;12;6;2
28159;Undertaker's Gloves;17;0;10;2
28162;Tranquillien Defender's Girdle;17;12;6;2
28163;Maltendis's Handguards;17;0;10;2
1302;Black Whelp Gloves;18;0;10;2
1391;Riverpaw Mystic Staff;18;13;17;2
1929;Silk-threaded Trousers;18;13;7;2
1930;Stonemason Cloak;18;13;16;2
1936;Goblin Screwdriver;18;13;13;2
1944;Metalworking Gloves;18;13;10;2
1945;Woodworking Gloves;18;13;10;2
2020;Hollowfang Blade;18;13;13;2
2036;Dusty Mining Gloves;18;0;10;2
2037;Tunneler's Boots;18;0;8;2
2074;Solid Shortblade;18;0;13;2
2078;Northern Shortsword;18;13;13;2
2089;Scrimshaw Dagger;18;0;13;2
2307;Fine Leather Boots;18;13;8;2
2664;Spinner Fang;18;13;13;2
2821;Mo'grosh Masher;18;13;13;2
2822;Mo'grosh Toothpick;18;13;17;2
2857;Runed Copper Belt;18;13;6;2
2864;Runed Copper Breastplate;18;13;5;2
2984;Seer's Gloves;18;13;10;2
2987;Inscribed Leather Boots;18;13;8;2
3019;Noble's Robe;18;13;20;2
3154;Thelsamar Axe;18;0;13;2
3195;Barbaric Battle Axe;18;13;17;2
3196;Edged Bastard Sword;18;13;17;2
3306;Brackwater Vest;18;13;5;2
3310;Barbaric Cloth Vest;18;13;5;2
3313;Ceremonial Leather Harness;18;13;5;2
3451;Nightglow Concoction;18;0;23;2
3457;Stamped Trousers;18;0;7;2
3458;Rugged Mail Gloves;18;0;10;2
3581;Serrated Knife;18;0;13;2
3582;Acidproof Cloak;18;0;16;2
3902;Staff of Nobles;18;13;17;2
4290;Dust Bowl;18;13;14;2
4660;Walking Boots;18;13;8;2
4695;Burnished Cloak;18;13;16;2
4699;Seer's Belt;18;13;6;2
4777;Ironwood Maul;18;13;17;2
4782;Solstice Robe;18;13;20;2
4789;Stable Boots;18;13;8;2
5241;Dwarven Flamestick;18;0;26;2
5315;Timberland Armguards;18;0;9;2
5326;Flaring Baton;18;0;26;2
5327;Greasy Tinker's Pants;18;0;7;2
5343;Barkeeper's Cloak;18;0;16;2
5780;Murloc Scale Belt;18;13;6;2
5967;Girdle of Nobility;18;13;6;2
6092;Black Whelp Boots;18;0;8;2
6094;Piercing Axe;18;0;17;2
6186;Trogg Slicer;18;0;17;2
6243;Green Woolen Robe;18;13;20;2
6350;Rough Bronze Boots;18;13;8;2
6380;Inscribed Buckler;18;13;14;2
6466;Deviate Scale Cloak;18;13;16;2
6531;Barbaric Cloth Robe;18;13;20;2
6540;Willow Pants;18;13;7;2
6545;Soldier's Armor;18;13;5;2
6553;Bard's Trousers;18;13;7;2
6709;Moonglow Vest;18;13;5;2
7738;Evergreen Gloves;18;0;10;2
7739;Timberland Cape;18;0;16;2
9779;Bandit Cloak;18;13;16;2
9788;Raider's Belt;18;13;6;2
10400;Blackened Defias Leggings;18;13;7;2
10401;Blackened Defias Gloves;18;13;10;2
10402;Blackened Defias Boots;18;13;8;2
10919;Apothecary Gloves;18;0;10;2
11853;Rambling Boots;18;0;8;2
14122;Ritual Bands;18;13;9;2
14145;Cursed Felblade;18;13;13;3
14147;Cavedweller Bracers;18;13;9;3
14148;Crystalline Cuffs;18;13;9;3
14149;Subterranean Cape;18;13;16;3
14150;Robe of Evocation;18;13;20;3
14151;Chanting Blade;18;13;13;3
14161;Pagan Cape;18;13;16;2
14364;Mystic's Slippers;18;13;8;2
14559;Prospector's Sash;18;13;6;2
14726;War Paint Gloves;18;13;10;2
15202;Wildkeeper Leggings;18;0;7;2
15203;Guststorm Legguards;18;0;7;2
15204;Moonstone Wand;18;0;26;2
15305;Feral Shoes;18;13;8;2
15310;Feral Gloves;18;13;10;2
15403;Ridgeback Bracers;18;0;9;2
15404;Breakwater Girdle;18;0;6;2
15424;Axe of Orgrimmar;18;0;17;2
15443;Kris of Orgrimmar;18;0;13;2
15444;Staff of Orgrimmar;18;0;17;2
15445;Hammer of Orgrimmar;18;0;13;2
15449;Ghastly Trousers;18;0;7;2
15450;Dredgemire Leggings;18;0;7;2
15451;Gargoyle Leggings;18;0;7;2
15452;Featherbead Bracers;18;0;9;2
15453;Savannah Bracers;18;0;9;2
15493;Bloodspattered Loincloth;18;13;7;2
15494;Bloodspattered Shield;18;13;14;2
15499;Outrunner's Cuffs;18;13;9;2
15945;Runic Stave;18;13;23;2
24346;Robe of the Dragon Slayer;18;0;20;2
24347;Vest of the Dragon Slayer;18;0;5;2
24348;Tunic of the Dragon Slayer;18;0;5;2
25438;Malachite Pendant;18;13;2;2
25439;Tigerseye Band;18;13;11;2
26015;Anchorite Neophyte's Cuffs;18;0;9;2
26029;Watchman's Bracers;18;0;9;2
26041;Vigilant Vambraces;18;0;9;2
31256;Silvermoon Armor;18;13;5;2
31263;Silvermoon Tunic;18;13;5;2
31264;Silvermoon Robes;18;13;20;2
