"ID","MapID","AreaID","PhaseShift","Icon","String_Lang_enUS","String_Lang_enGB","String_Lang_koKR","String_Lang_frFR","String_Lang_deDE","String_Lang_enCN","String_Lang_zhCN","String_Lang_enTW","String_Lang_zhTW","String_Lang_esES","String_Lang_esMX","String_Lang_ruRU","String_Lang_ptPT","String_Lang_ptBR","String_Lang_itIT","String_Lang_Unk","String_Lang_Mask","Tooltip_Lang_enUS","Tooltip_Lang_enGB","Tooltip_Lang_koKR","Tooltip_Lang_frFR","Tooltip_Lang_deDE","Tooltip_Lang_enCN","Tooltip_Lang_zhCN","Tooltip_Lang_enTW","Tooltip_Lang_zhTW","Tooltip_Lang_esES","Tooltip_Lang_esMX","Tooltip_Lang_ruRU","Tooltip_Lang_ptPT","Tooltip_Lang_ptBR","Tooltip_Lang_itIT","Tooltip_Lang_Unk","Tooltip_Lang_Mask","StateVariable","Type","DynamicIcon","DynamicTooltip_Lang_enUS","DynamicTooltip_Lang_enGB","DynamicTooltip_Lang_koKR","DynamicTooltip_Lang_frFR","DynamicTooltip_Lang_deDE","DynamicTooltip_Lang_enCN","DynamicTooltip_Lang_zhCN","DynamicTooltip_Lang_enTW","DynamicTooltip_Lang_zhTW","DynamicTooltip_Lang_esES","DynamicTooltip_Lang_esMX","DynamicTooltip_Lang_ruRU","DynamicTooltip_Lang_ptPT","DynamicTooltip_Lang_ptBR","DynamicTooltip_Lang_itIT","DynamicTooltip_Lang_Unk","DynamicTooltip_Lang_Mask","ExtendedUI","ExtendedUIStateVariable_1","ExtendedUIStateVariable_2","ExtendedUIStateVariable_3"
"269","0","0","256","Interface\WorldStateFrame\CombatSwords","The forces are battling in the tunnels of Gnomeregan.","The forces are battling in the tunnels of Gnomeregan.","Les troupes combattent dans les tunnels de Gnomeregan.","Die Streitkräfte kämpfen in den Tunneln Gnomeregans.","","","Las fuerzas luchan por el control de los túneles de Gnomeregan.","Las fuerzas luchan por el control de los túneles de Gnomeregan.","Битва идет в тоннелях Гномрегана!","","","","","","","","16712190","Assist the attack force in the tunnels of Gnomeregan.","Assist the attack force in the tunnels of Gnomeregan.","Aider la troupe d'attaque dans les tunnels de Gnomeregan.","Unterstützt den Angriff in den Tunneln Gnomeregans.","","","Ayuda a las fuerzas atacantes en los túneles de Gnomeregan.","Ayuda a las fuerzas atacantes en los túneles de Gnomeregan.","Помогите атакующим силам в тоннелях Гномрегана!","","","","","","","","16712190","5021","0","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"261","0","0","256","","Rocket Launchers Destroyed = %5027w/4","Rocket Launchers Destroyed = %5027w/4","Lance-roquettes détruits = %5027w/4","Raketenwerfer zerstört = %5027w/4","","","Lanzacohetes destruidos = %5027w/4","Lanzacohetes destruidos = %5027w/4","Ракетометов уничтожено: %5027w/4","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","5040","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"265","0","0","256","","Tankbusters Destroyed = %5006w/6","Tankbusters Destroyed = %5006w/6","Explose-chars détruits = %5006w/6","Panzerbrecher zerstört = %5006w/6","","","Tronchatanques destruidos: %5006w/6","Tronchatanques destruidos: %5006w/6","Противотанковых орудий уничтожено: %5006w/6","","","","","","","","16712190","Assist the Gnomeregan forces at the engineering facilities.","Assist the Gnomeregan forces at the engineering facilities.","Aidez les troupes de Gnomeregan dans le complexe technique.","Unterstützt Gnomeregans Truppen bei den Ingenieurswerkstätten!","","","Ayuda a las fuerzas de Gnomeregan en las instalaciones de ingeniería.","Ayuda a las fuerzas de Gnomeregan en las instalaciones de ingeniería.","Помогите силам Гномрегана в районе инженерных мастерских.","","","","","","","","16712190","5018","0","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"217","0","0","64","","The battle for Undercity has begun!","The battle for Undercity has begun!","La bataille pour Fossoyeuse a commencé !","Die Schlacht um Unterstadt hat begonnen!","","","¡Comenzó la batalla por Entrañas!","¡Comenzó la batalla por Entrañas!","Сражение за Подгород началось!","","","","","","","","16712190","The battle for Undercity has begun!","The battle for Undercity has begun!","La bataille pour Fossoyeuse a commencé !","Die Schlacht um Unterstadt hat begonnen!","","","¡La batalla por Entrañas ha comenzado!","¡La batalla por Entrañas ha comenzado!","Сражение за Подгород началось!","","","","","","","","16712190","3875","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"218","0","0","64","","%3877w minutes until the battle for the Undercity begins!","%3877w minutes until the battle for the Undercity begins!","%3877w minutes avant le début de la bataille pour Fossoyeuse !","Noch %3877w Min., bis die Schlacht um Unterstadt beginnt!","","","En %3877w min: batalla por Entrañas","En %3877w min: batalla por Entrañas","%3877w мин. до начала битвы за Подгород!","","","","","","","","16712190","Time remaining until the battle for the Undercity begins!","Time remaining until the battle for the Undercity begins!","Temps restant avant le début de la bataille pour Fossoyeuse !","Verbleibende Zeit, bis die Schlacht um Unterstadt beginnt!","","","¡Tiempo restante hasta el comienzo de la batalla por Entrañas!","¡Tiempo restante hasta el comienzo de la batalla por Entrañas!","Время, оставшееся до начала битвы за Подгород.","","","","","","","","16712190","3876","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"221","0","0","64","Interface\WorldStateFrame\CombatSwords","The Horde is battling over the courtyard!","The Horde is battling over the courtyard!","La Horde se bat pour le contrôle de la cour !","Die Horde kämpft um den Hof!","","","¡La Horda lucha por el control del patio!","¡La Horda lucha por el control del patio!","Орда ведет бой за внутренний двор!","","","","","","","","16712190","Assist the Horde forces in the Undercity courtyard!","Assist the Horde forces in the Undercity courtyard!","Aidez les forces de la Horde dans la cour de Fossoyeuse !","Unterstützt die Streitkräfte der Horde im Hof von Unterstadt!","","","¡Ayuda a las fuerzas de la Horda en el patio de Entrañas!","¡Ayuda a las fuerzas de la Horda en el patio de Entrañas!","Поддержите воинов Орды во внутреннем дворе!","","","","","","","","16712190","3885","1","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"222","0","0","64","Interface\TargetingFrame\UI-PVP-Horde","The Horde controls the courtyard!","The Horde controls the courtyard!","La Horde contrôle la cour !","Die Horde kontrolliert den Hof!","","","¡La Horda controla el patio!","¡La Horda controla el patio!","Внутренний двор под контролем Орды!","","","","","","","","16712190","The area is now secured.","The area is now secured.","La zone est maintenant sécurisée.","Das Gebiet ist nun gesichert.","","","La zona está bajo control.","La zona está bajo control.","Область защищена.","","","","","","","","16712190","3886","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"223","0","0","64","Interface\WorldStateFrame\CombatSwords","The Horde is battling over the inner sanctum!","The Horde is battling over the inner sanctum!","La Horde se bat pour le contrôle du sanctum intérieur !","Die Horde kämpft um das innere Sanktum!","","","¡La Horda lucha por el control del Sagrario Interior!","¡La Horda lucha por el control del Sagrario Interior!","Орда ведет бой за центр города!","","","","","","","","16712190","Assist the Horde forces in the Trade Quarter and Canals!","Assist the Horde forces in the Trade Quarter and Canals!","Aidez les forces de la Horde dans le quartier des marchands et les canaux !","Unterstützt die Streitkräfte der Horde im Handelsviertel und den Kanälen!","","","¡Ayuda a las fuerzas de la Horda en el Barrio del Comercio y en los Canales!","¡Ayuda a las fuerzas de la Horda en el Barrio del Comercio y en los Canales!","Поддержите воинов Орды в Торговом квартале и в Каналах!","","","","","","","","16712190","3887","1","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"224","0","0","64","Interface\TargetingFrame\UI-PVP-Horde","The Horde controls the inner sanctum!","The Horde controls the inner sanctum!","La Horde contrôle le sanctum intérieur !","Die Horde kontrolliert das innere Sanktum!","","","¡La Horda controla el Sagrario Interior!","¡La Horda controla el Sagrario Interior!","Центр города под контролем Орды!","","","","","","","","16712190","The area is now secured.","The area is now secured.","La zone est maintenant sécurisée.","Das Gebiet ist nun gesichert.","","","La zona está bajo control.","La zona está bajo control.","Область защищена.","","","","","","","","16712190","3888","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"225","0","0","64","Interface\WorldStateFrame\CombatSwords","The Horde is battling over the Apothecarium!","The Horde is battling over the Apothecarium!","La Horde se bat pour le contrôle de l'Apothicarium !","Die Horde kämpft um das Apothekarium!","","","¡La Horda lucha por el control de El Apothecarium!","¡La Horda lucha por el control de El Apothecarium!","Орда ведет бой за Район Фармацевтов!","","","","","","","","16712190","Assist the Horde forces in the Apothecarium!","Assist the Horde forces in the Apothecarium!","Aidez les forces de la Horde dans l'Apothicarium !","Unterstützt die Streitkräfte der Horde im Apothekarium!","","","¡Ayuda a las fuerzas de la Horda en El Apothecarium!","¡Ayuda a las fuerzas de la Horda en El Apothecarium!","Поддержите воинов Орды в Районе Фармацевтов!","","","","","","","","16712190","3891","1","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"226","0","0","64","Interface\TargetingFrame\UI-PVP-Horde","The Horde controls the Apothecarium!","The Horde controls the Apothecarium!","La Horde contrôle l'Apothicarium !","Die Horde kontrolliert das Apothekarium!","","","¡La Horda controla El Apothecarium!","¡La Horda controla El Apothecarium!","Район Фармацевтов под контролем Орды!","","","","","","","","16712190","The area is now secured.","The area is now secured.","La zone est maintenant sécurisée.","Das Gebiet ist nun gesichert.","","","La zona está bajo control.","La zona está bajo control.","Область защищена.","","","","","","","","16712190","3892","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"227","0","0","64","Interface\WorldStateFrame\CombatSwords","The Horde is battling over the Royal Quarter!","The Horde is battling over the Royal Quarter!","La Horde se bat pour le contrôle du quartier Royal !","Die Horde kämpft um das Königsviertel!","","","¡La Horda lucha por el control del Barrio Real!","¡La Horda lucha por el control del Barrio Real!","Орда ведет бой за Королевский квартал!","","","","","","","","16712190","Assist the Horde forces in the Royal Quarter!","Assist the Horde forces in the Royal Quarter!","Aidez les forces de la Horde dans le quartier Royal !","Unterstützt die Streitkräfte der Horde im Königsviertel!","","","¡Ayuda a las fuerzas de la Horda en el Barrio Real!","¡Ayuda a las fuerzas de la Horda en el Barrio Real!","Поддержите воинов Орды в Королевском квартале!","","","","","","","","16712190","3889","1","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"228","0","0","64","Interface\TargetingFrame\UI-PVP-Horde","The Horde controls the Royal Quarter! Varimathras is defeated!","The Horde controls the Royal Quarter! Varimathras is defeated!","La Horde contrôle le quartier Royal ! Varimathras est vaincu !","Die Horde kontrolliert das Königsviertel! Varimathras verliert!","","","¡La Horda controla el Barrio Real! ¡Varimathras ha caído!","¡La Horda controla el Barrio Real! ¡Varimathras ha caído!","Королевский квартал под контролем Орды! Вариматас побежден!","","","","","","","","16712190","The Horde has regained control of the Undercity!","The Horde has regained control of the Undercity!","La Horde a repris le contrôle de Fossoyeuse !","Die Horde hat die Kontrolle über Unterstadt zurückerlangt!","","","¡La Horda ha recuperado el control de Entrañas!","¡La Horda ha recuperado el control de Entrañas!","Орда отстояла Подгород!","","","","","","","","16712190","3890","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"229","0","0","64","","%3893w minute(s) remaining until this event resets.","%3893w minute(s) remaining until this event resets.","%3893w minute(s) avant la réinitialisation de l'évènement.","Noch %3893w Min., bis das Event zurückgesetzt wird.","","","%3893w min hasta que se reinicie el evento.","%3893w min hasta que se reinicie el evento.","%3893w мин. до обновления события.","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","3894","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"234","0","0","128","Interface\WorldStateFrame\CombatSwords","The Alliance is battling through the Sewers!","The Alliance is battling through the Sewers!","L'Alliance se bat dans les égouts !","Die Allianz kämpft sich durch die Kanäle!","","","¡La Alianza lucha por el control de las Cloacas!","¡La Alianza lucha por el control de las Cloacas!","Альянс прорывается через Стоки Подгорода!","","","","","","","","16712190","Assist the Alliance forces in the Undercity Sewers!","Assist the Alliance forces in the Undercity Sewers!","Aidez les forces de l'Alliance dans les égouts de Fossoyeuse !","Unterstützt die Streitkräfte der Allianz den Kanälen von Unterstadt!","","","¡Ayuda a las fuerzas de la Alianza en las Cloacas de Entrañas!","¡Ayuda a las fuerzas de la Alianza en las Cloacas de Entrañas!","Поддержите войска Альянса в Стоках Подгорода!","","","","","","","","16712190","3962","1","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"235","0","0","128","Interface\TargetingFrame\UI-PVP-Alliance","The Alliance has secured the Sewers!","The Alliance has secured the Sewers!","L'Alliance s'est emparée des égouts !","Die Allianz hat die Kanäle gesichert!","","","¡La Alianza ha tomado las Cloacas!","¡La Alianza ha tomado las Cloacas!","Альянс закрепился в Стоках!","","","","","","","","16712190","The area is now secured.","The area is now secured.","La zone est maintenant sécurisée.","Das Gebiet ist nun gesichert.","","","La zona está bajo control.","La zona está bajo control.","Теперь в Канализации безопасно.","","","","","","","","16712190","3964","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"236","0","0","128","","%3957w minutes until the manhunt begins!","%3957w minutes until the manhunt begins!","%3957w minutes avant le début de la chasse à l'homme !","Noch %3957w Min., bis die Hetzjagd beginnt!","","","¡%3957w min para la persecución!","¡%3957w min para la persecución!","%3957w мин. до начала похода!","","","","","","","","16712190","Time remaining until the manhunt for Grand Apothecary Putress begins!","Time remaining until the manhunt for Grand Apothecary Putress begins!","Temps restant avant le début de la traque du Grand apothicaire Putrescin.","Verbleibende Zeit, bis die Hetzjagd nach Großapothekar Putress beginnt!","","","¡Tiempo restante para el comienzo de la persecución del gran boticario Putress!","¡Tiempo restante para el comienzo de la persecución del gran boticario Putress!","Осталось до начала похода против верховного аптекаря Гнилесса!","","","","","","","","16712190","3958","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"237","0","0","128","","The manhunt has begun!","The manhunt has begun!","La chasse à l'homme a commencé !","Die Hetzjagd hat begonnen!","","","¡La persecución ha comenzado!","¡La persecución ha comenzado!","Поход начался!","","","","","","","","16712190","The manhunt has begun!","The manhunt has begun!","La chasse à l'homme a commencé !","Die Hetzjagd hat begonnen!","","","¡La persecución ha comenzado!","¡La persecución ha comenzado!","Поход начался!","","","","","","","","16712190","3966","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"238","0","0","128","Interface\WorldStateFrame\CombatSwords","The Alliance is battling through the Apothecarium!","The Alliance is battling through the Apothecarium!","L'Alliance se bat dans l'Apothicarium !","Die Allianz kämpft sich durch das Apothekarium!","","","¡La Alianza lucha por el control del Apothecarium!","¡La Alianza lucha por el control del Apothecarium!","Альянс прорывается через Район Фармацевтов!","","","","","","","","16712190","Assist the Alliance forces in the Apothecarium!","Assist the Alliance forces in the Apothecarium!","Aidez les forces de l'Alliance dans l'Apothicarium !","Unterstützt die Streitkräfte der Allianz im Apothekarium!","","","¡Ayuda a las fuerzas de la Alianza en El Apothecarium!","¡Ayuda a las fuerzas de la Alianza en El Apothecarium!","Поддержите силы Альянса в Районе Фармацевтов!","","","","","","","","16712190","3972","1","Interface\WorldStateFrame\CombatSwords","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"239","0","0","128","Interface\TargetingFrame\UI-PVP-Alliance","The Alliance has secured the Apothecarium!","The Alliance has secured the Apothecarium!","L'Alliance a pris le contrôle de l'Apothicarium !","Die Allianz hat das Apothekarium gesichert!","","","¡La Alianza ha tomado el Apothecarium!","¡La Alianza ha tomado el Apothecarium!","Альянс захватил Район Фармацевтов!","","","","","","","","16712190","The area is now secured. Putress has been defeated!","The area is now secured. Putress has been defeated!","La zone est maintenant sécurisée. Putrescin est battu !","Das Gebiet ist nun gesichert. Putress wurde besiegt!","","","La zona está bajo control. ¡Putress ha sido derrotado!","La zona está bajo control. ¡Putress ha sido derrotado!","Теперь в Районе Фармацевтов безопасно. Гнилесс убит.","","","","","","","","16712190","3971","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"271","0","0","256","Interface\TargetingFrame\UI-PVP-Alliance","%5037w minutes until Operation: Gnomeregan begins!","%5037w minutes until Operation: Gnomeregan begins!","%5037w minutes avant le début de l'Opération Gnomeregan !","%5037w Minuten, bis Operation: Gnomeregan beginnt!","","","¡%5037w min para Operación: Gnomeregan!","¡%5037w min para Operación: Gnomeregan!","До начала операции ""Гномреган"" %5037w |4минута:минуты:минут;!","","","","","","","","16712190","Operation: Gnomeregan will commence at this time","Operation: Gnomeregan will commence at this time","L'opération Gnomeregan commencera à ce moment","Operation: Gnomeregan wird zu diesem Zeitpunkt beginnen","","","La Operación: Gnomeregan empezará en este momento","La Operación: Gnomeregan empezará en este momento","Время начала операции ""Гномреган""","","","","","","","","16712190","5038","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"136","0","139","0","Interface\WorldStateFrame\AllianceTower","Controlled: %2327w","Controlled: %2327w","Contrôlées : %2327w","Kontrolliert: %2327w","","","Bajo control: %2327w","Bajo control: %2327w","Под контролем: %2327w","","","","","","","","16712190","Alliance Towers Controlled","Alliance Towers Controlled","Tours contrôlées par l'Alliance","Kontrollierte Türme der Allianz","","","Torres de la Alianza bajo control","Torres de la Alianza bajo control","Башни под контролем Альянса","","","","","","","","16712190","0","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"137","0","139","0","Interface\WorldStateFrame\HordeTower","Controlled: %2328w","Controlled: %2328w","Contrôlées : %2328w","Kontrolliert: %2328w","","","Bajo control: %2328w","Bajo control: %2328w","Под контролем: %2328w","","","","","","","","16712190","Horde Towers Controlled","Horde Towers Controlled","Tours contrôlées par la Horde","Kontrollierte Türme der Horde","","","Torres de la Horda bajo control","Torres de la Horda bajo control","Башни под контролем Орды","","","","","","","","16712190","0","1","","","","","","","","","","","","","","","","","","16712188","","0","0","0"
"138","0","139","0","","Progress: %2427w","Progress: %2427w","Progression : %2427w","Fortschritt: %2427w","","","Progreso: %2427w","Progreso: %2427w","Состояние: %2427w","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2426","1","","","","","","","","","","","","","","","","","","16712188","The Darkspear are prepared to take back the Echo Isles.","2427","2428","0"
