"ID","Directory","InstanceType","Flags","PVP","MapName_Lang_enUS","MapName_Lang_enGB","MapName_Lang_koKR","MapName_Lang_frFR","MapName_Lang_deDE","MapName_Lang_enCN","MapName_Lang_zhCN","MapName_Lang_enTW","MapName_Lang_zhTW","MapName_Lang_esES","MapName_Lang_esMX","MapName_Lang_ruRU","MapName_Lang_ptPT","MapName_Lang_ptBR","MapName_Lang_itIT","MapName_Lang_Unk","MapName_Lang_Mask","AreaTableID","MapDescription0_Lang_enUS","MapDescription0_Lang_enGB","MapDescription0_Lang_koKR","MapDescription0_Lang_frFR","MapDescription0_Lang_deDE","MapDescription0_Lang_enCN","MapDescription0_Lang_zhCN","MapDescription0_Lang_enTW","MapDescription0_Lang_zhTW","MapDescription0_Lang_esES","MapDescription0_Lang_esMX","MapDescription0_Lang_ruRU","MapDescription0_Lang_ptPT","MapDescription0_Lang_ptBR","MapDescription0_Lang_itIT","MapDescription0_Lang_Unk","MapDescription0_Lang_Mask","MapDescription1_Lang_enUS","MapDescription1_Lang_enGB","MapDescription1_Lang_koKR","MapDescription1_Lang_frFR","MapDescription1_Lang_deDE","MapDescription1_Lang_enCN","MapDescription1_Lang_zhCN","MapDescription1_Lang_enTW","MapDescription1_Lang_zhTW","MapDescription1_Lang_esES","MapDescription1_Lang_esMX","MapDescription1_Lang_ruRU","MapDescription1_Lang_ptPT","MapDescription1_Lang_ptBR","MapDescription1_Lang_itIT","MapDescription1_Lang_Unk","MapDescription1_Lang_Mask","LoadingScreenID","MinimapIconScale","CorpseMapID","CorpseX","CorpseY","TimeOfDayOverride","ExpansionID","RaidOffset","MaxPlayers"
"42","Collin","0","2","0","Collin's Test","Collin's Test","Test de Collin","Collin's Test","","","Collin's Test","Collin's Test","Тест Коллина","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","0"
"43","WailingCaverns","1","0","0","Wailing Caverns","Wailing Caverns","Cavernes des Lamentations","Höhlen des Wehklagens","","","Cuevas de los Lamentos","Cuevas de los Lamentos","Пещеры Стенаний","","","","","","","","16712190","718","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","143","1","1","-751","-2209","-1","0","0","10"
"44","Monastery","1","0","0","<unused> Monastery","<unused> Monastery","<inutilisé> Monastère","<unused>Kloster","","","<unused> Monastery","<unused> Monastery","<UNUSED> Монастырь","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","42","1","0","2892","-811","-1","0","0","10"
"47","RazorfenKraulInstance","1","0","0","Razorfen Kraul","Razorfen Kraul","Kraal de Tranchebauge","Kral der Klingenhauer","","","Horado Rajacieno","Horado Rajacieno","Лабиринты Иглошкурых","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","188","1","1","-4459","-1660","-1","0","0","10"
"48","Blackfathom","1","0","0","Blackfathom Deeps","Blackfathom Deeps","Profondeurs de Brassenoire","Tiefschwarze Grotte","","","Cavernas de Brazanegra","Cavernas de Brazanegra","Непроглядная Пучина","","","","","","","","16712190","719","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","196","1","1","4249","748","-1","0","0","10"
"70","Uldaman","1","0","0","Uldaman","Uldaman","Uldaman","Uldaman","","","Uldaman","Uldaman","Ульдаман","","","","","","","","16712190","1337","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","144","1","0","-6060","-2955","-1","0","0","10"
"90","GnomeragonInstance","1","0","0","Gnomeregan","Gnomeregan","Gnomeregan","Gnomeregan","","","Gnomeregan","Gnomeregan","Гномреган","","","","","","","","16712190","721","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","193","1","0","-5162","931","-1","0","0","10"
"109","SunkenTemple","1","0","0","Sunken Temple","Sunken Temple","Temple englouti","Versunkener Tempel","","","Templo Sumergido","Templo Sumergido","Затонувший храм","","","","","","","","16712190","1477","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","191","1","0","-10170","-3995","-1","0","0","10"
"129","RazorfenDowns","1","0","0","Razorfen Downs","Razorfen Downs","Souilles de Tranchebauge","Hügel der Klingenhauer","","","Zahúrda Rajacieno","Zahúrda Rajacieno","Курганы Иглошкурых","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","145","1","1","-4662","-2535","-1","0","0","10"
"169","EmeraldDream","2","0","0","Emerald Dream","Emerald Dream","Rêve d'émeraude","Smaragdgrüner Traum","","","Sueño Esmeralda","Sueño Esmeralda","Изумрудный Сон","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","-1","0","0","-1","0","0","40"
"189","MonasteryInstances","1","0","0","Scarlet Monastery","Scarlet Monastery","Monastère écarlate","Scharlachrotes Kloster","","","Monasterio Escarlata","Monasterio Escarlata","Монастырь Алого ордена","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","190","1","0","2892","-811","-1","0","0","10"
"209","TanarisInstance","1","0","0","Zul'Farrak","Zul'Farrak","Zul'Farrak","Zul'Farrak","","","Zul'Farrak","Zul'Farrak","Зул'Фаррак","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","146","1","1","-6790","-2891","-1","0","0","10"
"229","BlackRockSpire","1","0","0","Blackrock Spire","Blackrock Spire","Pic Rochenoire","Schwarzfelsspitze","","","Cumbre de Roca Negra","Cumbre de Roca Negra","Пик Черной горы","","","","","","","","16712190","1583","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","189","1","0","-7522","-1233","-1","0","0","10"
"230","BlackrockDepths","1","0","0","Blackrock Depths","Blackrock Depths","Profondeurs de Rochenoire","Schwarzfelstiefen","","","Profundidades de Roca Negra","Profundidades de Roca Negra","Глубины Черной горы","","","","","","","","16712190","1584","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","103","1","0","-7178","-928","-1","0","0","5"
"249","OnyxiaLairInstance","2","0","0","Onyxia's Lair","Onyxia's Lair","Repaire d'Onyxia","Onyxias Hort","","","Guarida de Onyxia","Guarida de Onyxia","Логово Ониксии","","","","","","","","16712190","2159","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","61","1","1","-4753","-3752","-1","0","0","40"
"269","CavernsOfTime","1","1","0","Opening of the Dark Portal","Opening of the Dark Portal","Ouverture de la Porte des ténèbres","Öffnung des Dunklen Portals","","","Apertura de El Portal Oscuro","Apertura de El Portal Oscuro","Открытие Темного портала","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","212","1","1","-8750","-4193","-1","1","0","5"
"289","SchoolofNecromancy","1","1","0","Scholomance","Scholomance","Scholomance","Scholomance","","","Scholomance","Scholomance","Некроситет","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","102","1","0","1274","-2552","-1","0","0","5"
"309","Zul'gurub","2","1","0","Zul'Gurub","Zul'Gurub","Zul'Gurub","Zul'Gurub","","","Zul'Gurub","Zul'Gurub","Зул'Гуруб","","","","","","","","16712190","1977","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","161","1","0","-11916","-1224","-1","0","68400","20"
"329","Stratholme","1","1","0","Stratholme","Stratholme","Stratholme","Stratholme","","","Stratholme","Stratholme","Стратхольм","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","101","1","0","3392","-3378","-1","0","0","5"
"349","Mauradon","1","1","0","Maraudon","Maraudon","Maraudon","Maraudon","","","Maraudon","Maraudon","Мародон","","","","","","","","16712190","2100","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","81","1","1","-1432","2924","-1","0","0","10"
"369","DeeprunTram","0","1","0","Deeprun Tram","Deeprun Tram","Tram des profondeurs","Tiefenbahn","","","Tranvía Subterráneo","Tranvía Subterráneo","Подземный поезд","","","","","","","","16712190","2257","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","205","1","0","-8349","517","-1","0","0","0"
"389","OrgrimmarInstance","1","1","0","Ragefire Chasm","Ragefire Chasm","Gouffre de Ragefeu","Der Flammenschlund","","","Sima Ígnea","Sima Ígnea","Огненная пропасть","","","","","","","","16712190","2437","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","195","1","1","1816","-4423","-1","0","0","10"
"409","MoltenCore","2","1","0","Molten Core","Molten Core","Cœur du Magma","Geschmolzener Kern","","","Núcleo de Magma","Núcleo de Magma","Огненные Недра","","","","","","","","16712190","2717","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","192","1","0","-7510","-1036","-1","0","0","40"
"429","DireMaul","1","1","0","Dire Maul","Dire Maul","Hache-tripes","Düsterbruch","","","La Masacre","La Masacre","Забытый Город","","","","","","","","16712190","2557","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","82","1","1","-3908","1130","-1","0","0","5"
"449","AlliancePVPBarracks","0","1","0","Alliance PVP Barracks","Alliance PVP Barracks","Baraquements Alliance JcJ","Allianz PvP Kaserne","","","Cuartel JcJ de la Alianza","Cuartel JcJ de la Alianza","Казармы Альянса","","","","","","","","16712190","2918","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","181","1","0","0","0","-1","0","0","0"
"450","HordePVPBarracks","0","1","0","Horde PVP Barracks","Horde PVP Barracks","Baraquements Horde JcJ","Horde PvP Kaserne","","","Cuartel JcJ de la Horda","Cuartel JcJ de la Horda","Казармы Орды","","","","","","","","16712190","2917","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","182","1","0","0","0","-1","0","0","0"
"451","development","0","15","0","Development Land","Development Land","Terre en développement","Entwicklungsland","","","Territorio en desarrollo","Territorio en desarrollo","Зона разработчика","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","21","1","0","0","0","-1","2","0","0"
"469","BlackwingLair","2","1","0","Blackwing Lair","Blackwing Lair","Repaire de l'Aile noire","Pechschwingenhort","","","Guarida de Alanegra","Guarida de Alanegra","Логово Крыла Тьмы","","","","","","","","16712190","2677","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","141","1","0","-7663","-1218","-1","0","0","40"
"489","PVPZone03","3","1","1","Warsong Gulch","Warsong Gulch","Goulet des Chanteguerres","Kriegshymnenschlucht","","","Garganta Grito de Guerra","Garganta Grito de Guerra","Ущелье Песни Войны","","","","","","","","16712190","3277","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance.

Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance.

Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","Aux confins de la forêt d’Orneval et des Tarides, le goulet des Chanteguerres est le théâtre d’affrontements perpétuels.

Les orcs y ont installé une scierie pour préparer le bois coupé dans Orneval, provoquant de fréquentes attaques des elfes de la nuit du fort d'Aile-argent.

Des représentants de tous les peuples d’Azeroth accourent pour aider leurs alliés.","Zwischen dem Eschental und dem Brachland liegt die Kriegshymnenschlucht, in der Horde und Allianz fortwährend aufeinander prallen. Orcs nutzen das Sägewerk des Kriegshymnenklans, um Holz aus dem Eschental zu verarbeiten, wodurch sie Angriffe der Nachtelfen von der Feste der Silberschwingen provozieren.Bereit, ihren Verbündeten zu helfen, eilen Mitglieder aller Völker Azeroths in die Schlucht, um den Konflikt mit Schwert oder Zauber auszutragen.","","","La Garganta Grito de Guerra, un valle que circunda el Bosque de Vallefresno y los Baldíos, es un territorio de constantes batallas entre la Horda y la Alianza.

Los orcos utilizan el Aserradero Grito de Guerra para cortar madera de Vallefresno, lo que provoca a los elfos de la noche del Bastión Ala de Plata.

Los miembros de ambos bandos se congregan allí para ayudar a sus respectivos aliados y aportar su gota de sangre al conflicto.","La Garganta Grito de Guerra, un valle que circunda el Bosque de Vallefresno y los Baldíos, es un territorio de constantes batallas entre la Horda y la Alianza.

Los orcos utilizan el Aserradero Grito de Guerra para cortar madera de Vallefresno, lo que provoca a los elfos de la noche del Bastión Ala de Plata.

Los miembros de ambos bandos se congregan allí para ayudar a sus respectivos aliados y aportar su gota de sangre al conflicto.","В Ущелье Песни Войны, разделяющем Степи и Ясеневый лес, не прекращается война между Ордой и Альянсом.

Причиной конфликта стала лесопилка, построенная орками из клана Песни Войны, чтобы резать деревя, добытые в Ясеневом лесу, что вызвало неудовольствие у ночных эльфов с заставы Среброкрылых.

Сейчас в Ущелье стекаются представители всех рас Азерота, желающие поддержать союзников мечом или магией.","","","","","","","","16712190","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance.

Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","A valley bordering Ashenvale Forest and the Barrens, Warsong Gulch hosts a constant battle between the Horde and the Alliance.

Orcs use their Warsong Mill to cut lumber reaped from Ashenvale, provoking the night elves of Silverwing Hold.

Eager to aid their allies, members of every race in Azeroth rush to the Gulch to lend sword, or spell, to the conflict.","Aux confins de la forêt d’Orneval et des Tarides, le goulet des Chanteguerres est le théâtre d’affrontements perpétuels.

Les orcs y ont installé une scierie pour préparer le bois coupé dans Orneval, provoquant de fréquentes attaques des elfes de la nuit du fort d'Aile-argent.

Des représentants de tous les peuples d’Azeroth accourent pour aider leurs alliés.","Zwischen dem Eschental und dem Brachland liegt die Kriegshymnenschlucht, in der Horde und Allianz fortwährend aufeinander prallen. Orcs nutzen das Sägewerk des Kriegshymnenklans, um Holz aus dem Eschental zu verarbeiten, wodurch sie Angriffe der Nachtelfen von der Feste der Silberschwingen provozieren.Bereit, ihren Verbündeten zu helfen, eilen Mitglieder aller Völker Azeroths in die Schlucht, um den Konflikt mit Schwert oder Zauber auszutragen.","","","La Garganta Grito de Guerra, un valle que circunda el Bosque de Vallefresno y los Baldíos, es un territorio de constantes batallas entre la Horda y la Alianza.

Los orcos utilizan el Aserradero Grito de Guerra para cortar madera de Vallefresno, lo que provoca a los elfos de la noche del Bastión Ala de Plata.

Los miembros de ambos bandos se congregan allí para ayudar a sus respectivos aliados y aportar su gota de sangre al conflicto.","La Garganta Grito de Guerra, un valle que circunda el Bosque de Vallefresno y los Baldíos, es un territorio de constantes batallas entre la Horda y la Alianza.

Los orcos utilizan el Aserradero Grito de Guerra para cortar madera de Vallefresno, lo que provoca a los elfos de la noche del Bastión Ala de Plata.

Los miembros de ambos bandos se congregan allí para ayudar a sus respectivos aliados y aportar su gota de sangre al conflicto.","В Ущелье Песни Войны, разделяющем Степи и Ясеневый лес, не прекращается война между Ордой и Альянсом.

Причиной конфликта стала лесопилка, построенная орками из клана Песни Войны, чтобы резать деревя, добытые в Ясеневом лесу, что вызвало неудовольствие у ночных эльфов с заставы Среброкрылых.

Сейчас в Ущелье стекаются представители всех рас Азерота, желающие поддержать союзников мечом или магией.","","","","","","","","16712190","122","1","0","0","0","-1","0","0","0"
"509","AhnQiraj","2","1","0","Ruins of Ahn'Qiraj","Ruins of Ahn'Qiraj","Ruines d'Ahn'Qiraj","Ruinen von Ahn'Qiraj","","","Ruinas de Ahn'Qiraj","Ruinas de Ahn'Qiraj","Руины Ан'Киража","","","","","","","","16712190","3429","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","184","1","1","-8114","1526","-1","0","68400","20"
