"ID","ContinentID","ParentAreaID","AreaBit","Flags","SoundProviderPref","SoundProviderPrefUnderwater","AmbienceID","ZoneMusic","IntroSound","ExplorationLevel","AreaName_Lang_enUS","AreaName_Lang_enGB","AreaName_Lang_koKR","AreaName_Lang_frFR","AreaName_Lang_deDE","AreaName_Lang_enCN","AreaName_Lang_zhCN","AreaName_Lang_enTW","AreaName_Lang_zhTW","AreaName_Lang_esES","AreaName_Lang_esMX","AreaName_Lang_ruRU","AreaName_Lang_ptPT","AreaName_Lang_ptBR","AreaName_Lang_itIT","AreaName_Lang_Unk","AreaName_Lang_Mask","FactionGroupMask","LiquidTypeID_1","LiquidTypeID_2","LiquidTypeID_3","LiquidTypeID_4","MinElevation","Ambient_Multiplier","Lightid"
"13","0","10","555","1073741888","0","11","48","11","0","0","The World Tree","The World Tree","L'Arbre-monde","Der Weltenbaum","","","Árbol del Mundo","Árbol del Mundo","Древо Жизни","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"14","1","0","127","64","0","11","25","9","0","0","Durotar","Durotar","Durotar","Durotar","","","Durotar","Durotar","Дуротар","","","","","","","","16712190","4","0","0","0","0","-500","0","0"
"15","1","0","128","64","0","11","33","227","0","0","Dustwallow Marsh","Dustwallow Marsh","Marécage d'Âprefange","Düstermarschen","","","Marjal Revolcafango","Marjal Revolcafango","Пылевые топи","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"16","1","0","129","64","0","11","31","205","0","0","Azshara","Azshara","Azshara","Azshara","","","Azshara","Azshara","Азшара","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"17","1","0","130","64","0","11","38","7","0","0","The Barrens","The Barrens","Les Tarides","Brachland","","","Los Baldíos","Los Baldíos","Степи","","","","","","","","16712190","4","0","0","0","0","-500","0","0"
"18","0","12","131","1073741888","0","11","35","1","0","7","Crystal Lake","Crystal Lake","Lac de Cristal","Kristallsee","","","Lago de Cristal","Lago de Cristal","Озеро Хрустальное","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"19","0","33","574","1073741888","0","11","32","3","0","40","Zul'Gurub","Zul'Gurub","Zul'Gurub","Zul'Gurub","","","Zul'Gurub","Zul'Gurub","Зул'Гуруб","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"20","0","40","132","1073741888","0","11","0","9","0","14","Moonbrook","Moonbrook","Ruisselune","Mondbruch","","","Arroyo de la Luna","Arroyo de la Luna","Луноречье","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"21","0","0","133","64","0","11","0","8","0","0","Kul Tiras","Kul Tiras","Kul Tiras","Kul Tiras","","","Kul Tiras","Kul Tiras","Кул-Тирас","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"22","451","0","547","17472","0","11","38","2","0","0","Programmer Isle","Programmer Isle","Île des programmeurs","Programmierer-Insel","","","Isla del Programador","Isla del Programador","Остров Программиста","","","","","","","","16712190","0","1","0","0","0","-500","0","0"
"23","0","12","134","1074790464","0","11","35","0","0","0","Northshire River","Northshire River","Fleuve Comté-du-nord","Der Nordhain","","","Río de Villanorte","Río de Villanorte","Река Североземья","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"24","0","12","135","1076887552","73","11","35","1","67","0","Northshire Abbey","Northshire Abbey","Abbaye de Comté-du-nord","Abtei von Nordhain","","","Abadía de Villanorte","Abadía de Villanorte","Аббатство Североземья","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"25","0","0","136","64","0","11","46","10","0","0","Blackrock Mountain","Blackrock Mountain","Mont Rochenoire","Der Schwarzfels","","","Montaña Roca Negra","Montaña Roca Negra","Черная гора","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"26","0","40","602","1073741888","0","11","0","7","0","0","Lighthouse","Lighthouse","Phare","Leuchtturm","","","Faro","Faro","Маяк","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"28","0","0","137","64","0","11","37","205","0","0","Western Plaguelands","Western Plaguelands","Maleterres de l'ouest","Westliche Pestländer","","","Tierras de la Peste del Oeste","Tierras de la Peste del Oeste","Западные Чумные земли","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"30","0","0","138","64","0","11","0","0","0","0","Nine","Nine","Neuf","Nine","","","Nine","Nine","Девять","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"32","0","10","139","1073741888","0","11","0","2","0","0","The Cemetary","The Cemetary","Le cimetière","Der Friedhof","","","El Cementerio","El Cementerio","Кладбище","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"33","0","0","140","64","0","11","32","3","0","0","Stranglethorn Vale","Stranglethorn Vale","Vallée de Strangleronce","Schlingendorntal","","","Vega de Tuercespina","Vega de Tuercespina","Тернистая долина","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"34","0","12","141","1073741824","0","11","35","1","0","0","Echo Ridge Mine","Echo Ridge Mine","Mine de la crête aux échos","Echokammmine","","","Mina del Eco","Mina del Eco","Рудник Горного Эха","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"35","0","33","142","1075839040","0","11","0","3","0","42","Booty Bay","Booty Bay","Baie-du-Butin","Beutebucht","","","Bahía del Botín","Bahía del Botín","Пиратская Бухта","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"36","0","0","143","64","0","11","31","1","0","0","Alterac Mountains","Alterac Mountains","Montagnes d'Alterac","Alteracgebirge","","","Montañas de Alterac","Montañas de Alterac","Альтеракские горы","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"37","0","33","144","1073741888","0","11","0","3","0","36","Lake Nazferiti","Lake Nazferiti","Lac Nazfériti","Der Nazferitisee","","","Lago Nazferiti","Lago Nazferiti","Озеро Назферити","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"38","0","0","145","64","0","11","31","1","0","0","Loch Modan","Loch Modan","Loch Modan","Loch Modan","","","Loch Modan","Loch Modan","Лок Модан","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"40","0","0","146","64","0","11","47","9","0","0","Westfall","Westfall","Marche de l'Ouest","Westfall","","","Páramos de Poniente","Páramos de Poniente","Западный Край","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"41","0","0","556","64","0","11","49","2","0","0","Deadwind Pass","Deadwind Pass","Défilé de Deuillevent","Gebirgspass der Totenwinde","","","Paso de la Muerte","Paso de la Muerte","Перевал Мертвого Ветра","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"42","0","10","147","1075839040","0","11","0","2","0","25","Darkshire","Darkshire","Sombre-comté","Dunkelhain","","","Villa Oscura","Villa Oscura","Темнолесье","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"43","0","33","148","1073741888","0","11","0","3","0","42","Wild Shore","Wild Shore","Le Rivage cruel","Die wilden Ufer","","","Orilla Salvaje","Orilla Salvaje","Пустынный берег","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"44","0","0","149","64","0","11","31","1","0","0","Redridge Mountains","Redridge Mountains","Les Carmines","Rotkammgebirge","","","Montañas Crestagrana","Montañas Crestagrana","Красногорье","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"45","0","0","150","64","0","11","30","8","0","0","Arathi Highlands","Arathi Highlands","Hautes-terres d'Arathi","Arathihochland","","","Tierras Altas de Arathi","Tierras Altas de Arathi","Нагорье Арати","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"46","0","0","151","64","0","11","46","10","0","0","Burning Steppes","Burning Steppes","Steppes ardentes","Brennende Steppe","","","Las Estepas Ardientes","Las Estepas Ardientes","Пылающие степи","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"47","0","0","152","64","0","11","31","1","0","0","The Hinterlands","The Hinterlands","Les Hinterlands","Hinterland","","","Tierras del Interior","Tierras del Interior","Внутренние земли","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"49","451","22","153","1073741888","0","11","0","0","0","0","Dead Man's Hole","Dead Man's Hole","Gouffre du mort","Dead Man's Hole","","","El Agujero del Muerto","El Agujero del Muerto","Нора Мертвеца","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"51","0","0","154","64","0","11","46","10","0","0","Searing Gorge","Searing Gorge","Gorge des Vents brûlants","Sengende Schlucht","","","La Garganta de Fuego","La Garganta de Fuego","Тлеющее ущелье","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"53","0","12","155","1073741888","0","11","35","1","0","0","Thieves Camp","Thieves Camp","Camp des voleurs","Diebeslager","","","Campamento de Ladrones","Campamento de Ladrones","Воровской лагерь","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"54","0","12","550","1073741888","0","11","35","1","0","8","Jasperlode Mine","Jasperlode Mine","Mine Veine-de-jaspe","Jaspismine","","","Cantera de Jaspe","Cantera de Jaspe","Яшмовая шахта","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"55","0","12","156","1073741888","0","11","35","13","61","0","Valley of Heroes UNUSED","Valley of Heroes UNUSED","Vallée des Héros","Valley of Heroes UNUSED","","","Valley of Heroes UNUSED","Valley of Heroes UNUSED","Аллея Героев НЕ ИСПОЛЬЗУЕТСЯ","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"56","0","12","157","1073741888","0","11","35","1","303","0","Heroes' Vigil","Heroes' Vigil","Veillée des héros","Heldenwache","","","Vigilia de los Héroes","Vigilia de los Héroes","Часовые Вечности","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"57","0","12","158","1073741888","0","11","35","1","0","5","Fargodeep Mine","Fargodeep Mine","Mine de Fondugouffre","Tiefenschachtmine","","","Mina Abisal","Mina Abisal","Рудник Подземных Глубин","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"59","0","12","159","1074790400","0","11","35","1","0","0","Northshire Vineyards","Northshire Vineyards","Vignoble de Comté-du-nord","Weinberge von Nordhain","","","Viñedos de Villanorte","Viñedos de Villanorte","Виноградники Североземья","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"60","0","12","606","1073741888","0","11","35","1","0","8","Forest's Edge","Forest's Edge","La Lisière","Der Waldrand","","","Linde del bosque","Linde del bosque","Лесная опушка","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"61","0","12","160","1073741888","0","11","35","1","0","0","Thunder Falls","Thunder Falls","Chutes du Tonnerre","Donnerfälle","","","Cataratas del Trueno","Cataratas del Trueno","Ревущий водопад","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"62","0","12","161","1073741888","0","11","35","1","0","8","Brackwell Pumpkin Patch","Brackwell Pumpkin Patch","Champ de potirons des Saumepuits","Brackbrunns Kürbisbeet","","","Plantación de Calabazas de Brackwell","Plantación de Calabazas de Brackwell","Тыквенное поле Бреквеллов","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"63","0","12","162","1073741888","0","11","35","1","0","6","The Stonefield Farm","The Stonefield Farm","La ferme des Champierreux","Hof der Steinfelds","","","La Granja Pedregosa","La Granja Pedregosa","Ферма Стоунфилдов","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"64","0","12","163","1073741888","0","11","35","1","0","6","The Maclure Vineyards","The Maclure Vineyards","Les Vignes des Maclure","Weinberge der Maclures","","","Los Viñedos de Maclure","Los Viñedos de Maclure","Виноградники Маклура","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"65","571","0","164","17476","0","11","439","412","545","0","Dragonblight","Dragonblight","Désolation des dragons","Drachenöde","","","Cementerio de Dragones","Cementerio de Dragones","Драконий Погост","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"66","571","0","165","17476","0","11","441","423","544","76","Zul'Drak","Zul'Drak","Zul'Drak","Zul'Drak","","","Zul'Drak","Zul'Drak","Зул'Драк","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"67","571","0","166","17473","0","11","465","420","0","77","The Storm Peaks","The Storm Peaks","Les pics Foudroyés","Die Sturmgipfel","","","Las Cumbres Tormentosas","Las Cumbres Tormentosas","Грозовая Гряда","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"68","0","44","557","1073741888","0","11","0","1","0","16","Lake Everstill","Lake Everstill","Lac placide","Der Immerruhsee","","","Lago Sempiterno","Lago Sempiterno","Озеро Безмолвия","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"69","0","44","167","1075839040","0","11","0","1","0","15","Lakeshire","Lakeshire","Comté-du-lac","Seenhain","","","Villa del Lago","Villa del Lago","Приозерье","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"70","0","44","168","1073741888","0","11","0","1","0","24","Stonewatch","Stonewatch","Guet-de-pierre","Steinwacht","","","Petravista","Petravista","Крепость Каменной Стражи","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"71","0","44","627","1073741888","0","11","0","1","0","20","Stonewatch Falls","Stonewatch Falls","Chutes de Guet-de-pierre","Steinwachtfälle","","","Cascadas Petravista","Cascadas Petravista","Водопад Каменной Стражи","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"72","0","4","169","1073741888","0","11","210","7","0","63","The Dark Portal","The Dark Portal","La Porte des ténèbres","Das Dunkle Portal","","","El Portal Oscuro","El Portal Oscuro","Темный портал","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"73","0","4","170","1073741888","0","11","0","7","0","50","The Tainted Scar","The Tainted Scar","La Balafre impure","Die faulende Narbe","","","Escara Impía","Escara Impía","Гниющий шрам","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"74","0","8","171","1073741888","0","11","0","0","0","43","Pool of Tears","Pool of Tears","Bassin des larmes","Tränenteich","","","Charca de Lágrimas","Charca de Lágrimas","Озеро Слез","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"75","0","8","172","1075839040","0","11","0","0","0","37","Stonard","Stonard","Pierrêche","Steinard","","","Rocal","Rocal","Каменор","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"76","0","8","173","1073741888","0","11","0","0","0","37","Fallow Sanctuary","Fallow Sanctuary","Sanctuaire des friches","Zuflucht der Verirrten","","","Retiro Fangoso","Retiro Fangoso","Болотное пристанище","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"77","0","1","174","1076887552","0","11","0","8","0","0","Anvilmar","Anvilmar","Courbenclume","Ambossar","","","Yunquemar","Yunquemar","Старая Наковальня","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"80","0","12","175","1073741888","0","11","35","17","0","10","Stormwind Mountains","Stormwind Mountains","Monts Hurlevent","Berge von Sturmwind","","","Montañas de Ventormenta","Montañas de Ventormenta","Горы Штормграда","","","","","","","","16712190","2","0","0","0","0","-500","0","0"
"81","451","22","575","1073741888","0","11","0","0","0","0","Jeff NE Quadrant Changed","Jeff NE Quadrant Changed","Quadrant NE de Jeff modifié","Jeff NO-Quadrant geändert","","","Jeff NE Quadrant Changed","Jeff NE Quadrant Changed","Джефф СВ Измененный квадрант","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"82","451","22","176","1073741888","0","11","0","0","0","0","Jeff NW Quadrant","Jeff NW Quadrant","Quadrant de Jeff NO","Jeff NW-Quadrant","","","Jeff NW Quadrant","Jeff NW Quadrant","Джефф СЗ Квадрант","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"83","451","22","177","1073741888","0","11","0","0","0","0","Jeff SE Quadrant","Jeff SE Quadrant","Quadrant de Jeff SE","Jeff SO-Quadrant","","","Jeff SE Quadrant","Jeff SE Quadrant","Джефф ЮВ Квадрант","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"84","451","22","178","1073741888","0","11","0","0","0","0","Jeff SW Quadrant","Jeff SW Quadrant","Quadrant de Jeff SO","Jeff SW-Quadrant","","","Jeff SW Quadrant","Jeff SW Quadrant","Джефф ЮЗ Квадрант","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"85","0","0","179","64","0","11","40","2","0","0","Tirisfal Glades","Tirisfal Glades","Clairières de Tirisfal","Tirisfal","","","Claros de Tirisfal","Claros de Tirisfal","Тирисфальские леса","","","","","","","","16712190","4","0","0","0","0","-500","0","0"
"86","0","12","180","1073741888","0","11","35","1","0","8","Stone Cairn Lake","Stone Cairn Lake","Lac du Cairn","Der Steinhügelsee","","","Lago del Hito","Lago del Hito","Озеро Каменных Столбов","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"87","0","12","548","1076887616","0","11","35","1","0","5","Goldshire","Goldshire","Comté-de-l’or","Goldhain","","","Villadorada","Villadorada","Златоземье","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"88","0","12","181","1073741888","0","11","35","1","0","6","Eastvale Logging Camp","Eastvale Logging Camp","Camp de bûcherons du Val d'est","Holzfällerlager des Osttals","","","Aserradero de la Vega del Este","Aserradero de la Vega del Este","Лесопилка Восточной долины","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"89","0","12","182","1073741888","0","11","35","1","0","0","Mirror Lake Orchard","Mirror Lake Orchard","Verger du lac Miroir","Obsthain am Spiegelsee","","","Vergel del Lago Espejo","Vergel del Lago Espejo","Сад у Зеркального озера","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"91","0","12","183","1073741888","0","11","35","1","0","8","Tower of Azora","Tower of Azora","Tour d'Azora","Turm von Azora","","","Torre de Azora","Torre de Azora","Башня Азоры","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"92","0","12","558","1073741888","0","11","35","1","0","0","Mirror Lake","Mirror Lake","Lac Miroir","Spiegelsee","","","Lago Espejo","Lago Espejo","Зеркальное озеро","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"93","0","10","628","1073741888","0","11","0","214","0","28","Vul'Gol Ogre Mound","Vul'Gol Ogre Mound","Tertre des ogres Vul'Gol","Ogerhort Vul'Gol","","","Túmulo de Vul'Gol","Túmulo de Vul'Gol","Лощина Вул'Гол","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"94","0","10","184","1073741888","0","11","0","2","0","24","Raven Hill","Raven Hill","Colline-aux-Corbeaux","Rabenflucht","","","Cerro del Cuervo","Cerro del Cuervo","Вороний Холм","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"95","0","44","185","1073741888","0","11","0","1","0","20","Redridge Canyons","Redridge Canyons","Canyons des Carmines","Rotkammschlucht","","","Cañones de Crestagrana","Cañones de Crestagrana","Каньоны Красногорья","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"96","0","44","186","1073741888","0","11","0","1","0","25","Tower of Ilgalar","Tower of Ilgalar","Tour d'Ilgalar","Der Turm von Ilgalar","","","Torre de Ilgalar","Torre de Ilgalar","Башня Илгалара","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"97","0","44","187","1073741888","0","11","0","1","0","19","Alther's Mill","Alther's Mill","Scierie d'Alther","Althers Mühle","","","Molino de Alther","Molino de Alther","Лесопилка Альтера","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"98","0","44","188","1073741888","0","11","0","1","0","17","Rethban Caverns","Rethban Caverns","Cavernes de Rethban","Rethbanhöhlen","","","Cavernas de Rethban","Cavernas de Rethban","Пещеры Ретбана","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"99","0","33","189","1075839040","0","11","0","3","0","30","Rebel Camp","Rebel Camp","Camp rebelle","Rebellenlager","","","Asentamiento Rebelde","Asentamiento Rebelde","Лагерь Повстанцев","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"100","0","33","585","1073741888","0","11","0","3","0","31","Nesingwary's Expedition","Nesingwary's Expedition","Expédition de Nesingwary","Nesingwarys Expedition","","","Expedición de Nesingwary","Expedición de Nesingwary","Экспедиция Эрнестуэя","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"101","0","33","190","1073741888","0","11","0","3","0","32","Kurzen's Compound","Kurzen's Compound","Base de Kurzen","Kurzens Truppenlager","","","Base de Kurzen","Base de Kurzen","Лагерь Курцена","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"102","0","33","586","1073741888","0","11","0","3","0","41","Ruins of Zul'Kunda","Ruins of Zul'Kunda","Ruines de Zul'Kunda","Ruinen von Zul'Kunda","","","Ruinas de Zul'Kunda","Ruinas de Zul'Kunda","Руины Зул'Кунды","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"103","0","33","191","1073741888","0","11","0","3","0","40","Ruins of Zul'Mamwe","Ruins of Zul'Mamwe","Ruines de Zul'Mamwe","Ruinen von Zul'Mamwe","","","Ruinas de Zul'Mamwe","Ruinas de Zul'Mamwe","Руины Зул'Мамве","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"104","0","33","192","1073741888","0","11","0","3","0","37","The Vile Reef","The Vile Reef","Le Récif infâme","Das finstere Riff","","","El Arrecife Mortal","El Arrecife Mortal","Коварный риф","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"105","0","33","193","1073741888","0","11","0","3","0","42","Mosh'Ogg Ogre Mound","Mosh'Ogg Ogre Mound","Tertre des ogres Mosh'Ogg","Ogerhügel der Mosh'Ogg","","","Túmulo Ogro Mosh'Ogg","Túmulo Ogro Mosh'Ogg","Холм Мош'Огг","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"106","0","33","194","1073741888","0","11","0","3","0","0","The Stockpile","The Stockpile","La réserve","Das Vorratslager","","","Las Reservas","Las Reservas","Схрон","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"107","0","40","195","1073741888","0","11","0","9","0","14","Saldean's Farm","Saldean's Farm","Ferme des Saldean","Saldeans Farm","","","Finca de Saldean","Finca de Saldean","Ферма Сальдена","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"108","0","40","196","1076887616","0","11","0","9","0","15","Sentinel Hill","Sentinel Hill","Colline des sentinelles","Späherkuppe","","","Colina del Centinela","Colina del Centinela","Сторожевой холм","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"109","0","40","197","1073741888","0","11","0","9","0","15","Furlbrow's Pumpkin Farm","Furlbrow's Pumpkin Farm","Ferme de potirons de Froncebouille","Brauenwirbels Kürbishof","","","Plantación de Calabazas de Cejade","Plantación de Calabazas de Cejade","Тыквенная ферма Хмуроброва","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"111","0","40","198","1073741888","0","11","0","9","0","12","Jangolode Mine","Jangolode Mine","Mine Veine-de-Jango","Der Jangoschacht","","","Mina de Jango","Mina de Jango","Рудник Янго","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"113","0","40","576","1073741888","0","11","0","9","0","15","Gold Coast Quarry","Gold Coast Quarry","Carrière de la côte de l'Or","Der Goldküstensteinbruch","","","Mina de la Costa del Oro","Mina de la Costa del Oro","Прииск на Золотом Берегу","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"115","0","40","199","1073741888","0","11","24","9","0","17","Westfall Lighthouse","Westfall Lighthouse","Phare de l'Ouest","Der Leuchtturm von Westfall","","","Faro de Poniente","Faro de Poniente","Маяк в Западном Крае","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"116","0","8","200","1073741888","0","11","0","0","0","39","Misty Valley","Misty Valley","Vallée des brumes","Das neblige Tal","","","Valle Brumoso","Valle Brumoso","Туманная долина","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"117","0","33","629","1075839040","0","11","0","228","0","35","Grom'gol Base Camp","Grom'gol Base Camp","Campement Grom'gol","Basislager von Grom'gol","","","Campamento Grom'gol","Campamento Grom'gol","Лагерь Гром'гол","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"118","0","11","201","1073741888","0","11","0","191","0","22","Whelgar's Excavation Site","Whelgar's Excavation Site","Excavations de Whelgar","Whelgars Ausgrabungsstätte","","","Excavación de Whelgar","Excavación de Whelgar","Раскопки Вельгара","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"120","0","12","559","1075839040","0","11","35","0","0","8","Westbrook Garrison","Westbrook Garrison","Garnison du ruisseau de l'ouest","Weststromgarnison","","","Cuartel de Arroyoeste","Cuartel de Arroyoeste","Гарнизон у Западного ручья","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"121","0","10","202","1073741888","0","11","0","15","0","28","Tranquil Gardens Cemetery","Tranquil Gardens Cemetery","Cimetière des jardins paisibles","Der Friedhof ""Stille Gärten""","","","Cementerio del Jardín Sereno","Cementerio del Jardín Sereno","Безмятежное кладбище","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
"122","0","33","203","1073741888","0","11","0","3","0","37","Zuuldaia Ruins","Zuuldaia Ruins","Ruines de Zuuldaia","Ruinen von Zuuldaia","","","Ruinas Zuuldaia","Ruinas Zuuldaia","Руины Зуулдая","","","","","","","","16712190","0","0","0","0","0","-500","0","0"
