"ID","Importance","Icon_1","Icon_2","Icon_3","Icon_4","Icon_5","Icon_6","Icon_7","Icon_8","Icon_9","FactionID","X","Y","Z","ContinentID","Flags","AreaID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","WorldStateID","WorldMapLink"
"1307","0","7","0","0","0","0","0","0","0","0","0","921","-1421","66","0","516","197","Chillwind Camp","Chillwind Camp","Camp du Noroît","Zugwindlager","","","Campamento del Orvallo","Campamento del Orvallo","Лагерь Промозглого Ветра","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1770","0","6","0","0","0","0","0","0","0","0","0","1853","-3723","192","0","647","139","Crown Guard Tower","Crown Guard Tower","Tour de garde de la couronne","Turm der Kronenwache","","","Torre de la Corona","Torre de la Corona","Башня королевской стражи","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2355","0"
"1771","0","6","0","0","0","0","0","0","0","0","0","1853","-3723","192","0","647","139","Crown Guard Tower","Crown Guard Tower","Tour de garde de la couronne","Turm der Kronenwache","","","Torre de la Corona","Torre de la Corona","Башня королевской стражи","","","","","","","","16712190","Alliance, Contested","Alliance, Contested","Contestée, Alliance","Allianz, umkämpft","","","Alianza, en disputa","Alianza, en disputa","Оспаривается Альянсом","","","","","","","","16712190","2374","0"
"1772","0","6","0","0","0","0","0","0","0","0","0","1853","-3723","192","0","647","139","Crown Guard Tower","Crown Guard Tower","Tour de garde de la couronne","Turm der Kronenwache","","","Torre de la Corona","Torre de la Corona","Башня королевской стражи","","","","","","","","16712190","Horde, Contested","Horde, Contested","Contestée, Horde","Horde, umkämpft","","","Horda, en disputa","Horda, en disputa","Оспаривается Ордой","","","","","","","","16712190","2375","0"
"1773","0","11","0","0","0","0","0","0","0","0","0","1853","-3723","192","0","647","139","Crown Guard Tower","Crown Guard Tower","Tour de garde de la couronne","Turm der Kronenwache","","","Torre de la Corona","Torre de la Corona","Башня королевской стражи","","","","","","","","16712190","Alliance, Progressing","Alliance, Progressing","En progrès, Alliance","Allianz, fortgeschritten","","","Alianza, en progreso","Alianza, en progreso","Захвачено Альянсом","","","","","","","","16712190","2376","0"
"1774","0","10","0","0","0","0","0","0","0","0","0","1853","-3723","192","0","647","139","Crown Guard Tower","Crown Guard Tower","Tour de garde de la couronne","Turm der Kronenwache","","","Torre de la Corona","Torre de la Corona","Башня королевской стражи","","","","","","","","16712190","Horde, Progressing","Horde, Progressing","En progrès, Horde","Horde, fortgeschritten","","","Horda, en progreso","Horda, en progreso","Захвачено Ордой","","","","","","","","16712190","2377","0"
"1775","0","11","0","0","0","0","0","0","0","0","0","1853","-3723","192","0","647","139","Crown Guard Tower","Crown Guard Tower","Tour de garde de la couronne","Turm der Kronenwache","","","Torre de la Corona","Torre de la Corona","Башня королевской стражи","","","","","","","","16712190","Alliance","Alliance","Alliance","Allianz","","","Alianza","Alianza","Альянс","","","","","","","","16712190","2378","0"
"1776","0","10","0","0","0","0","0","0","0","0","0","1853","-3723","192","0","647","139","Crown Guard Tower","Crown Guard Tower","Tour de garde de la couronne","Turm der Kronenwache","","","Torre de la Corona","Torre de la Corona","Башня королевской стражи","","","","","","","","16712190","Horde","Horde","Horde","Horde","","","Horda","Horda","Орда","","","","","","","","16712190","2379","0"
"3","3","5","0","0","0","0","0","0","0","0","0","-10564","-1170","28","0","525","10","Darkshire","Darkshire","Sombre-comté","Dunkelhain","","","Villa Oscura","Villa Oscura","Темнолесье","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1288","0","7","0","0","0","0","0","0","0","0","0","-10572","-1841","109","0","516","2697","Deadwind Ravine","Deadwind Ravine","Ravin de Deuillevent","Schlucht der Totenwinde","","","Barranco de la Muerte","Barranco de la Muerte","Овраг Мертвого Ветра","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"4","3","7","0","0","0","0","0","0","0","0","0","1879","1588","90","0","517","154","Deathknell","Deathknell","Le Glas","Todesend","","","Camposanto","Camposanto","Могильник","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"327","0","7","0","0","0","0","0","0","0","0","0","-1014","-3827","145","0","516","321","Drywhisker Gorge","Drywhisker Gorge","Gorge des Sèches-moustaches","Schlucht der Trockenstoppel","","","Cañón Mostacho Seco","Cañón Mostacho Seco","Теснина Сухоусов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"5","3","7","0","0","0","0","0","0","0","0","0","-4191","-2373","205","0","517","836","Dun Algaz","Dun Algaz","Dun Algaz","Dun Algaz","","","Dun Algaz","Dun Algaz","Дун Альгаз","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"6","3","7","0","0","0","0","0","0","0","0","0","-2610","-2350","81","0","517","205","Dun Modr","Dun Modr","Dun Modr","Dun Modr","","","Dun Modr","Dun Modr","Дун Модр","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1028","0","7","0","0","0","0","0","0","0","0","0","-7320","-2265","244","0","516","344","Dustbelch Grotto","Dustbelch Grotto","Grotte de Crache-poussière","Die Staubspeiergrotte","","","Gruta Rotapolvo","Gruta Rotapolvo","Грот Гнилобрюхих","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1749","0","6","0","0","0","0","0","0","0","0","0","2562","-4796","138","0","647","139","Eastwall Tower","Eastwall Tower","Tour du Mur d'est","Ostwallturm","","","Torre de la Muralla del Este","Torre de la Muralla del Este","Восточная башня","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2361","0"
"1750","0","6","0","0","0","0","0","0","0","0","0","2562","-4797","138","0","647","139","Eastwall Tower","Eastwall Tower","Tour du Mur d'est","Ostwallturm","","","Torre de la Muralla del Este","Torre de la Muralla del Este","Восточная башня","","","","","","","","16712190","Alliance, Contested","Alliance, Contested","Contestée, Alliance","Allianz, umkämpft","","","Alianza, en disputa","Alianza, en disputa","Оспаривается Альянсом","","","","","","","","16712190","2359","0"
"1751","0","11","0","0","0","0","0","0","0","0","0","2562","-4797","138","0","647","139","Eastwall Tower","Eastwall Tower","Tour du Mur d'est","Ostwallturm","","","Torre de la Muralla del Este","Torre de la Muralla del Este","Восточная башня","","","","","","","","16712190","Alliance, Progressing","Alliance, Progressing","En progrès, Alliance","Allianz, fortgeschritten","","","Alianza, en progreso","Alianza, en progreso","Захвачено Альянсом","","","","","","","","16712190","2357","0"
"1752","0","6","0","0","0","0","0","0","0","0","0","2561","-4797","138","0","647","139","Eastwall Tower","Eastwall Tower","Tour du Mur d'est","Ostwallturm","","","Torre de la Muralla del Este","Torre de la Muralla del Este","Восточная башня","","","","","","","","16712190","Horde, Contested","Horde, Contested","Contestée, Horde","Horde, umkämpft","","","Horda, en disputa","Horda, en disputa","Оспаривается Ордой","","","","","","","","16712190","2360","0"
"1753","0","10","0","0","0","0","0","0","0","0","0","2561","-4797","138","0","647","139","Eastwall Tower","Eastwall Tower","Tour du Mur d'est","Ostwallturm","","","Torre de la Muralla del Este","Torre de la Muralla del Este","Восточная башня","","","","","","","","16712190","Horde, Progressing","Horde, Progressing","En progrès, Horde","Horde, fortgeschritten","","","Horda, en progreso","Horda, en progreso","Захвачено Ордой","","","","","","","","16712190","2358","0"
"1754","0","10","0","0","0","0","0","0","0","0","0","2561","-4796","138","0","647","139","Eastwall Tower","Eastwall Tower","Tour du Mur d'est","Ostwallturm","","","Torre de la Muralla del Este","Torre de la Muralla del Este","Восточная башня","","","","","","","","16712190","Horde","Horde","Horde","Horde","","","Horda","Horda","Орда","","","","","","","","16712190","2356","0"
"1755","0","11","0","0","0","0","0","0","0","0","0","2562","-4797","138","0","647","139","Eastwall Tower","Eastwall Tower","Tour du Mur d'est","Ostwallturm","","","Torre de la Muralla del Este","Torre de la Muralla del Este","Восточная башня","","","","","","","","16712190","Alliance","Alliance","Alliance","Allianz","","","Alianza","Alianza","Альянс","","","","","","","","16712190","2354","0"
"949","0","7","0","0","0","0","0","0","0","0","0","-8676","-119","91","0","516","24","Echo Ridge Mine","Echo Ridge Mine","Mine de la crête aux échos","Echokammmine","","","Mina del Eco","Mina del Eco","Рудник Горного Эха","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1177","0","7","0","0","0","0","0","0","0","0","0","-7479","-2186","166","0","516","250","Flame Crest","Flame Crest","Corniche des flammes","Flammenkamm","","","Peñasco Llamarada","Peñasco Llamarada","Пламенеющий Стяг","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"7","3","7","0","0","0","0","0","0","0","0","0","-9480","63","56","0","517","87","Goldshire","Goldshire","Comté-de-l’or","Goldhain","","","Villadorada","Villadorada","Златоземье","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1033","0","7","0","0","0","0","0","0","0","0","0","-4055","-3448","283","0","516","1038","Grim Batol","Grim Batol","Grim Batol","Grim Batol","","","Grim Batol","Grim Batol","Грим Батол","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"41","3","5","0","0","0","0","0","0","0","0","83","-12378","185","3","0","525","33","Grom'gol Base Camp","Grom'gol Base Camp","Campement Grom'gol","Basislager von Grom'gol","","","Campamento Grom'Gol","Campamento Grom'Gol","Лагерь Гром'гол","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1011","0","7","0","0","0","0","0","0","0","0","0","-11112","-2335","117","0","516","2561","Grosh'gok Compound","Grosh'gok Compound","Base des Grosh'gok","Das Lager von Grosh'gok","","","Dominios Grosh'gok","Dominios Grosh'gok","Поселок Грош'гок","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"25","3","5","0","0","0","0","0","0","0","0","83","-991","-3528","56","0","525","45","Hammerfall","Hammerfall","Trépas-d'Orgrim","Hammerfall","","","Sentencia","Sentencia","Павший Молот","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"948","0","7","0","0","0","0","0","0","0","0","0","-5858","-2004","401","0","516","212","Ironband's Compound","Ironband's Compound","Base de Baguefer","Eisenbands Truppenlager","","","Complejo Vetaferro","Complejo Vetaferro","Мастерская Сталекрута","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"8","3","6","0","0","0","0","0","0","0","0","0","-5021","-834","495","0","541","1","Ironforge","Ironforge","Forgefer","Eisenschmiede","","","Forjaz","Forjaz","Стальгорн","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1702","0","7","0","0","0","0","0","0","0","0","0","1233","1214","52","0","516","130","Ivar's Patch","Ivar's Patch","Lopin d'Ivar","Ivarfeld","","","Los Dominios de Ivar","Los Dominios de Ivar","Делянка Ивара","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1031","0","7","0","0","0","0","0","0","0","0","0","-14179","718","28","0","516","35","Janeiro's Point","Janeiro's Point","Cap Janeiro","Janeirospitze","","","Cayo de Janeiro","Cayo de Janeiro","Остров Жанейро","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1030","0","7","0","0","0","0","0","0","0","0","0","-9184","-605","62","0","516","91","Jasperlode Mine","Jasperlode Mine","Mine Veine-de-jaspe","Jaspismine","","","Cantera de Jaspe","Cantera de Jaspe","Яшмовая шахта","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"26","3","5","0","0","0","0","0","0","0","0","83","-6676","-2186","245","0","525","3","Kargath","Kargath","Kargath","Kargath","","","Kargath","Kargath","Каргат","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"9","2","7","0","0","0","0","0","0","0","0","0","-5585","-482","397","0","517","131","Kharanos","Kharanos","Kharanos","Kharanos","","","Kharanos","Kharanos","Каранос","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"10","3","5","0","0","0","0","0","0","0","0","0","-9227","-2201","63","0","525","44","Lakeshire","Lakeshire","Comté-du-lac","Seenhain","","","Villa del Lago","Villa del Lago","Приозерье","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"950","0","7","0","0","0","0","0","0","0","0","0","-9948","69","33","0","516","57","Maclure Vineyards","Maclure Vineyards","Vignes des Maclure","Weinberge der Maclures","","","Los Viñedos de Maclure","Los Viñedos de Maclure","Виноградники Маклура","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"11","3","5","0","0","0","0","0","0","0","0","0","-3672","-828","9","0","525","11","Menethil Harbor","Menethil Harbor","Port de Menethil","Hafen von Menethil","","","Puerto de Menethil","Puerto de Menethil","Гавань Менетилов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"227","0","3","0","0","0","0","0","0","0","0","0","-9389","458","38","0","516","92","Mirror Lake","Mirror Lake","Lac Miroir","Spiegelsee","","","Lago Espejo","Lago Espejo","Зеркальное озеро","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1683","0","7","0","0","0","0","0","0","0","0","0","-10854","-4093","21","0","517","300","Misty Reed Post","Misty Reed Post","Poste de Brumejonc","Nebelschilfposten","","","Puesto Juncobruma","Puesto Juncobruma","Тростниковая застава","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"12","3","7","0","0","0","0","0","0","0","0","0","-11017","1510","43","0","517","20","Moonbrook","Moonbrook","Ruisselune","Mondbruch","","","Arroyo de la Luna","Arroyo de la Luna","Луноречье","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1016","0","7","0","0","0","0","0","0","0","0","0","2046","1829","107","0","516","154","Night Web's Hollow","Night Web's Hollow","Grottes des Tisse-nuit","Nachtwebergrund","","","Hoya Nocturácnidas","Hoya Nocturácnidas","Паучья низина","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1763","0","6","0","0","0","0","0","0","0","0","0","3170","-4376","139","0","647","139","Northpass Tower","Northpass Tower","Tour du Col du nord","Nordpassturm","","","Torre del Paso del Norte","Torre del Paso del Norte","Башня Северного перевала","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2352","0"
"1764","0","6","0","0","0","0","0","0","0","0","0","3169","-4376","139","0","647","139","Northpass Tower","Northpass Tower","Tour du Col du nord","Nordpassturm","","","Torre del Paso del Norte","Torre del Paso del Norte","Башня Северного перевала","","","","","","","","16712190","Alliance, Contested","Alliance, Contested","Contestée, Alliance","Allianz, umkämpft","","","Alianza, en disputa","Alianza, en disputa","Оспаривается Альянсом","","","","","","","","16712190","2362","0"
"1765","0","6","0","0","0","0","0","0","0","0","0","3169","-4376","139","0","647","139","Northpass Tower","Northpass Tower","Tour du Col du nord","Nordpassturm","","","Torre del Paso del Norte","Torre del Paso del Norte","Башня Северного перевала","","","","","","","","16712190","Horde, Contested","Horde, Contested","Contestée, Horde","Horde, umkämpft","","","Horda, en disputa","Horda, en disputa","Оспаривается Ордой","","","","","","","","16712190","2363","0"
"1766","0","11","0","0","0","0","0","0","0","0","0","3169","-4376","139","0","647","139","Northpass Tower","Northpass Tower","Tour du Col du nord","Nordpassturm","","","Torre del Paso del Norte","Torre del Paso del Norte","Башня Северного перевала","","","","","","","","16712190","Alliance, Progressing","Alliance, Progressing","En progrès, Alliance","Allianz, fortgeschritten","","","Alianza, en progreso","Alianza, en progreso","Захвачено Альянсом","","","","","","","","16712190","2364","0"
"1767","0","10","0","0","0","0","0","0","0","0","0","3169","-4376","139","0","647","139","Northpass Tower","Northpass Tower","Tour du Col du nord","Nordpassturm","","","Torre del Paso del Norte","Torre del Paso del Norte","Башня Северного перевала","","","","","","","","16712190","Horde, Progressing","Horde, Progressing","En progrès, Horde","Horde, fortgeschritten","","","Horda, en progreso","Horda, en progreso","Захвачено Ордой","","","","","","","","16712190","2365","0"
"1768","0","11","0","0","0","0","0","0","0","0","0","3169","-4376","139","0","647","139","Northpass Tower","Northpass Tower","Tour du Col du nord","Nordpassturm","","","Torre del Paso del Norte","Torre del Paso del Norte","Башня Северного перевала","","","","","","","","16712190","Alliance","Alliance","Alliance","Allianz","","","Alianza","Alianza","Альянс","","","","","","","","16712190","2372","0"
"1769","0","10","0","0","0","0","0","0","0","0","0","3168","-4376","139","0","647","139","Northpass Tower","Northpass Tower","Tour du Col du nord","Nordpassturm","","","Torre del Paso del Norte","Torre del Paso del Norte","Башня Северного перевала","","","","","","","","16712190","Horde","Horde","Horde","Horde","","","Horda","Horda","Орда","","","","","","","","16712190","2373","0"
"13","3","7","0","0","0","0","0","0","0","0","0","-8896","-179","80","0","517","24","Northshire Abbey","Northshire Abbey","Abbaye de Comté-du-nord","Abtei von Nordhain","","","Abadía de Villanorte","Abadía de Villanorte","Аббатство Североземья","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"954","0","7","0","0","0","0","0","0","0","0","0","-9067","-333","73","0","516","24","Northshire Vineyards","Northshire Vineyards","Vignoble de Comté-du-nord","Weinberge von Nordhain","","","Viñedos de Villanorte","Viñedos de Villanorte","Виноградники Североземья","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1756","0","6","0","0","0","0","0","0","0","0","0","2967","-3034","150","0","647","139","Plaguewood Tower","Plaguewood Tower","Tour de Pestebois","Pestwaldturm","","","Torre del Bosque de la Peste","Torre del Bosque de la Peste","Башня Проклятого леса","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","2353","0"
"1757","0","6","0","0","0","0","0","0","0","0","0","2967","-3034","150","0","647","139","Plaguewood Tower","Plaguewood Tower","Tour de Pestebois","Pestwaldturm","","","Torre del Bosque de la Peste","Torre del Bosque de la Peste","Башня Проклятого леса","","","","","","","","16712190","Alliance, Contested","Alliance, Contested","Contestée, Alliance","Allianz, umkämpft","","","Alianza, en disputa","Alianza, en disputa","Оспаривается Альянсом","","","","","","","","16712190","2366","0"
"1760","0","10","0","0","0","0","0","0","0","0","0","2972","-3034","120","0","647","139","Plaguewood Tower","Plaguewood Tower","Tour de Pestebois","Pestwaldturm","","","Torre del Bosque de la Peste","Torre del Bosque de la Peste","Башня Проклятого леса","","","","","","","","16712190","Horde, Progressing","Horde, Progressing","En progrès, Horde","Horde, fortgeschritten","","","Horda, en progreso","Horda, en progreso","Захвачено Ордой","","","","","","","","16712190","2369","0"
"1761","0","11","0","0","0","0","0","0","0","0","0","2966","-3033","148","0","647","139","Plaguewood Tower","Plaguewood Tower","Tour de Pestebois","Pestwaldturm","","","Torre del Bosque de la Peste","Torre del Bosque de la Peste","Башня Проклятого леса","","","","","","","","16712190","Alliance","Alliance","Alliance","Allianz","","","Alianza","Alianza","Альянс","","","","","","","","16712190","2370","0"
"1762","0","10","0","0","0","0","0","0","0","0","0","2966","-3034","148","0","647","139","Plaguewood Tower","Plaguewood Tower","Tour de Pestebois","Pestwaldturm","","","Torre del Bosque de la Peste","Torre del Bosque de la Peste","Башня Проклятого леса","","","","","","","","16712190","Horde","Horde","Horde","Horde","","","Horda","Horda","Орда","","","","","","","","16712190","2371","0"
"1777","0","11","0","0","0","0","0","0","0","0","0","2967","-3034","149","0","647","139","Plaguewood Tower","Plaguewood Tower","Tour de Pestebois","Pestwaldturm","","","Torre del Bosque de la Peste","Torre del Bosque de la Peste","Башня Проклятого леса","","","","","","","","16712190","Alliance, Progressing","Alliance, Progressing","Alliance, en progrès","Allianz, fortgeschritten","","","Alianza, en progreso","Alianza, en progreso","Захвачено Альянсом","","","","","","","","16712190","2368","0"
"14","3","7","0","0","0","0","0","0","0","0","0","-10752","310","40","0","517","94","Raven Hill","Raven Hill","Colline-aux-Corbeaux","Rabenflucht","","","Cerro del Cuervo","Cerro del Cuervo","Вороний Холм","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"24","3","7","0","0","0","0","0","0","0","0","84","-1251","-2526","20","0","517","320","Refuge Pointe","Refuge Pointe","Refuge de l'Ornière","Die Zuflucht","","","Refugio de la Zaga","Refugio de la Zaga","Опорный пункт","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"956","0","7","0","0","0","0","0","0","0","0","0","-8674","-2290","157","0","516","996","Render's Rock","Render's Rock","Rocher des Etripeurs","Renders Fels","","","Roca de Render","Roca de Render","Скала Ренда","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1008","0","7","0","0","0","0","0","0","0","0","0","-8970","-2002","140","0","516","98","Rethban Caverns","Rethban Caverns","Cavernes de Rethban","Rethbanhöhlen","","","Cavernas de Rethban","Cavernas de Rethban","Пещеры Ретбана","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1507","0","5","0","0","0","0","0","0","0","0","0","-573","-4590","10","0","525","307","Revantusk Village","Revantusk Village","Village des Vengebroches","Dorf der Bruchhauer","","","Poblado Sañadiente","Poblado Sañadiente","Деревня Сломанного Клыка","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1127","0","7","0","0","0","0","0","0","0","0","0","-11076","-1139","42","0","516","241","Roland's Doom","Roland's Doom","Destin de Roland","Rolands Verdammnis","","","Condena de Roland","Condena de Roland","Погибель Роланда","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"710","0","7","0","0","0","0","0","0","0","0","0","1262","-2579","126","0","516","2298","Scholomance","Scholomance","Scholomance","Scholomance","","","Scholomance","Scholomance","Некроситет","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"15","3","5","0","0","0","0","0","0","0","0","0","-10503","1027","55","0","525","40","Sentinel Hill","Sentinel Hill","Colline des sentinelles","Späherkuppe","","","Colina del Centinela","Colina del Centinela","Сторожевой холм","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"247","0","3","0","0","0","0","0","0","0","0","0","861","-558","146","0","516","282","Slaughter Hollow","Slaughter Hollow","Creux du massacre","Schlächtergrotte","","","Cuenca de la Matanza","Cuenca de la Matanza","Кровавая низина","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1289","0","7","0","0","0","0","0","0","0","0","0","-10740","-1973","134","0","516","2938","Sleeping Gorge","Sleeping Gorge","Gorge endormie","Die schlummernde Schlucht","","","Desfiladero del Letargo","Desfiladero del Letargo","Спящая теснина","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1176","0","7","0","0","0","0","0","0","0","0","0","-7652","-3030","134","0","516","2420","Slither Rock","Slither Rock","Roc sinueux","Schlitterfels","","","Roca Desliz","Roca Desliz","Скользкая скала","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"22","3","5","0","0","0","0","0","0","0","0","0","-803","-531","15","0","525","267","Southshore","Southshore","Austrivage","Süderstade","","","Costasur","Costasur","Южнобережье","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
"1007","0","7","0","0","0","0","0","0","0","0","0","-13751","-18","49","0","516","1737","Spirit Den","Spirit Den","Antre des esprits","Geisterhöhlenbau","","","Cubil del Espíritu","Cubil del Espíritu","Пещера Духов","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712188","0","0"
