creature_entry;level;hp;mana;armor;str;agi;sta;inte;spi;min_dmg;max_dmg
1;170;15151;10;36694;462;428;806;160;295;0;0
1;171;15262;10;36993;465;431;811;161;297;0;0
1;172;15373;10;37292;468;434;816;162;299;0;0
1;173;15484;10;37591;471;437;821;163;301;0;0
1;174;15595;10;37890;474;440;826;164;303;0;0
1;175;15706;11;38189;477;443;831;165;305;0;0
1;176;15817;11;38488;480;446;836;166;307;0;0
1;177;15928;11;38787;483;449;841;167;309;0;0
1;178;16039;11;39086;486;452;846;168;311;0;0
1;179;16150;11;39385;489;455;851;169;313;0;0
1;180;16261;11;39684;492;458;856;170;315;0;0
1;181;16372;11;39983;495;461;861;171;317;0;0
1;182;16483;11;40282;498;464;866;172;319;0;0
1;183;16594;11;40581;501;467;871;173;321;0;0
1;184;16705;11;40880;504;470;876;174;323;0;0
1;185;16816;12;41179;507;473;881;175;325;0;0
1;186;16927;12;41478;510;476;886;176;327;0;0
1;187;17038;12;41777;513;479;891;177;329;0;0
1;188;17149;12;42076;516;482;896;178;331;0;0
1;189;17260;12;42375;519;485;901;179;333;0;0
1;190;17371;12;42674;522;488;906;180;335;0;0
1;191;17482;12;42973;525;491;911;181;337;0;0
1;192;17593;12;43272;528;494;916;182;339;0;0
1;193;17704;12;43571;531;497;921;183;341;0;0
1;194;17815;12;43870;534;500;926;184;343;0;0
1;195;17926;13;44169;537;503;931;185;345;0;0
1;196;18037;13;44468;540;506;936;186;347;0;0
1;197;18148;13;44767;543;509;941;187;349;0;0
1;198;18259;13;45066;546;512;946;188;351;0;0
1;199;18370;13;45365;549;515;951;189;353;0;0
1;200;18481;13;45664;552;518;956;190;355;0;0
1;201;18592;13;45963;555;521;961;191;357;0;0
1;202;18703;13;46262;558;524;966;192;359;0;0
1;203;18814;13;46561;561;527;971;193;361;0;0
1;204;18925;13;46860;564;530;976;194;363;0;0
1;205;19036;14;47159;567;533;981;195;365;0;0
1;206;19147;14;47458;570;536;986;196;367;0;0
1;207;19258;14;47757;573;539;991;197;369;0;0
1;208;19369;14;48056;576;542;996;198;371;0;0
1;209;19480;14;48355;579;545;1001;199;373;0;0
1;210;19591;14;48654;582;548;1006;200;375;0;0
1;211;19702;14;48953;585;551;1011;201;377;0;0
1;212;19813;14;49252;588;554;1016;202;379;0;0
1;213;19924;14;49551;591;557;1021;203;381;0;0
1;214;20035;14;49850;594;560;1026;204;383;0;0
1;215;20146;15;50149;597;563;1031;205;385;0;0
1;216;20257;15;50448;600;566;1036;206;387;0;0
1;217;20368;15;50747;603;569;1041;207;389;0;0
1;218;20479;15;51046;606;572;1046;208;391;0;0
1;219;20590;15;51345;609;575;1051;209;393;0;0
1;220;20701;15;51644;612;578;1056;210;395;0;0
1;221;20812;15;51943;615;581;1061;211;397;0;0
1;222;20923;15;52242;618;584;1066;212;399;0;0
1;223;21034;15;52541;621;587;1071;213;401;0;0
1;224;21145;15;52840;624;590;1076;214;403;0;0
1;225;21256;16;53139;627;593;1081;215;405;0;0
1;226;21367;16;53438;630;596;1086;216;407;0;0
1;227;21478;16;53737;633;599;1091;217;409;0;0
1;228;21589;16;54036;636;602;1096;218;411;0;0
1;229;21700;16;54335;639;605;1101;219;413;0;0
1;230;21811;16;54634;642;608;1106;220;415;0;0
1;231;21922;16;54933;645;611;1111;221;417;0;0
1;232;22033;16;55232;648;614;1116;222;419;0;0
1;233;22144;16;55531;651;617;1121;223;421;0;0
1;234;22255;16;55830;654;620;1126;224;423;0;0
1;235;22366;17;56129;657;623;1131;225;425;0;0
1;236;22477;17;56428;660;626;1136;226;427;0;0
1;237;22588;17;56727;663;629;1141;227;429;0;0
1;238;22699;17;57026;666;632;1146;228;431;0;0
1;239;22810;17;57325;669;635;1151;229;433;0;0
1;240;22921;17;57624;672;638;1156;230;435;0;0
1;241;23032;17;57923;675;641;1161;231;437;0;0
1;242;23143;17;58222;678;644;1166;232;439;0;0
1;243;23254;17;58521;681;647;1171;233;441;0;0
1;244;23365;17;58820;684;650;1176;234;443;0;0
1;245;23476;18;59119;687;653;1181;235;445;0;0
1;246;23587;18;59418;690;656;1186;236;447;0;0
1;247;23698;18;59717;693;659;1191;237;449;0;0
1;248;23809;18;60016;696;662;1196;238;451;0;0
1;249;23920;18;60315;699;665;1201;239;453;0;0
1;250;24031;18;60614;702;668;1206;240;455;0;0
1;251;24142;18;60913;705;671;1211;241;457;0;0
1;252;24253;18;61212;708;674;1216;242;459;0;0
1;253;24364;18;61511;711;677;1221;243;461;0;0
1;254;24475;18;61810;714;680;1226;244;463;0;0
1;255;24586;19;62109;717;683;1231;245;465;0;0
89;1;1;1;1;1;1;1;1;1;1;1
89;2;1;1;1;1;1;1;1;1;1;1
89;3;1;1;1;1;1;1;1;1;1;1
89;4;1;1;1;1;1;1;1;1;1;1
89;5;1;1;1;1;1;1;1;1;1;1
89;6;1;1;1;1;1;1;1;1;1;1
89;7;1;1;1;1;1;1;1;1;1;1
89;8;1;1;1;1;1;1;1;1;1;1
89;9;1;1;1;1;1;1;1;1;1;1
89;10;1;1;1;1;1;1;1;1;1;1
89;11;1;1;1;1;1;1;1;1;1;1
89;12;1;1;1;1;1;1;1;1;1;1
89;13;1;1;1;1;1;1;1;1;1;1
89;14;1;1;1;1;1;1;1;1;1;1
89;15;1;1;1;1;1;1;1;1;1;1
89;16;1;1;1;1;1;1;1;1;1;1
89;17;1;1;1;1;1;1;1;1;1;1
89;18;1;1;1;1;1;1;1;1;1;1
89;19;1;1;1;1;1;1;1;1;1;1
89;20;1;1;1;1;1;1;1;1;1;1
89;21;1;1;1;1;1;1;1;1;1;1
89;22;1;1;1;1;1;1;1;1;1;1
89;23;1;1;1;1;1;1;1;1;1;1
89;24;1;1;1;1;1;1;1;1;1;1
89;25;1;1;1;1;1;1;1;1;1;1
89;26;1;1;1;1;1;1;1;1;1;1
89;27;1;1;1;1;1;1;1;1;1;1
89;28;1;1;1;1;1;1;1;1;1;1
89;29;1;1;1;1;1;1;1;1;1;1
89;30;1;1;1;1;1;1;1;1;1;1
89;31;1;1;1;1;1;1;1;1;1;1
89;32;1;1;1;1;1;1;1;1;1;1
89;33;1;1;1;1;1;1;1;1;1;1
89;34;1;1;1;1;1;1;1;1;1;1
89;35;1;1;1;1;1;1;1;1;1;1
89;36;1;1;1;1;1;1;1;1;1;1
89;37;1;1;1;1;1;1;1;1;1;1
89;38;1;1;1;1;1;1;1;1;1;1
89;39;1;1;1;1;1;1;1;1;1;1
89;40;1;1;1;1;1;1;1;1;1;1
89;41;1;1;1;1;1;1;1;1;1;1
89;42;1;1;1;1;1;1;1;1;1;1
89;43;1;1;1;1;1;1;1;1;1;1
89;44;1;1;1;1;1;1;1;1;1;1
89;45;1;1;1;1;1;1;1;1;1;1
89;46;1;1;1;1;1;1;1;1;1;1
89;47;1;1;1;1;1;1;1;1;1;1
89;48;1;1;1;1;1;1;1;1;1;1
89;49;1;1;1;1;1;1;1;1;1;1
89;50;4577;1692;4931;107;28;190;75;80;243;327
89;51;4733;1747;5018;109;29;194;76;81;250;330
89;52;4883;1793;5110;111;29;199;77;82;251;338
89;53;5048;1850;5200;113;30;203;79;84;258;346
89;54;5209;1895;5287;115;30;207;80;85;263;354
89;55;5372;1965;5376;117;31;212;82;88;270;361
89;56;5533;2012;5468;120;31;216;83;89;276;362
89;57;5704;2072;5556;122;32;221;84;90;279;377
89;58;8002;2121;5645;124;33;225;87;92;329;450
89;59;8302;2182;5734;127;33;230;88;94;352;478
89;60;9892;2244;6236;129;34;234;90;96;430;587
89;61;10241;2295;6730;132;35;239;105;99;472;659
89;62;10598;2359;7223;133;36;243;108;102;517;707
89;63;10960;2410;7717;136;37;248;112;105;541;762
89;64;11317;2487;8210;138;38;252;115;108;583;772
89;65;11714;2553;8704;141;39;257;119;110;600;852
89;66;12106;2607;9197;143;39;261;122;113;632;871
89;67;12505;2686;9693;146;41;266;124;115;675;929
89;68;13768;2730;10186;148;41;271;127;118;763;1028
89;69;15674;2810;10679;151;42;275;130;120;826;1176
89;70;17579;2880;11173;153;43;280;133;122;907;1282
89;71;18254;2938;11670;155;47;285;134;125;928;1311
89;72;18941;3010;12165;158;50;289;136;127;940;1337
89;73;19649;3082;12662;161;54;294;138;130;1006;1384
89;74;20371;3154;13159;177;58;299;139;190;1010;1442
89;75;21131;3227;13658;195;63;304;141;194;1052;1462
89;76;21908;3302;14155;214;67;309;143;196;1091;1537
89;77;22698;3376;14652;236;72;314;144;200;1136;1581
89;78;23531;3453;15151;260;78;318;146;202;1165;1657
89;79;24381;3529;15650;285;84;323;148;206;1224;1687
89;80;25261;3618;16148;314;90;328;150;209;1263;1768
329;1;140;48;20;20;5;20;24;23;0;0
329;2;149;59;20;21;5;2;25;24;0;0
329;3;158;70;20;15;5;4;26;25;0;0
329;4;168;81;33;17;5;8;27;26;0;0
329;5;177;92;49;18;5;12;28;27;0;0
329;6;186;103;68;20;7;16;29;27;0;0
329;7;195;114;92;22;7;21;30;28;0;0
329;8;204;125;117;23;8;25;31;29;0;0
329;9;213;136;147;25;9;27;32;30;0;0
329;10;223;147;180;29;10;29;33;31;0;0
329;11;232;158;190;30;11;32;37;35;0;0
329;12;250;180;203;31;12;36;41;39;0;0
329;13;289;203;215;32;13;43;50;43;0;0
329;14;299;227;228;33;13;44;54;47;0;0
329;15;309;251;240;34;13;48;57;52;0;0
329;16;329;275;253;36;13;52;62;56;0;0
329;17;350;300;265;38;13;55;65;65;0;0
329;18;362;314;278;39;13;59;70;70;0;0
329;19;393;351;291;40;13;63;74;75;0;0
329;20;403;377;303;42;13;67;87;78;0;0
329;21;425;393;320;44;13;80;91;83;0;0
329;22;449;420;346;46;13;84;95;86;0;0
329;23;473;447;360;47;13;89;96;90;0;0
329;24;520;476;373;49;13;93;97;95;0;0
329;25;540;504;386;50;13;97;98;100;0;0
329;26;569;534;399;52;13;101;60;78;0;0
329;27;571;564;411;53;14;105;61;81;0;0
329;28;574;592;424;55;15;110;62;86;0;0
329;29;576;620;436;57;16;114;62;89;0;0
329;30;579;648;449;57;16;118;63;92;0;0
329;31;581;676;462;59;16;123;64;95;0;0
329;32;590;720;476;60;17;127;64;98;0;0
329;33;598;742;488;62;18;131;65;101;0;0
329;34;601;793;501;63;19;135;65;104;0;0
329;35;609;845;513;64;19;136;66;107;0;0
329;36;617;879;525;67;19;137;66;110;0;0
329;37;626;916;537;69;19;138;68;112;0;0
329;38;634;952;549;70;19;139;68;115;0;0
329;39;642;988;561;72;19;142;69;118;0;0
329;40;650;1026;639;74;20;147;156;142;0;0
329;41;668;1063;694;77;20;152;160;143;0;0
329;42;676;1103;756;81;20;156;163;144;0;0
329;43;685;1187;808;87;20;160;167;145;0;0
329;44;693;1214;853;91;21;164;170;146;0;0
329;45;701;1240;884;96;21;169;174;148;0;0
329;46;709;1267;910;98;22;173;177;149;0;0
329;47;718;1294;928;100;22;177;181;151;0;0
329;48;726;1320;946;102;22;181;184;152;0;0
329;49;734;1347;964;105;22;186;188;155;0;0
329;50;747;1391;983;107;22;190;194;158;0;0
329;51;750;1435;996;109;22;194;202;161;0;0
329;52;764;1481;1013;112;24;198;208;165;0;0
329;53;787;1527;1039;114;25;203;215;168;0;0
329;54;820;1573;1055;115;26;207;222;172;0;0
329;55;836;1620;1078;119;26;211;229;177;0;0
329;56;846;1666;1091;121;27;215;236;181;0;0
329;57;850;1714;1101;123;27;220;243;185;0;0
329;58;862;1763;1125;125;27;224;250;189;0;0
329;59;878;1824;1150;127;27;230;258;192;0;0
329;60;920;1898;1163;122;27;128;264;197;0;0
329;61;973;1925;1608;132;29;251;271;239;0;0
329;62;1050;1977;1663;135;31;253;278;241;0;0
329;63;1188;2030;1732;137;32;255;285;244;0;0
329;64;1292;2084;1809;139;33;259;292;247;0;0
329;65;1335;2137;1844;142;33;264;299;250;0;0
329;66;1357;2191;1872;144;33;268;306;255;0;0
329;67;1401;2244;1900;146;33;272;313;258;0;0
329;68;1429;2298;1987;148;34;276;320;260;0;0
329;69;1464;2351;2008;151;36;278;327;262;0;0
329;70;1528;2568;2227;152;39;103;334;264;0;0
329;71;7100;2109;1010;71;39;104;341;370;0;0
329;72;7200;2128;1020;72;39;105;348;380;0;0
329;73;7300;2147;1030;73;40;107;355;390;0;0
329;74;7400;2167;1040;74;40;108;362;400;0;0
329;75;7500;2186;1050;75;40;110;369;410;0;0
329;76;7600;2205;1060;76;41;111;376;420;0;0
329;77;7700;2224;1070;77;41;113;383;430;0;0
329;78;7800;2243;1080;78;42;115;390;440;0;0
329;79;7900;2262;1090;79;43;116;397;450;0;0
329;80;8000;2282;1100;80;44;118;404;460;0;0
329;81;8100;2302;1110;81;45;120;411;470;0;0
329;82;8200;2322;1120;82;46;122;418;480;0;0
329;83;8300;2342;1130;83;47;124;425;490;0;0
329;84;8400;2362;1140;84;48;126;432;500;0;0
329;85;8500;2382;1150;85;49;128;439;510;0;0
329;86;8600;2402;1160;86;50;130;446;520;0;0
329;87;8700;2422;1170;87;51;132;453;530;0;0
329;88;8800;2442;1180;88;52;134;460;540;0;0
329;89;8900;2462;1190;89;53;136;467;550;0;0
329;90;9000;2482;1200;90;54;138;474;560;0;0
329;91;9100;2502;1210;91;55;140;481;570;0;0
329;92;9200;2522;1220;92;56;142;488;580;0;0
329;93;9300;2542;1230;93;57;144;495;590;0;0
329;94;9400;2562;1240;94;58;146;502;600;0;0
329;95;9500;2582;1250;95;59;148;509;610;0;0
329;96;9600;2602;1260;96;60;150;516;620;0;0
329;97;9700;2622;1270;97;61;152;523;630;0;0
329;98;9800;2642;1280;98;62;154;530;640;0;0
329;99;9900;2662;1290;99;63;156;537;650;0;0
329;100;10000;2682;1300;100;64;158;544;660;0;0
329;101;10100;2702;1310;101;65;160;551;670;0;0
329;102;10200;2722;1320;102;66;162;558;680;0;0
329;103;10300;2742;1330;103;67;164;565;690;0;0
329;104;10400;2762;1340;104;68;166;572;700;0;0
329;105;10500;2782;1350;105;69;168;579;710;0;0
329;106;10600;2802;1360;106;70;170;586;720;0;0
329;107;10700;2822;1370;107;71;172;593;730;0;0
329;108;10800;2842;1380;108;72;174;600;740;0;0
329;109;10900;2862;1390;109;73;176;607;750;0;0
329;110;11000;2882;1400;110;74;178;614;760;0;0
329;111;11100;2902;1410;111;75;180;621;770;0;0
329;112;11200;2922;1420;112;76;182;628;780;0;0
329;113;11300;2942;1430;113;77;184;635;790;0;0
329;114;11400;2962;1440;114;78;186;642;800;0;0
329;115;11500;2982;1450;115;79;188;649;810;0;0
329;116;11600;3002;1460;116;80;190;656;820;0;0
329;117;11700;3022;1470;117;81;192;663;830;0;0
329;118;11800;3042;1480;118;82;194;670;840;0;0
329;119;11900;3062;1490;119;83;196;677;850;0;0
329;120;12000;3082;1500;120;84;198;684;860;0;0
329;121;12100;3102;1510;121;85;200;691;870;0;0
329;122;12200;3122;1520;122;86;202;698;880;0;0
329;123;12300;3142;1530;123;87;204;705;890;0;0
329;124;12400;3162;1540;124;88;206;712;900;0;0
329;125;12500;3182;1550;125;89;208;719;910;0;0
329;126;12600;3202;1560;126;90;210;726;920;0;0
329;127;12700;3222;1570;127;91;212;733;930;0;0
329;128;12800;3242;1580;128;92;214;740;940;0;0
329;129;12900;3262;1590;129;93;216;747;950;0;0
329;130;13000;3282;1600;130;94;218;754;960;0;0
329;131;13100;3302;1610;131;95;220;761;970;0;0
329;132;13200;3322;1620;132;96;222;768;980;0;0
329;133;13300;3342;1630;133;97;224;775;990;0;0
329;134;13400;3362;1640;134;98;226;782;1000;0;0
329;135;13500;3382;1650;135;99;228;789;1010;0;0
329;136;13600;3402;1660;136;100;230;796;1020;0;0
329;137;13700;3422;1670;137;101;232;803;1030;0;0
329;138;13800;3442;1680;138;102;234;810;1040;0;0
329;139;13900;3462;1690;139;103;236;817;1050;0;0
329;140;14000;3482;1700;140;104;238;824;1060;0;0
329;141;14100;3502;1710;141;105;240;831;1070;0;0
329;142;14200;3522;1720;142;106;242;838;1080;0;0
329;143;14300;3542;1730;143;107;244;845;1090;0;0
329;144;14400;3562;1740;144;108;246;852;1100;0;0
329;145;14500;3582;1750;145;109;248;859;1110;0;0
329;146;14600;3602;1760;146;110;250;866;1120;0;0
329;147;14700;3622;1770;147;111;252;873;1130;0;0
329;148;14800;3642;1780;148;112;254;880;1140;0;0
329;149;14900;3662;1790;149;113;256;887;1150;0;0
329;150;15000;3682;1800;150;114;258;894;1160;0;0
329;151;15100;3702;1810;151;115;260;901;1170;0;0
329;152;15200;3722;1820;152;116;262;908;1180;0;0
329;153;15300;3742;1830;153;117;264;915;1190;0;0
329;154;15400;3762;1840;154;118;266;922;1200;0;0
329;155;15500;3782;1850;155;119;268;929;1210;0;0
329;156;15600;3802;1860;156;120;270;936;1220;0;0
329;157;15700;3822;1870;157;121;272;943;1230;0;0
329;158;15800;3842;1880;158;122;274;950;1240;0;0
329;159;15900;3862;1890;159;123;276;957;1250;0;0
329;160;16000;3882;1900;160;124;278;964;1260;0;0
329;161;16100;3902;1910;161;125;280;971;1270;0;0
329;162;16200;3922;1920;162;126;282;978;1280;0;0
329;163;16300;3942;1930;163;127;284;985;1290;0;0
329;164;16400;3962;1940;164;128;286;992;1300;0;0
329;165;16500;3982;1950;165;129;288;999;1310;0;0
329;166;16600;4002;1960;166;130;290;1006;1320;0;0
329;167;16700;4022;1970;167;131;292;1013;1330;0;0
329;168;16800;4042;1980;168;132;294;1020;1340;0;0
329;169;16900;4062;1990;169;133;296;1027;1350;0;0
329;170;17000;4082;2000;170;134;298;1034;1360;0;0
329;171;17100;4102;2010;171;135;300;1041;1370;0;0
329;172;17200;4122;2020;172;136;302;1048;1380;0;0
329;173;17300;4142;2030;173;137;304;1055;1390;0;0
329;174;17400;4162;2040;174;138;306;1062;1400;0;0
329;175;17500;4182;2050;175;139;308;1069;1410;0;0
329;176;17600;4202;2060;176;140;310;1076;1420;0;0
329;177;17700;4222;2070;177;141;312;1083;1430;0;0
329;178;17800;4242;2080;178;142;314;1090;1440;0;0
329;179;17900;4262;2090;179;143;316;1097;1450;0;0
329;180;18000;4282;2100;180;144;318;1104;1460;0;0
329;181;18100;4302;2110;181;145;320;1111;1470;0;0
329;182;18200;4322;2120;182;146;322;1118;1480;0;0
329;183;18300;4342;2130;183;147;324;1125;1490;0;0
329;184;18400;4362;2140;184;148;326;1132;1500;0;0
329;185;18500;4382;2150;185;149;328;1139;1510;0;0
329;186;18600;4402;2160;186;150;330;1146;1520;0;0
329;187;18700;4422;2170;187;151;332;1153;1530;0;0
329;188;18800;4442;2180;188;152;334;1160;1540;0;0
329;189;18900;4462;2190;189;153;336;1167;1550;0;0
329;190;19000;4482;2200;190;154;338;1174;1560;0;0
329;191;19100;4502;2210;191;155;340;1181;1570;0;0
329;192;19200;4522;2220;192;156;342;1188;1580;0;0
329;193;19300;4542;2230;193;157;344;1195;1590;0;0
329;194;19400;4562;2240;194;158;346;1202;1600;0;0
329;195;19500;4582;2250;195;159;348;1209;1610;0;0
329;196;19600;4602;2260;196;160;350;1216;1620;0;0
