level;class;basehp0;basehp1;basehp2;basemana;basearmor;attackpower;rangedattackpower;damage_base;damage_exp1;damage_exp2;comment
92;1;7331;12411;18121;0;13526;1012;261;55,2369;152,69;213,524;\N
93;1;7501;12678;18585;0;13843;1035;275;55,9035;154,482;217,574;\N
94;1;7671;12945;19049;0;14160;1058;289;56,5701;156,274;221,624;\N
95;1;7841;13212;19513;0;14477;1081;303;57,2367;158,066;225,674;\N
96;1;8011;13479;19977;0;14794;1104;317;57,9033;159,858;229,724;\N
97;1;8181;13746;20441;0;15111;1127;331;58,5699;161,65;233,774;\N
98;1;8351;14013;20905;0;15428;1150;345;59,2365;163,442;237,824;\N
99;1;8521;14280;21369;0;15745;1173;359;59,9031;165,234;241,874;\N
100;1;8691;14547;21833;0;16062;1196;373;60,5697;167,026;245,924;\N
101;1;8861;14814;22297;0;16379;1219;387;61,2363;168,818;249,974;\N
102;1;9031;15081;22761;0;16696;1242;401;61,9029;170,61;254,024;\N
103;1;9201;15348;23225;0;17013;1265;415;62,5695;172,402;258,074;\N
104;1;9371;15615;23689;0;17330;1288;429;63,2361;174,194;262,124;\N
105;1;9541;15882;24153;0;17647;1311;443;63,9027;175,986;266,174;\N
106;1;9711;16149;24617;0;17964;1334;457;64,5693;177,778;270,224;\N
107;1;9881;16416;25081;0;18281;1357;471;65,2359;179,57;274,274;\N
108;1;10051;16683;25545;0;18598;1380;485;65,9025;181,362;278,324;\N
109;1;10221;16950;26009;0;18915;1403;499;66,5691;183,154;282,374;\N
110;1;10391;17217;26473;0;19232;1426;513;67,2357;184,946;286,424;\N
111;1;10561;17484;26937;0;19549;1449;527;67,9023;186,738;290,474;\N
112;1;10731;17751;27401;0;19866;1472;541;68,5689;188,53;294,524;\N
113;1;10901;18018;27865;0;20183;1495;555;69,2355;190,322;298,574;\N
114;1;11071;18285;28329;0;20500;1518;569;69,9021;192,114;302,624;\N
115;1;11241;18552;28793;0;20817;1541;583;70,5687;193,906;306,674;\N
116;1;11411;18819;29257;0;21134;1564;597;71,2353;195,698;310,724;\N
117;1;11581;19086;29721;0;21451;1587;611;71,9019;197,49;314,774;\N
118;1;11751;19353;30185;0;21768;1610;625;72,5685;199,282;318,824;\N
119;1;11921;19620;30649;0;22085;1633;639;73,2351;201,074;322,874;\N
120;1;12091;19887;31113;0;22402;1656;653;73,9017;202,866;326,924;\N
121;1;12261;20154;31577;0;22719;1679;667;74,5683;204,658;330,974;\N
122;1;12431;20421;32041;0;23036;1702;681;75,2349;206,45;335,024;\N
123;1;12601;20688;32505;0;23353;1725;695;75,9015;208,242;339,074;\N
124;1;12771;20955;32969;0;23670;1748;709;76,5681;210,034;343,124;\N
125;1;12941;21222;33433;0;23987;1771;723;77,2347;211,826;347,174;\N
126;1;13111;21489;33897;0;24304;1794;737;77,9013;213,618;351,224;\N
127;1;13281;21756;34361;0;24621;1817;751;78,5679;215,41;355,274;\N
128;1;13451;22023;34825;0;24938;1840;765;79,2345;217,202;359,324;\N
129;1;13621;22290;35289;0;25255;1863;779;79,9011;218,994;363,374;\N
130;1;13791;22557;35753;0;25572;1886;793;80,5677;220,786;367,424;\N
131;1;13961;22824;36217;0;25889;1909;807;81,2343;222,578;371,474;\N
132;1;14131;23091;36681;0;26206;1932;821;81,9009;224,37;375,524;\N
133;1;14301;23358;37145;0;26523;1955;835;82,5675;226,162;379,574;\N
134;1;14471;23625;37609;0;26840;1978;849;83,2341;227,954;383,624;\N
135;1;14641;23892;38073;0;27157;2001;863;83,9007;229,746;387,674;\N
136;1;14811;24159;38537;0;27474;2024;877;84,5673;231,538;391,724;\N
137;1;14981;24426;39001;0;27791;2047;891;85,2339;233,33;395,774;\N
138;1;15151;24693;39465;0;28108;2070;905;85,9005;235,122;399,824;\N
139;1;15321;24960;39929;0;28425;2093;919;86,5671;236,914;403,874;\N
140;1;15491;25227;40393;0;28742;2116;933;87,2337;238,706;407,924;\N
141;1;15661;25494;40857;0;29059;2139;947;87,9003;240,498;411,974;\N
142;1;15831;25761;41321;0;29376;2162;961;88,5669;242,29;416,024;\N
143;1;16001;26028;41785;0;29693;2185;975;89,2335;244,082;420,074;\N
144;1;16171;26295;42249;0;30010;2208;989;89,9001;245,874;424,124;\N
145;1;16341;26562;42713;0;30327;2231;1003;90,5667;247,666;428,174;\N
146;1;16511;26829;43177;0;30644;2254;1017;91,2333;249,458;432,224;\N
147;1;16681;27096;43641;0;30961;2277;1031;91,8999;251,25;436,274;\N
148;1;16851;27363;44105;0;31278;2300;1045;92,5665;253,042;440,324;\N
149;1;17021;27630;44569;0;31595;2323;1059;93,2331;254,834;444,374;\N
150;1;17191;27897;45033;0;31912;2346;1073;93,8997;256,626;448,424;\N
151;1;17361;28164;45497;0;32229;2369;1087;94,5663;258,418;452,474;\N
152;1;17531;28431;45961;0;32546;2392;1101;95,2329;260,21;456,524;\N
153;1;17701;28698;46425;0;32863;2415;1115;95,8995;262,002;460,574;\N
154;1;17871;28965;46889;0;33180;2438;1129;96,5661;263,794;464,624;\N
155;1;18041;29232;47353;0;33497;2461;1143;97,2327;265,586;468,674;\N
156;1;18211;29499;47817;0;33814;2484;1157;97,8993;267,378;472,724;\N
157;1;18381;29766;48281;0;34131;2507;1171;98,5659;269,17;476,774;\N
158;1;18551;30033;48745;0;34448;2530;1185;99,2325;270,962;480,824;\N
159;1;18721;30300;49209;0;34765;2553;1199;99,8991;272,754;484,874;\N
160;1;18891;30567;49673;0;35082;2576;1213;100,566;274,546;488,924;\N
161;1;19061;30834;50137;0;35399;2599;1227;101,232;276,338;492,974;\N
162;1;19231;31101;50601;0;35716;2622;1241;101,899;278,13;497,024;\N
163;1;19401;31368;51065;0;36033;2645;1255;102,566;279,922;501,074;\N
164;1;19571;31635;51529;0;36350;2668;1269;103,232;281,714;505,124;\N
165;1;19741;31902;51993;0;36667;2691;1283;103,899;283,506;509,174;\N
166;1;19911;32169;52457;0;36984;2714;1297;104,565;285,298;513,224;\N
167;1;20081;32436;52921;0;37301;2737;1311;105,232;287,09;517,274;\N
168;1;20251;32703;53385;0;37618;2760;1325;105,898;288,882;521,324;\N
169;1;20421;32970;53849;0;37935;2783;1339;106,565;290,674;525,374;\N
170;1;20591;33237;54313;0;38252;2806;1353;107,232;292,466;529,424;\N
171;1;20761;33504;54777;0;38569;2829;1367;107,898;294,258;533,474;\N
172;1;20931;33771;55241;0;38886;2852;1381;108,565;296,05;537,524;\N
173;1;21101;34038;55705;0;39203;2875;1395;109,232;297,842;541,574;\N
174;1;21271;34305;56169;0;39520;2898;1409;109,898;299,634;545,624;\N
175;1;21441;34572;56633;0;39837;2921;1423;110,565;301,426;549,674;\N
176;1;21611;34839;57097;0;40154;2944;1437;111,231;303,218;553,724;\N
177;1;21781;35106;57561;0;40471;2967;1451;111,898;305,01;557,774;\N
178;1;21951;35373;58025;0;40788;2990;1465;112,564;306,802;561,824;\N
179;1;22121;35640;58489;0;41105;3013;1479;113,231;308,594;565,874;\N
180;1;22291;35907;58953;0;41422;3036;1493;113,898;310,386;569,924;\N
181;1;22461;36174;59417;0;41739;3059;1507;114,564;312,178;573,974;\N
182;1;22631;36441;59881;0;42056;3082;1521;115,231;313,97;578,024;\N
183;1;22801;36708;60345;0;42373;3105;1535;115,898;315,762;582,074;\N
184;1;22971;36975;60809;0;42690;3128;1549;116,564;317,554;586,124;\N
185;1;23141;37242;61273;0;43007;3151;1563;117,231;319,346;590,174;\N
186;1;23311;37509;61737;0;43324;3174;1577;117,897;321,138;594,224;\N
187;1;23481;37776;62201;0;43641;3197;1591;118,564;322,93;598,274;\N
188;1;23651;38043;62665;0;43958;3220;1605;119,23;324,722;602,324;\N
189;1;23821;38310;63129;0;44275;3243;1619;119,897;326,514;606,374;\N
190;1;23991;38577;63593;0;44592;3266;1633;120,564;328,306;610,424;\N
191;1;24161;38844;64057;0;44909;3289;1647;121,23;330,098;614,474;\N
192;1;24331;39111;64521;0;45226;3312;1661;121,897;331,89;618,524;\N
193;1;24501;39378;64985;0;45543;3335;1675;122,564;333,682;622,574;\N
194;1;24671;39645;65449;0;45860;3358;1689;123,23;335,474;626,624;\N
195;1;24841;39912;65913;0;46177;3381;1703;123,897;337,266;630,674;\N
196;1;25011;40179;66377;0;46494;3404;1717;124,563;339,058;634,724;\N
197;1;25181;40446;66841;0;46811;3427;1731;125,23;340,85;638,774;\N
198;1;25351;40713;67305;0;47128;3450;1745;125,896;342,642;642,824;\N
199;1;25521;40980;67769;0;47445;3473;1759;126,563;344,434;646,874;\N
200;1;25691;41247;68233;0;47762;3496;1773;127,23;346,226;650,924;\N
201;1;25861;41514;68697;0;48079;3519;1787;127,896;348,018;654,974;\N
202;1;26031;41781;69161;0;48396;3542;1801;128,563;349,81;659,024;\N
203;1;26201;42048;69625;0;48713;3565;1815;129,23;351,602;663,074;\N
204;1;26371;42315;70089;0;49030;3588;1829;129,896;353,394;667,124;\N
205;1;26541;42582;70553;0;49347;3611;1843;130,563;355,186;671,174;\N
206;1;26711;42849;71017;0;49664;3634;1857;131,229;356,978;675,224;\N
207;1;26881;43116;71481;0;49981;3657;1871;131,896;358,77;679,274;\N
208;1;27051;43383;71945;0;50298;3680;1885;132,562;360,562;683,324;\N
209;1;27221;43650;72409;0;50615;3703;1899;133,229;362,354;687,374;\N
210;1;27391;43917;72873;0;50932;3726;1913;133,896;364,146;691,424;\N
211;1;27561;44184;73337;0;51249;3749;1927;134,562;365,938;695,474;\N
212;1;27731;44451;73801;0;51566;3772;1941;135,229;367,73;699,524;\N
213;1;27901;44718;74265;0;51883;3795;1955;135,896;369,522;703,574;\N
214;1;28071;44985;74729;0;52200;3818;1969;136,562;371,314;707,624;\N
215;1;28241;45252;75193;0;52517;3841;1983;137,229;373,106;711,674;\N
216;1;28411;45519;75657;0;52834;3864;1997;137,895;374,898;715,724;\N
217;1;28581;45786;76121;0;53151;3887;2011;138,562;376,69;719,774;\N
218;1;28751;46053;76585;0;53468;3910;2025;139,228;378,482;723,824;\N
219;1;28921;46320;77049;0;53785;3933;2039;139,895;380,274;727,874;\N
220;1;29091;46587;77513;0;54102;3956;2053;140,562;382,066;731,924;\N
221;1;29261;46854;77977;0;54419;3979;2067;141,228;383,858;735,974;\N
222;1;29431;47121;78441;0;54736;4002;2081;141,895;385,65;740,024;\N
223;1;29601;47388;78905;0;55053;4025;2095;142,562;387,442;744,074;\N
224;1;29771;47655;79369;0;55370;4048;2109;143,228;389,234;748,124;\N
225;1;29941;47922;79833;0;55687;4071;2123;143,895;391,026;752,174;\N
226;1;30111;48189;80297;0;56004;4094;2137;144,561;392,818;756,224;\N
227;1;30281;48456;80761;0;56321;4117;2151;145,228;394,61;760,274;\N
228;1;30451;48723;81225;0;56638;4140;2165;145,894;396,402;764,324;\N
229;1;30621;48990;81689;0;56955;4163;2179;146,561;398,194;768,374;\N
230;1;30791;49257;82153;0;57272;4186;2193;147,228;399,986;772,424;\N
231;1;30961;49524;82617;0;57589;4209;2207;147,894;401,778;776,474;\N
232;1;31131;49791;83081;0;57906;4232;2221;148,561;403,57;780,524;\N
233;1;31301;50058;83545;0;58223;4255;2235;149,228;405,362;784,574;\N
234;1;31471;50325;84009;0;58540;4278;2249;149,894;407,154;788,624;\N
235;1;31641;50592;84473;0;58857;4301;2263;150,561;408,946;792,674;\N
236;1;31811;50859;84937;0;59174;4324;2277;151,227;410,738;796,724;\N
237;1;31981;51126;85401;0;59491;4347;2291;151,894;412,53;800,774;\N
238;1;32151;51393;85865;0;59808;4370;2305;152,56;414,322;804,824;\N
239;1;32321;51660;86329;0;60125;4393;2319;153,227;416,114;808,874;\N
240;1;32491;51927;86793;0;60442;4416;2333;153,894;417,906;812,924;\N
241;1;32661;52194;87257;0;60759;4439;2347;154,56;419,698;816,974;\N
242;1;32831;52461;87721;0;61076;4462;2361;155,227;421,49;821,024;\N
243;1;33001;52728;88185;0;61393;4485;2375;155,894;423,282;825,074;\N
244;1;33171;52995;88649;0;61710;4508;2389;156,56;425,074;829,124;\N
245;1;33341;53262;89113;0;62027;4531;2403;157,227;426,866;833,174;\N
246;1;33511;53529;89577;0;62344;4554;2417;157,893;428,658;837,224;\N
247;1;33681;53796;90041;0;62661;4577;2431;158,56;430,45;841,274;\N
248;1;33851;54063;90505;0;62978;4600;2445;159,226;432,242;845,324;\N
249;1;34021;54330;90969;0;63295;4623;2459;159,893;434,034;849,374;\N
250;1;34191;54597;91433;0;63612;4646;2473;160,56;435,826;853,424;\N
251;1;34361;54864;91897;0;63929;4669;2487;161,226;437,618;857,474;\N
252;1;34531;55131;92361;0;64246;4692;2501;161,893;439,41;861,524;\N
253;1;34701;55398;92825;0;64563;4715;2515;162,56;441,202;865,574;\N
254;1;34871;55665;93289;0;64880;4738;2529;163,226;442,994;869,624;\N
255;1;35041;55932;93753;0;65197;4761;2543;163,893;444,786;873,674;\N
1;2;41;1;1;60;7;9;1;0,2381;0,2381;0,2381;\N
2;2;54;1;1;69;19;11;1;0,3119;0,3119;0,3119;\N
3;2;69;1;1;79;33;11;1;0,5952;0,5952;0,5952;\N
4;2;83;1;1;104;66;13;1;0,946;0,946;0,946;\N
5;2;98;1;1;115;109;14;1;1,4567;1,4567;1,4567;\N
6;2;115;1;1;126;163;16;1;2,0933;2,0933;2,0933;\N
7;2;131;1;1;138;208;20;1;2,7273;2,7273;2,7273;\N
8;2;148;1;1;165;303;24;1;3,1076;3,1076;3,1076;\N
9;2;166;1;1;178;369;27;1;3,595;3,595;3,595;\N
10;2;186;1;1;191;460;30;1;3,9604;3,9604;3,9604;\N
11;2;208;1;1;205;526;34;1;4,4552;4,4552;4,4552;\N
12;2;230;1;1;249;560;38;1;5,1436;5,1436;5,1436;\N
13;2;253;1;1;264;596;42;1;5,5674;5,5674;5,5674;\N
14;2;276;1;1;295;630;46;1;6,1568;6,1568;6,1568;\N
15;2;301;1;1;326;665;48;2;6,8211;6,8211;6,8211;\N
16;2;325;1;1;357;700;52;2;7,1374;7,1374;7,1374;\N
17;2;350;1;1;390;734;56;2;7,6355;7,6355;7,6355;\N
18;2;377;1;1;408;768;58;3;8,0339;8,0339;8,0339;\N
19;2;404;1;1;456;802;60;3;8,611;8,611;8,611;\N
20;2;433;1;1;490;836;64;4;9,0674;9,0674;9,0674;\N
21;2;464;1;1;510;872;68;4;9,3169;9,3169;9,3169;\N
22;2;498;1;1;545;906;71;5;9,7945;9,7945;9,7945;\N
23;2;533;1;1;581;940;74;5;10,076;10,076;10,076;\N
24;2;571;1;1;618;975;78;6;10,4619;10,4619;10,4619;\N
25;2;610;1;1;655;1008;80;6;10,7857;10,7857;10,7857;\N
26;2;651;1;1;693;1042;84;6;11,1849;11,1849;11,1849;\N
27;2;690;1;1;732;1078;86;7;11,7126;11,7126;11,7126;\N
28;2;732;1;1;756;1110;90;7;11,9663;11,9663;11,9663;\N
29;2;773;1;1;811;1145;94;8;12,352;12,352;12,352;\N
30;2;811;1;1;852;1178;94;8;13,0007;13,0007;13,0007;\N
31;2;850;1006;1;878;1213;98;9;13,2348;13,2348;13,2348;\N
32;2;888;1;1;935;1248;100;9;13,6924;13,6924;13,6924;\N
33;2;928;1;1;963;1281;104;10;13,9511;13,9511;13,9511;\N
34;2;967;1;1;1007;1316;106;10;14,4142;14,4142;14,4142;\N
35;2;1009;1;1;1067;1349;110;11;14,7365;14,7365;14,7365;\N
36;2;1050;1;1;1097;1455;112;11;15,1346;15,1346;15,1346;\N
37;2;1093;1;1;1142;1567;116;11;15,5816;15,5816;15,5816;\N
38;2;1135;1;1;1189;1683;120;12;15,9286;15,9286;15,9286;\N
39;2;1180;1;1;1236;1807;124;12;16,4168;16,4168;16,4168;\N
40;2;1226;1;1;1283;1937;128;13;16,9294;16,9294;16,9294;\N
41;2;1268;1;1;1332;2072;132;13;17,8592;17,8592;17,8592;\N
42;2;1321;1;1;1381;2216;142;15;18,8824;18,8824;18,8824;\N
43;2;1373;1;1;1432;2367;152;14;20,1127;20,1127;20,1127;\N
44;2;1426;1;1;1483;2527;166;15;21,6981;21,6981;21,6981;\N
45;2;1478;1;1;1534;2692;172;15;22,9018;22,9018;22,9018;\N
46;2;1535;1;1;1587;2749;176;16;23,3451;23,3451;23,3451;\N
47;2;1592;1;1;1640;2802;180;16;23,9542;23,9542;23,9542;\N
48;2;1650;1;1;1695;2855;184;17;24,401;24,401;24,401;\N
49;2;1710;1;1;1750;2910;188;17;24,9975;24,9975;24,9975;\N
50;2;1772;1;1;1807;2964;194;18;25,5204;25,5204;25,5204;\N
51;2;1834;1;1;1864;3017;198;19;26,0047;26,0047;26,0047;\N
52;2;1897;1;1;1923;3072;202;19;26,6877;26,6877;26,6877;\N
53;2;1962;1;1;1982;3126;206;20;27,1912;27,1912;27,1912;\N
54;2;2026;1;1;2041;3178;210;20;27,8506;27,8506;27,8506;\N
55;2;2091;1;4182;2117;3232;214;21;28,4555;28,4555;28,4555;\N
56;2;2159;1;4318;2163;3287;220;21;28,9161;28,9161;28,9161;\N
57;2;2227;1;4454;2241;3340;224;22;29,5701;29,5701;29,5701;\N
58;2;2297;3191;4594;2289;3394;228;23;30,1469;34,7143;34,7143;\N
59;2;2369;3314;1;2369;3447;234;23;30,6847;49,6442;49,6442;\N
60;2;2442;3984;1;2434;3748;238;24;31,3842;55;55;\N
61;2;2515;4126;1;2486;4044;244;25;31,837;58,3279;58,3279;\N
62;2;2590;4274;1;2568;4340;246;26;32,6201;62,4676;62,4676;\N
63;2;2665;4422;1;2620;4637;252;26;33,1092;66,121;66,121;\N
64;2;2740;4572;1;2705;4933;256;27;33,7143;70,2568;70,2568;\N
65;2;2819;4731;1;2790;5228;262;29;34,3333;74,3252;74,3252;\N
66;2;2899;4892;6116;2846;5523;266;29;35,0158;78,472;84,8941;\N
67;2;2982;5060;1;2933;5821;272;31;35,656;82,7944;94,901;\N
68;2;3067;5233;6986;2991;6116;276;31;36,3244;87,2677;104,527;\N
69;2;3153;5409;7984;3080;6412;282;32;36,974;91,8916;114,153;\N
70;2;3240;5589;8982;3155;6708;286;33;37,6361;96,7364;123,779;\N
71;2;3330;5744;9291;3231;7007;290;37;38,2899;98,3977;127,383;\N
72;2;3422;5903;9610;3309;7305;296;40;38,9492;99,8571;131,092;\N
73;2;3519;6070;9940;3387;7604;302;44;39,6048;101,451;134,908;\N
74;2;3619;6243;10282;3466;7903;334;48;40,2629;102,955;138,836;\N
75;2;3722;6420;10635;3561;8204;370;53;40,9193;104,52;142,878;\N
76;2;3825;6602;11001;3643;8503;408;57;41,5757;106,085;147,038;\N
77;2;3933;6784;11379;3725;8803;452;62;42,2321;107,65;151,319;\N
78;2;4042;6972;11770;3809;9104;500;68;42,8885;109,215;155,724;\N
79;2;4155;7167;12175;3893;9405;550;74;43,5449;110,78;160,258;\N
80;2;4274;7373;12600;3994;9706;608;80;44,2013;112,345;164,924;\N
81;2;4394;7581;13033;4081;10007;670;86;44,8577;113,91;169,095;\N
82;2;4518;7794;13481;4169;10253;726;91;45,5141;115,475;173,266;\N
83;2;4646;1;13945;4258;10573;783;98;46,1705;117,04;177,438;\N
84;2;4774;8220;14409;4363;10893;840;105;46,8269;118,605;181,61;\N
85;2;4902;8433;15498;4454;11213;897;112;47,4833;120,17;185,782;\N
86;2;5030;8646;15337;4545;11533;954;119;48,1397;121,735;189,954;\N
87;2;5158;8859;15801;4636;11853;1011;126;48,7961;123,3;194,126;\N
88;2;5286;9072;16265;4727;12173;1068;133;49,4525;124,865;198,298;\N
89;2;5414;9285;16729;4818;12493;1125;140;50,1089;126,43;202,47;\N
90;2;5542;9498;17193;4909;12813;1182;147;50,7653;127,995;206,642;\N
91;2;5670;9711;17657;5000;13133;1239;154;51,4217;129,56;210,814;\N
92;2;5798;9924;18121;5091;13453;1296;161;52,0781;131,125;214,986;\N
93;2;5926;10137;18585;5182;13773;1353;168;52,7345;132,69;219,158;\N
94;2;6054;10350;19049;5273;14093;1410;175;53,3909;134,255;223,33;\N
95;2;6182;10563;19513;5364;14413;1467;182;54,0473;135,82;227,502;\N
96;2;6310;10776;19977;5455;14733;1524;189;54,7037;137,385;231,674;\N
97;2;6438;10989;20441;5546;15053;1581;196;55,3601;138,95;235,846;\N
98;2;6566;11202;20905;5637;15373;1638;203;56,0165;140,515;240,018;\N
99;2;6694;11415;21369;5728;15693;1695;210;56,6729;142,08;244,19;\N
100;2;6822;11628;21833;5819;16013;1752;217;57,3293;143,645;248,362;\N
101;2;6950;11841;22297;5910;16333;1809;224;57,9857;145,21;252,534;\N
102;2;7078;12054;22761;6001;16653;1866;231;58,6421;146,775;256,706;\N
103;2;7206;12267;23225;6092;16973;1923;238;59,2985;148,34;260,878;\N
104;2;7334;12480;23689;6183;17293;1980;245;59,9549;149,905;265,05;\N
105;2;7462;12693;24153;6274;17613;2037;252;60,6113;151,47;269,222;\N
106;2;7590;12906;24617;6365;17933;2094;259;61,2677;153,035;273,394;\N
